split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,patient001_frame01_1_MRI_heart_right+heart+ventricle.png,"(216, 256)",23280,"(304, 428, 163, 255)",10
train,patient001_frame01_1_MRI_heart_myocardium.png,"(216, 256)",13136,"(380, 408, 207, 219)",8
train,patient001_frame01_1_MRI_heart_left+heart+ventricle.png,"(216, 256)",21616,"(396, 424, 171, 187)",7
train,patient001_frame01_2_MRI_heart_right+heart+ventricle.png,"(216, 256)",20064,"(308, 444, 159, 243)",8
train,patient001_frame01_2_MRI_heart_myocardium.png,"(216, 256)",14080,"(388, 400, 219, 231)",9
train,patient001_frame01_2_MRI_heart_left+heart+ventricle.png,"(216, 256)",26496,"(408, 424, 179, 191)",9
train,patient001_frame01_3_MRI_heart_right+heart+ventricle.png,"(216, 256)",15968,"(316, 444, 147, 231)",6
train,patient001_frame01_3_MRI_heart_myocardium.png,"(216, 256)",15024,"(380, 400, 227, 239)",10
train,patient001_frame01_3_MRI_heart_left+heart+ventricle.png,"(216, 256)",28032,"(404, 420, 183, 195)",9
train,patient001_frame01_4_MRI_heart_right+heart+ventricle.png,"(216, 256)",11632,"(336, 480, 139, 195)",4
train,patient001_frame01_4_MRI_heart_myocardium.png,"(216, 256)",14352,"(380, 404, 239, 231)",9
train,patient001_frame01_4_MRI_heart_left+heart+ventricle.png,"(216, 256)",28240,"(408, 428, 187, 183)",10
train,patient001_frame01_5_MRI_heart_right+heart+ventricle.png,"(216, 256)",8192,"(352, 488, 111, 175)",3
train,patient001_frame01_5_MRI_heart_myocardium.png,"(216, 256)",14208,"(388, 412, 227, 223)",9
train,patient001_frame01_5_MRI_heart_left+heart+ventricle.png,"(216, 256)",25952,"(404, 428, 187, 183)",9
train,patient001_frame01_6_MRI_heart_right+heart+ventricle.png,"(216, 256)",6064,"(364, 500, 119, 151)",2
train,patient001_frame01_6_MRI_heart_myocardium.png,"(216, 256)",12288,"(392, 412, 211, 211)",8
train,patient001_frame01_6_MRI_heart_left+heart+ventricle.png,"(216, 256)",23568,"(412, 432, 175, 171)",8
train,patient001_frame01_7_MRI_heart_right+heart+ventricle.png,"(216, 256)",3632,"(388, 536, 99, 103)",1
train,patient001_frame01_7_MRI_heart_myocardium.png,"(216, 256)",10720,"(404, 428, 191, 183)",7
train,patient001_frame01_7_MRI_heart_left+heart+ventricle.png,"(216, 256)",18064,"(420, 444, 159, 151)",6
train,patient001_frame01_8_MRI_heart_myocardium.png,"(216, 256)",8752,"(412, 428, 171, 171)",5
train,patient001_frame01_8_MRI_heart_left+heart+ventricle.png,"(216, 256)",14624,"(428, 444, 135, 139)",5
train,patient001_frame01_9_MRI_heart_myocardium.png,"(216, 256)",5088,"(436, 456, 127, 119)",3
train,patient001_frame01_9_MRI_heart_left+heart+ventricle.png,"(216, 256)",7072,"(452, 468, 91, 99)",2
train,patient001_frame12_1_MRI_heart_myocardium.png,"(216, 256)",11856,"(372, 432, 187, 183)",6
