split,fname,original_shape,mask_area,mask_bbox,slice_ratio
split_0,0763890_50_CT_pelvis_uterus.png,"(512, 512)",2664,"(494, 432, 59, 53)",6
split_0,0763890_51_CT_pelvis_uterus.png,"(512, 512)",2280,"(490, 436, 55, 49)",5
split_0,0763890_52_CT_pelvis_uterus.png,"(512, 512)",2248,"(490, 432, 59, 45)",5
split_0,0763890_53_CT_pelvis_uterus.png,"(512, 512)",1876,"(490, 432, 55, 39)",4
split_0,0763890_54_CT_pelvis_uterus.png,"(512, 512)",1680,"(486, 422, 59, 37)",4
split_0,0763890_55_CT_pelvis_uterus.png,"(512, 512)",1724,"(482, 420, 63, 39)",4
split_0,0763890_56_CT_pelvis_uterus.png,"(512, 512)",1964,"(486, 414, 59, 45)",4
split_0,0763890_57_CT_pelvis_uterus.png,"(512, 512)",2348,"(480, 410, 69, 45)",5
split_0,0763890_58_CT_pelvis_uterus.png,"(512, 512)",2740,"(480, 406, 73, 49)",6
split_0,0763890_59_CT_pelvis_uterus.png,"(512, 512)",2672,"(480, 402, 73, 51)",6
split_0,0763890_60_CT_pelvis_uterus.png,"(512, 512)",3412,"(480, 390, 75, 59)",8
split_0,0763890_61_CT_pelvis_uterus.png,"(512, 512)",3520,"(476, 394, 79, 55)",8
split_0,0763890_62_CT_pelvis_uterus.png,"(512, 512)",3920,"(472, 390, 83, 65)",9
split_0,0763890_63_CT_pelvis_uterus.png,"(512, 512)",3784,"(476, 394, 73, 65)",9
split_0,0763890_64_CT_pelvis_uterus.png,"(512, 512)",3728,"(476, 396, 69, 63)",9
split_0,0763890_65_CT_pelvis_uterus.png,"(512, 512)",3980,"(472, 396, 77, 67)",10
split_0,0763890_66_CT_pelvis_uterus.png,"(512, 512)",3816,"(476, 396, 69, 67)",9
split_0,0763890_67_CT_pelvis_uterus.png,"(512, 512)",3508,"(480, 394, 65, 65)",8
split_0,0763890_68_CT_pelvis_uterus.png,"(512, 512)",3500,"(480, 394, 65, 69)",8
split_0,0763890_69_CT_pelvis_uterus.png,"(512, 512)",3312,"(482, 396, 63, 63)",8
split_0,0763890_70_CT_pelvis_uterus.png,"(512, 512)",2840,"(482, 398, 61, 57)",7
split_0,0763890_71_CT_pelvis_uterus.png,"(512, 512)",2780,"(472, 398, 73, 51)",6
split_0,0763890_72_CT_pelvis_uterus.png,"(512, 512)",2236,"(476, 396, 69, 45)",5
split_0,0763890_73_CT_pelvis_uterus.png,"(512, 512)",2052,"(472, 402, 77, 39)",5
split_0,0763890_74_CT_pelvis_uterus.png,"(512, 512)",2008,"(480, 406, 65, 39)",5
split_0,0763890_75_CT_pelvis_uterus.png,"(512, 512)",1756,"(472, 410, 71, 35)",4
split_0,0763890_76_CT_pelvis_uterus.png,"(512, 512)",1608,"(472, 414, 67, 35)",4
split_0,0763890_77_CT_pelvis_uterus.png,"(512, 512)",1908,"(466, 418, 77, 37)",4
split_0,0763890_78_CT_pelvis_uterus.png,"(512, 512)",1884,"(466, 420, 67, 39)",4
split_0,0763890_79_CT_pelvis_uterus.png,"(512, 512)",1996,"(466, 420, 59, 43)",5
split_0,0763890_80_CT_pelvis_uterus.png,"(512, 512)",2140,"(462, 424, 67, 43)",5
split_0,0763890_81_CT_pelvis_uterus.png,"(512, 512)",2484,"(462, 430, 73, 43)",6
split_0,0763890_82_CT_pelvis_uterus.png,"(512, 512)",2712,"(460, 432, 71, 49)",6
split_0,0763890_83_CT_pelvis_uterus.png,"(512, 512)",2596,"(456, 436, 73, 49)",6
split_0,0763890_84_CT_pelvis_uterus.png,"(512, 512)",2668,"(456, 438, 73, 47)",6
split_0,0763890_85_CT_pelvis_uterus.png,"(512, 512)",2688,"(460, 436, 65, 53)",6
split_0,0763890_86_CT_pelvis_uterus.png,"(512, 512)",2772,"(460, 438, 65, 51)",6
split_0,0763890_87_CT_pelvis_uterus.png,"(512, 512)",2392,"(466, 442, 59, 47)",6
split_0,0763890_88_CT_pelvis_uterus.png,"(512, 512)",2052,"(470, 446, 53, 45)",5
split_0,0763890_89_CT_pelvis_uterus.png,"(512, 512)",1608,"(476, 450, 43, 45)",4
split_0,0763890_90_CT_pelvis_uterus.png,"(512, 512)",448,"(494, 456, 21, 21)",1
split_0,8745574_52_CT_pelvis_uterus.png,"(512, 512)",4796,"(456, 520, 105, 63)",3
split_0,8745574_53_CT_pelvis_uterus.png,"(512, 512)",5032,"(456, 526, 105, 57)",3
split_0,8745574_54_CT_pelvis_uterus.png,"(512, 512)",6176,"(456, 520, 113, 69)",3
split_0,8745574_55_CT_pelvis_uterus.png,"(512, 512)",6176,"(456, 520, 113, 69)",3
split_0,8745574_56_CT_pelvis_uterus.png,"(512, 512)",5680,"(464, 514, 87, 81)",3
split_0,8745574_57_CT_pelvis_uterus.png,"(512, 512)",5904,"(456, 508, 95, 87)",3
split_0,8745574_58_CT_pelvis_uterus.png,"(512, 512)",6452,"(456, 502, 105, 93)",4
split_0,8745574_59_CT_pelvis_uterus.png,"(512, 512)",6988,"(456, 502, 105, 99)",4
split_0,8745574_60_CT_pelvis_uterus.png,"(512, 512)",9128,"(448, 484, 129, 99)",5
split_0,8745574_61_CT_pelvis_uterus.png,"(512, 512)",9136,"(440, 484, 145, 87)",5
split_0,8745574_62_CT_pelvis_uterus.png,"(512, 512)",8420,"(440, 478, 145, 87)",5
split_0,8745574_63_CT_pelvis_uterus.png,"(512, 512)",10708,"(432, 454, 161, 99)",6
split_0,8745574_64_CT_pelvis_uterus.png,"(512, 512)",12064,"(432, 454, 161, 99)",7
split_0,8745574_65_CT_pelvis_uterus.png,"(512, 512)",14664,"(432, 436, 161, 111)",9
split_0,8745574_66_CT_pelvis_uterus.png,"(512, 512)",15072,"(424, 430, 177, 111)",9
split_0,8745574_67_CT_pelvis_uterus.png,"(512, 512)",15476,"(416, 424, 193, 117)",9
split_0,8745574_68_CT_pelvis_uterus.png,"(512, 512)",15680,"(408, 424, 201, 111)",10
split_0,8745574_69_CT_pelvis_uterus.png,"(512, 512)",14928,"(408, 424, 201, 111)",9
split_0,8745574_70_CT_pelvis_uterus.png,"(512, 512)",14956,"(398, 424, 211, 105)",9
split_0,8745574_71_CT_pelvis_uterus.png,"(512, 512)",14584,"(398, 424, 211, 105)",9
split_0,8745574_72_CT_pelvis_uterus.png,"(512, 512)",14536,"(390, 430, 227, 105)",9
split_0,8745574_73_CT_pelvis_uterus.png,"(512, 512)",13336,"(398, 436, 219, 93)",8
split_0,8745574_74_CT_pelvis_uterus.png,"(512, 512)",13328,"(398, 436, 219, 93)",8
split_0,8745574_75_CT_pelvis_uterus.png,"(512, 512)",12728,"(398, 436, 219, 93)",8
split_0,8745574_76_CT_pelvis_uterus.png,"(512, 512)",12064,"(398, 436, 219, 93)",7
split_0,8745574_77_CT_pelvis_uterus.png,"(512, 512)",10548,"(408, 442, 209, 77)",6
split_0,8745574_78_CT_pelvis_uterus.png,"(512, 512)",11124,"(408, 442, 209, 77)",7
split_0,8745574_79_CT_pelvis_uterus.png,"(512, 512)",10884,"(416, 448, 201, 77)",6
