split,fname,original_shape,mask_area,mask_bbox
train,benign (1)_ultrasound_breast_benign+tumor.png,"(471, 562)",3263,"(327, 525, 46, 92)"
train,benign (1)_ultrasound_breast_tumor.png,"(471, 562)",3263,"(327, 525, 46, 92)"
train,benign (10)_ultrasound_breast_benign+tumor.png,"(585, 683)",74014,"(174, 36, 294, 312)"
train,benign (10)_ultrasound_breast_tumor.png,"(585, 683)",74014,"(174, 36, 294, 312)"
train,benign (100)_ultrasound_breast_benign+tumor.png,"(473, 323)",33283,"(273, 591, 207, 218)"
train,benign (100)_ultrasound_breast_tumor.png,"(473, 323)",33283,"(273, 591, 207, 218)"
train,benign (101)_ultrasound_breast_benign+tumor.png,"(473, 563)",13737,"(395, 797, 91, 179)"
train,benign (101)_ultrasound_breast_tumor.png,"(473, 563)",13737,"(395, 797, 91, 179)"
train,benign (102)_ultrasound_breast_benign+tumor.png,"(610, 634)",49222,"(105, 426, 201, 300)"
train,benign (102)_ultrasound_breast_tumor.png,"(610, 634)",49222,"(105, 426, 201, 300)"
train,benign (103)_ultrasound_breast_benign+tumor.png,"(585, 766)",88702,"(331, 36, 250, 456)"
train,benign (103)_ultrasound_breast_tumor.png,"(585, 766)",88702,"(331, 36, 250, 456)"
train,benign (104)_ultrasound_breast_benign+tumor.png,"(578, 777)",6826,"(210, 795, 70, 116)"
train,benign (104)_ultrasound_breast_tumor.png,"(578, 777)",6826,"(210, 795, 70, 116)"
train,benign (105)_ultrasound_breast_benign+tumor.png,"(581, 882)",11864,"(355, 488, 103, 148)"
train,benign (105)_ultrasound_breast_tumor.png,"(581, 882)",11864,"(355, 488, 103, 148)"
train,benign (106)_ultrasound_breast_benign+tumor.png,"(716, 808)",18746,"(279, 286, 141, 165)"
train,benign (106)_ultrasound_breast_tumor.png,"(716, 808)",18746,"(279, 286, 141, 165)"
train,benign (107)_ultrasound_breast_benign+tumor.png,"(616, 759)",18029,"(409, 503, 129, 175)"
train,benign (107)_ultrasound_breast_tumor.png,"(616, 759)",18029,"(409, 503, 129, 175)"
train,benign (108)_ultrasound_breast_benign+tumor.png,"(582, 769)",24595,"(256, 727, 143, 256)"
train,benign (108)_ultrasound_breast_tumor.png,"(582, 769)",24595,"(256, 727, 143, 256)"
train,benign (109)_ultrasound_breast_benign+tumor.png,"(470, 562)",94411,"(242, 97, 300, 401)"
train,benign (109)_ultrasound_breast_tumor.png,"(470, 562)",94411,"(242, 97, 300, 401)"
train,benign (11)_ultrasound_breast_benign+tumor.png,"(587, 689)",4324,"(272, 545, 55, 106)"
train,benign (11)_ultrasound_breast_tumor.png,"(587, 689)",4324,"(272, 545, 55, 106)"
train,benign (110)_ultrasound_breast_benign+tumor.png,"(468, 555)",128633,"(137, 146, 263, 574)"
train,benign (110)_ultrasound_breast_tumor.png,"(468, 555)",128633,"(137, 146, 263, 574)"
train,benign (111)_ultrasound_breast_benign+tumor.png,"(477, 315)",10946,"(311, 532, 96, 137)"
train,benign (111)_ultrasound_breast_tumor.png,"(477, 315)",10946,"(311, 532, 96, 137)"
train,benign (112)_ultrasound_breast_benign+tumor.png,"(612, 652)",12298,"(203, 267, 101, 156)"
train,benign (112)_ultrasound_breast_tumor.png,"(612, 652)",12298,"(203, 267, 101, 156)"
train,benign (113)_ultrasound_breast_benign+tumor.png,"(695, 810)",34464,"(271, 480, 152, 307)"
train,benign (113)_ultrasound_breast_tumor.png,"(695, 810)",34464,"(271, 480, 152, 307)"
train,benign (114)_ultrasound_breast_benign+tumor.png,"(575, 757)",40178,"(248, 269, 196, 298)"
train,benign (114)_ultrasound_breast_tumor.png,"(575, 757)",40178,"(248, 269, 196, 298)"
train,benign (115)_ultrasound_breast_benign+tumor.png,"(469, 554)",14714,"(393, 514, 99, 180)"
train,benign (115)_ultrasound_breast_tumor.png,"(469, 554)",14714,"(393, 514, 99, 180)"
train,benign (116)_ultrasound_breast_benign+tumor.png,"(588, 766)",9795,"(190, 126, 87, 140)"
train,benign (116)_ultrasound_breast_tumor.png,"(588, 766)",9795,"(190, 126, 87, 140)"
train,benign (117)_ultrasound_breast_benign+tumor.png,"(688, 806)",21877,"(232, 746, 162, 184)"
train,benign (117)_ultrasound_breast_tumor.png,"(688, 806)",21877,"(232, 746, 162, 184)"
train,benign (118)_ultrasound_breast_benign+tumor.png,"(620, 653)",16826,"(173, 351, 126, 153)"
train,benign (118)_ultrasound_breast_tumor.png,"(620, 653)",16826,"(173, 351, 126, 153)"
train,benign (119)_ultrasound_breast_benign+tumor.png,"(585, 762)",9307,"(423, 222, 77, 147)"
train,benign (119)_ultrasound_breast_tumor.png,"(585, 762)",9307,"(423, 222, 77, 147)"
train,benign (12)_ultrasound_breast_benign+tumor.png,"(571, 678)",6589,"(349, 518, 66, 117)"
train,benign (12)_ultrasound_breast_tumor.png,"(571, 678)",6589,"(349, 518, 66, 117)"
train,benign (120)_ultrasound_breast_benign+tumor.png,"(695, 808)",3110,"(280, 90, 53, 70)"
train,benign (120)_ultrasound_breast_tumor.png,"(695, 808)",3110,"(280, 90, 53, 70)"
train,benign (121)_ultrasound_breast_benign+tumor.png,"(610, 646)",44585,"(101, 406, 193, 279)"
train,benign (121)_ultrasound_breast_tumor.png,"(610, 646)",44585,"(101, 406, 193, 279)"
train,benign (122)_ultrasound_breast_benign+tumor.png,"(577, 774)",24852,"(329, 201, 171, 196)"
train,benign (122)_ultrasound_breast_tumor.png,"(577, 774)",24852,"(329, 201, 171, 196)"
train,benign (123)_ultrasound_breast_benign+tumor.png,"(610, 648)",55710,"(212, 461, 214, 349)"
train,benign (123)_ultrasound_breast_tumor.png,"(610, 648)",55710,"(212, 461, 214, 349)"
train,benign (124)_ultrasound_breast_benign+tumor.png,"(614, 645)",19164,"(343, 343, 92, 245)"
train,benign (124)_ultrasound_breast_tumor.png,"(614, 645)",19164,"(343, 343, 92, 245)"
train,benign (125)_ultrasound_breast_benign+tumor.png,"(578, 756)",8999,"(340, 297, 105, 123)"
train,benign (125)_ultrasound_breast_tumor.png,"(578, 756)",8999,"(340, 297, 105, 123)"
train,benign (126)_ultrasound_breast_benign+tumor.png,"(570, 771)",10062,"(332, 324, 105, 136)"
train,benign (126)_ultrasound_breast_tumor.png,"(570, 771)",10062,"(332, 324, 105, 136)"
train,benign (127)_ultrasound_breast_benign+tumor.png,"(476, 558)",14547,"(200, 336, 138, 135)"
train,benign (127)_ultrasound_breast_tumor.png,"(476, 558)",14547,"(200, 336, 138, 135)"
train,benign (128)_ultrasound_breast_benign+tumor.png,"(475, 549)",13544,"(159, 326, 135, 124)"
train,benign (128)_ultrasound_breast_tumor.png,"(475, 549)",13544,"(159, 326, 135, 124)"
train,benign (129)_ultrasound_breast_benign+tumor.png,"(587, 775)",11305,"(337, 247, 83, 180)"
train,benign (129)_ultrasound_breast_tumor.png,"(587, 775)",11305,"(337, 247, 83, 180)"
train,benign (13)_ultrasound_breast_benign+tumor.png,"(571, 678)",119744,"(242, 275, 298, 535)"
train,benign (13)_ultrasound_breast_tumor.png,"(571, 678)",119744,"(242, 275, 298, 535)"
train,benign (130)_ultrasound_breast_benign+tumor.png,"(474, 558)",50480,"(191, 75, 193, 341)"
train,benign (130)_ultrasound_breast_tumor.png,"(474, 558)",50480,"(191, 75, 193, 341)"
train,benign (131)_ultrasound_breast_benign+tumor.png,"(435, 587)",205249,"(218, 23, 454, 559)"
train,benign (131)_ultrasound_breast_tumor.png,"(435, 587)",205249,"(218, 23, 454, 559)"
train,benign (132)_ultrasound_breast_benign+tumor.png,"(483, 552)",22252,"(190, 544, 147, 191)"
train,benign (132)_ultrasound_breast_tumor.png,"(483, 552)",22252,"(190, 544, 147, 191)"
train,benign (133)_ultrasound_breast_benign+tumor.png,"(342, 369)",9292,"(314, 502, 80, 138)"
train,benign (133)_ultrasound_breast_tumor.png,"(342, 369)",9292,"(314, 502, 80, 138)"
train,benign (134)_ultrasound_breast_benign+tumor.png,"(345, 378)",9198,"(204, 599, 69, 156)"
train,benign (134)_ultrasound_breast_tumor.png,"(345, 378)",9198,"(204, 599, 69, 156)"
train,benign (135)_ultrasound_breast_benign+tumor.png,"(582, 776)",19392,"(207, 268, 138, 174)"
train,benign (135)_ultrasound_breast_tumor.png,"(582, 776)",19392,"(207, 268, 138, 174)"
train,benign (136)_ultrasound_breast_benign+tumor.png,"(581, 886)",21696,"(358, 196, 123, 211)"
train,benign (136)_ultrasound_breast_tumor.png,"(581, 886)",21696,"(358, 196, 123, 211)"
train,benign (137)_ultrasound_breast_benign+tumor.png,"(578, 777)",9638,"(383, 166, 96, 136)"
train,benign (137)_ultrasound_breast_tumor.png,"(578, 777)",9638,"(383, 166, 96, 136)"
train,benign (138)_ultrasound_breast_benign+tumor.png,"(600, 766)",3684,"(217, 553, 47, 93)"
train,benign (138)_ultrasound_breast_tumor.png,"(600, 766)",3684,"(217, 553, 47, 93)"
train,benign (139)_ultrasound_breast_benign+tumor.png,"(468, 563)",34365,"(179, 553, 168, 263)"
train,benign (139)_ultrasound_breast_tumor.png,"(468, 563)",34365,"(179, 553, 168, 263)"
train,benign (14)_ultrasound_breast_benign+tumor.png,"(531, 699)",9415,"(341, 749, 78, 161)"
train,benign (14)_ultrasound_breast_tumor.png,"(531, 699)",9415,"(341, 749, 78, 161)"
train,benign (140)_ultrasound_breast_benign+tumor.png,"(591, 452)",156190,"(301, 285, 370, 518)"
train,benign (140)_ultrasound_breast_tumor.png,"(591, 452)",156190,"(301, 285, 370, 518)"
train,benign (141)_ultrasound_breast_benign+tumor.png,"(471, 567)",446844,"(150, 79, 624, 942)"
train,benign (141)_ultrasound_breast_tumor.png,"(471, 567)",446844,"(150, 79, 624, 942)"
train,benign (142)_ultrasound_breast_benign+tumor.png,"(582, 785)",7610,"(294, 377, 85, 105)"
train,benign (142)_ultrasound_breast_tumor.png,"(582, 785)",7610,"(294, 377, 85, 105)"
train,benign (143)_ultrasound_breast_benign+tumor.png,"(467, 554)",4759,"(313, 482, 56, 105)"
train,benign (143)_ultrasound_breast_tumor.png,"(467, 554)",4759,"(313, 482, 56, 105)"
train,benign (144)_ultrasound_breast_benign+tumor.png,"(580, 770)",2231,"(262, 250, 40, 62)"
train,benign (144)_ultrasound_breast_tumor.png,"(580, 770)",2231,"(262, 250, 40, 62)"
train,benign (145)_ultrasound_breast_benign+tumor.png,"(574, 779)",14915,"(483, 577, 111, 158)"
train,benign (145)_ultrasound_breast_tumor.png,"(574, 779)",14915,"(483, 577, 111, 158)"
train,benign (146)_ultrasound_breast_benign+tumor.png,"(594, 449)",4496,"(193, 359, 70, 79)"
train,benign (146)_ultrasound_breast_tumor.png,"(594, 449)",4496,"(193, 359, 70, 79)"
train,benign (147)_ultrasound_breast_benign+tumor.png,"(463, 564)",12295,"(282, 171, 123, 135)"
train,benign (147)_ultrasound_breast_tumor.png,"(463, 564)",12295,"(282, 171, 123, 135)"
train,benign (148)_ultrasound_breast_benign+tumor.png,"(463, 567)",36874,"(215, 294, 189, 236)"
train,benign (148)_ultrasound_breast_tumor.png,"(463, 567)",36874,"(215, 294, 189, 236)"
