split,fname,original_shape,mask_area,mask_bbox
train,patient0001_4CH_half_sequence_0_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",116094,"(392, 241, 349, 444)"
train,patient0001_4CH_half_sequence_0_ultrasound_heart_left+heart+atrium.png,"(549, 389)",39725,"(464, 679, 248, 195)"
train,patient0001_4CH_half_sequence_1_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",112967,"(395, 241, 343, 441)"
train,patient0001_4CH_half_sequence_1_ultrasound_heart_left+heart+atrium.png,"(549, 389)",40824,"(463, 675, 247, 199)"
train,patient0001_4CH_half_sequence_2_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",109692,"(397, 241, 337, 435)"
train,patient0001_4CH_half_sequence_2_ultrasound_heart_left+heart+atrium.png,"(549, 389)",41959,"(463, 671, 245, 203)"
train,patient0001_4CH_half_sequence_3_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",106623,"(401, 241, 331, 431)"
train,patient0001_4CH_half_sequence_3_ultrasound_heart_left+heart+atrium.png,"(549, 389)",42980,"(461, 668, 245, 206)"
train,patient0001_4CH_half_sequence_4_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",103623,"(405, 242, 323, 427)"
train,patient0001_4CH_half_sequence_4_ultrasound_heart_left+heart+atrium.png,"(549, 389)",44071,"(459, 664, 245, 210)"
train,patient0001_4CH_half_sequence_5_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",100596,"(408, 242, 317, 423)"
train,patient0001_4CH_half_sequence_5_ultrasound_heart_left+heart+atrium.png,"(549, 389)",45239,"(457, 660, 245, 214)"
train,patient0001_4CH_half_sequence_6_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",97542,"(412, 242, 311, 417)"
train,patient0001_4CH_half_sequence_6_ultrasound_heart_left+heart+atrium.png,"(549, 389)",46389,"(455, 657, 245, 217)"
train,patient0001_4CH_half_sequence_7_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",94762,"(416, 244, 303, 412)"
train,patient0001_4CH_half_sequence_7_ultrasound_heart_left+heart+atrium.png,"(549, 389)",47388,"(455, 655, 245, 219)"
train,patient0001_4CH_half_sequence_8_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",91828,"(420, 244, 295, 408)"
train,patient0001_4CH_half_sequence_8_ultrasound_heart_left+heart+atrium.png,"(549, 389)",48568,"(453, 651, 247, 223)"
train,patient0001_4CH_half_sequence_9_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",88968,"(422, 244, 291, 404)"
train,patient0001_4CH_half_sequence_9_ultrasound_heart_left+heart+atrium.png,"(549, 389)",49837,"(451, 647, 247, 227)"
train,patient0001_4CH_half_sequence_10_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",86098,"(425, 246, 285, 396)"
train,patient0001_4CH_half_sequence_10_ultrasound_heart_left+heart+atrium.png,"(549, 389)",51105,"(450, 643, 248, 231)"
train,patient0001_4CH_half_sequence_11_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",83572,"(429, 246, 277, 393)"
train,patient0001_4CH_half_sequence_11_ultrasound_heart_left+heart+atrium.png,"(549, 389)",52029,"(448, 640, 250, 234)"
train,patient0001_4CH_half_sequence_12_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",80791,"(433, 246, 271, 389)"
train,patient0001_4CH_half_sequence_12_ultrasound_heart_left+heart+atrium.png,"(549, 389)",53212,"(448, 636, 250, 238)"
train,patient0001_4CH_half_sequence_13_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",78165,"(436, 246, 264, 385)"
train,patient0001_4CH_half_sequence_13_ultrasound_heart_left+heart+atrium.png,"(549, 389)",54451,"(446, 632, 254, 242)"
train,patient0001_4CH_half_sequence_14_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",75741,"(438, 248, 259, 380)"
train,patient0001_4CH_half_sequence_14_ultrasound_heart_left+heart+atrium.png,"(549, 389)",55475,"(444, 627, 256, 247)"
train,patient0001_4CH_half_sequence_15_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",73094,"(442, 248, 253, 376)"
train,patient0001_4CH_half_sequence_15_ultrasound_heart_left+heart+atrium.png,"(549, 389)",56782,"(442, 623, 258, 251)"
train,patient0001_4CH_half_sequence_16_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",70575,"(446, 248, 245, 372)"
train,patient0001_4CH_half_sequence_16_ultrasound_heart_left+heart+atrium.png,"(549, 389)",58080,"(440, 619, 260, 255)"
train,patient0001_4CH_half_sequence_17_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",68205,"(450, 250, 237, 368)"
train,patient0001_4CH_half_sequence_17_ultrasound_heart_left+heart+atrium.png,"(549, 389)",59216,"(440, 616, 260, 258)"
train,patient0001_4CH_half_sequence_18_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",65971,"(451, 250, 234, 365)"
train,patient0001_4CH_half_sequence_18_ultrasound_heart_left+heart+atrium.png,"(549, 389)",60339,"(438, 612, 262, 262)"
train,patient0001_4CH_half_sequence_19_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",63552,"(455, 250, 227, 361)"
train,patient0001_4CH_half_sequence_19_ultrasound_heart_left+heart+atrium.png,"(549, 389)",61659,"(436, 606, 264, 268)"
train,patient0001_4CH_ES_0_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",63561,"(453, 250, 229, 361)"
train,patient0001_4CH_ES_0_ultrasound_heart_left+heart+atrium.png,"(549, 389)",61675,"(436, 606, 264, 268)"
train,patient0001_4CH_ED_0_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",116196,"(392, 239, 349, 446)"
train,patient0001_4CH_ED_0_ultrasound_heart_left+heart+atrium.png,"(549, 389)",39705,"(464, 679, 248, 195)"
train,patient0001_2CH_half_sequence_0_ultrasound_heart_left+heart+ventricle.png,"(549, 389)",100431,"(408, 246, 304, 432)"
