split,fname,original_shape,mask_area,mask_bbox,slice_ratio
split_0,radiopaedia_4_85506_1_6_CT_lung_COVID-19+infection.png,"(630, 630)",13001,"(179, 489, 781, 233)",1
split_0,radiopaedia_4_85506_1_7_CT_lung_COVID-19+infection.png,"(630, 630)",23200,"(163, 458, 795, 264)",2
split_0,radiopaedia_4_85506_1_8_CT_lung_COVID-19+infection.png,"(630, 630)",40435,"(156, 195, 792, 548)",4
split_0,radiopaedia_4_85506_1_9_CT_lung_COVID-19+infection.png,"(630, 630)",57361,"(150, 190, 860, 568)",5
split_0,radiopaedia_4_85506_1_10_CT_lung_COVID-19+infection.png,"(630, 630)",72928,"(148, 216, 792, 544)",7
split_0,radiopaedia_4_85506_1_11_CT_lung_COVID-19+infection.png,"(630, 630)",96251,"(150, 137, 775, 624)",9
split_0,radiopaedia_4_85506_1_12_CT_lung_COVID-19+infection.png,"(630, 630)",98141,"(159, 137, 763, 628)",9
split_0,radiopaedia_4_85506_1_13_CT_lung_COVID-19+infection.png,"(630, 630)",100966,"(117, 138, 797, 625)",10
split_0,radiopaedia_4_85506_1_14_CT_lung_COVID-19+infection.png,"(630, 630)",80516,"(128, 146, 771, 619)",7
split_0,radiopaedia_4_85506_1_15_CT_lung_COVID-19+infection.png,"(630, 630)",85092,"(130, 151, 760, 612)",8
split_0,radiopaedia_4_85506_1_16_CT_lung_COVID-19+infection.png,"(630, 630)",76138,"(133, 153, 755, 605)",7
split_0,radiopaedia_4_85506_1_17_CT_lung_COVID-19+infection.png,"(630, 630)",58510,"(141, 163, 742, 592)",5
split_0,radiopaedia_4_85506_1_18_CT_lung_COVID-19+infection.png,"(630, 630)",63937,"(150, 166, 727, 594)",6
split_0,radiopaedia_4_85506_1_19_CT_lung_COVID-19+infection.png,"(630, 630)",54682,"(189, 182, 678, 570)",5
split_0,radiopaedia_4_85506_1_20_CT_lung_COVID-19+infection.png,"(630, 630)",40967,"(187, 200, 678, 548)",4
split_0,radiopaedia_4_85506_1_21_CT_lung_COVID-19+infection.png,"(630, 630)",32518,"(390, 218, 427, 503)",3
split_0,radiopaedia_4_85506_1_22_CT_lung_COVID-19+infection.png,"(630, 630)",26258,"(353, 198, 457, 515)",2
split_0,radiopaedia_4_85506_1_23_CT_lung_COVID-19+infection.png,"(630, 630)",20310,"(343, 211, 461, 497)",2
split_0,radiopaedia_4_85506_1_24_CT_lung_COVID-19+infection.png,"(630, 630)",15145,"(327, 241, 488, 444)",1
split_0,radiopaedia_4_85506_1_25_CT_lung_COVID-19+infection.png,"(630, 630)",13462,"(699, 257, 139, 217)",1
split_0,coronacases_002_28_CT_lung_COVID-19+infection.png,"(512, 512)",2380,"(420, 298, 57, 57)",1
split_0,coronacases_002_29_CT_lung_COVID-19+infection.png,"(512, 512)",2744,"(416, 300, 295, 55)",1
split_0,coronacases_002_30_CT_lung_COVID-19+infection.png,"(512, 512)",4044,"(414, 296, 307, 57)",2
split_0,coronacases_002_31_CT_lung_COVID-19+infection.png,"(512, 512)",3596,"(416, 296, 309, 53)",1
split_0,coronacases_002_32_CT_lung_COVID-19+infection.png,"(512, 512)",4064,"(410, 302, 321, 51)",2
split_0,coronacases_002_33_CT_lung_COVID-19+infection.png,"(512, 512)",5444,"(410, 292, 321, 71)",2
split_0,coronacases_002_34_CT_lung_COVID-19+infection.png,"(512, 512)",4888,"(410, 296, 325, 71)",2
split_0,coronacases_002_35_CT_lung_COVID-19+infection.png,"(512, 512)",4764,"(402, 298, 329, 61)",2
split_0,coronacases_002_36_CT_lung_COVID-19+infection.png,"(512, 512)",4708,"(410, 300, 317, 63)",2
split_0,coronacases_002_37_CT_lung_COVID-19+infection.png,"(512, 512)",4852,"(408, 296, 323, 67)",2
split_0,coronacases_002_38_CT_lung_COVID-19+infection.png,"(512, 512)",5056,"(402, 286, 327, 73)",2
split_0,coronacases_002_39_CT_lung_COVID-19+infection.png,"(512, 512)",4872,"(400, 292, 325, 67)",2
split_0,coronacases_002_40_CT_lung_COVID-19+infection.png,"(512, 512)",5020,"(398, 292, 321, 65)",2
split_0,coronacases_002_41_CT_lung_COVID-19+infection.png,"(512, 512)",4308,"(400, 290, 315, 69)",2
split_0,coronacases_002_42_CT_lung_COVID-19+infection.png,"(512, 512)",4164,"(394, 290, 85, 65)",2
split_0,coronacases_002_43_CT_lung_COVID-19+infection.png,"(512, 512)",4116,"(388, 294, 89, 65)",2
split_0,coronacases_002_44_CT_lung_COVID-19+infection.png,"(512, 512)",4500,"(394, 288, 269, 149)",2
split_0,coronacases_002_45_CT_lung_COVID-19+infection.png,"(512, 512)",5200,"(390, 288, 283, 155)",2
split_0,coronacases_002_46_CT_lung_COVID-19+infection.png,"(512, 512)",4212,"(390, 290, 279, 147)",2
split_0,coronacases_002_47_CT_lung_COVID-19+infection.png,"(512, 512)",4348,"(386, 290, 283, 147)",2
split_0,coronacases_002_48_CT_lung_COVID-19+infection.png,"(512, 512)",4260,"(388, 290, 285, 149)",2
split_0,coronacases_002_49_CT_lung_COVID-19+infection.png,"(512, 512)",4400,"(386, 288, 283, 145)",2
split_0,coronacases_002_50_CT_lung_COVID-19+infection.png,"(512, 512)",4160,"(384, 286, 93, 77)",2
split_0,coronacases_002_51_CT_lung_COVID-19+infection.png,"(512, 512)",4356,"(390, 280, 85, 81)",2
split_0,coronacases_002_52_CT_lung_COVID-19+infection.png,"(512, 512)",4140,"(396, 280, 83, 77)",2
split_0,coronacases_002_53_CT_lung_COVID-19+infection.png,"(512, 512)",3996,"(400, 280, 85, 71)",2
split_0,coronacases_002_54_CT_lung_COVID-19+infection.png,"(512, 512)",4324,"(400, 278, 395, 155)",2
split_0,coronacases_002_55_CT_lung_COVID-19+infection.png,"(512, 512)",4392,"(408, 276, 383, 149)",2
split_0,coronacases_002_56_CT_lung_COVID-19+infection.png,"(512, 512)",4044,"(414, 276, 377, 151)",2
split_0,coronacases_002_57_CT_lung_COVID-19+infection.png,"(512, 512)",4056,"(418, 280, 379, 149)",2
split_0,coronacases_002_58_CT_lung_COVID-19+infection.png,"(512, 512)",3496,"(412, 288, 387, 147)",1
split_0,coronacases_002_59_CT_lung_COVID-19+infection.png,"(512, 512)",3316,"(414, 294, 387, 141)",1
split_0,coronacases_002_60_CT_lung_COVID-19+infection.png,"(512, 512)",2960,"(424, 296, 495, 301)",1
split_0,coronacases_002_61_CT_lung_COVID-19+infection.png,"(512, 512)",2740,"(422, 300, 495, 301)",1
split_0,coronacases_002_62_CT_lung_COVID-19+infection.png,"(512, 512)",2968,"(420, 304, 497, 295)",1
split_0,coronacases_002_63_CT_lung_COVID-19+infection.png,"(512, 512)",2916,"(412, 304, 385, 135)",1
split_0,coronacases_002_64_CT_lung_COVID-19+infection.png,"(512, 512)",2128,"(422, 304, 367, 129)",1
split_0,coronacases_002_65_CT_lung_COVID-19+infection.png,"(512, 512)",6680,"(430, 308, 407, 137)",3
