file,dice,assd,medsam_dice,medsam_assd,sam_dice,sam_assd,dino_medsam_dice,dino_medsam_assd,dino_sam_dice,dino_sam_assd,area,box_ratio,convex_ratio,IRI
covid_1579_X-Ray_chest_left+lung.png,0.9806517773926233,3.116703911801859,0.9820608367028727,2.8230791149536025,0.6622032976661253,67.7483073617188,0.35476301850775604,176.87929551584872,0.3076222533434887,257.819580078125,187808,0.4823046916129297,0.9747702017449615,0.5531098563559296
covid_1582_X-Ray_chest_left+lung.png,0.9328247026312627,7.928299977644303,0.9476952355391813,6.19404484543978,0.9502824786297381,8.856896677335937,0.15724031437688718,356.4598693847656,0.14374809066328648,450.9888916015625,78816,0.5517588995064581,0.8391376097950493,0.5556635833674736
covid_1583_X-Ray_chest_left+lung.png,0.9818183209787721,2.435367754390592,0.984522515630858,2.0170842728510823,0.8922937984555452,32.19729440156884,0.32556776936637977,205.09114298564924,0.2352244977986917,310.8333435058594,131968,0.5256579288038781,0.9325240077163874,0.502797493449148
covid_1584_X-Ray_chest_left+lung.png,0.9861869493551095,1.4250821741684905,0.9822584988368038,1.880797444803565,0.85793940590151,45.38017312973075,0.3422826918272539,229.35898409405934,0.19556685015526182,341.1350112376531,111664,0.3595789283862678,0.9131455207098172,0.4289208602338504
covid_1585_X-Ray_chest_left+lung.png,0.9853168132316115,2.057301624734519,0.9762964334285084,3.4717103864399803,0.7700696567592271,47.16335352084916,0.292416654040916,235.12582529503675,0.23399003433905424,374.2041320800781,137168,0.528225449308179,0.9554950298487709,0.6335463600613719
covid_1586_X-Ray_chest_left+lung.png,0.9538533019619708,7.60139502631553,0.9721950522579156,4.346674262377277,0.6714015259298042,67.03835676267792,0.43602051664829267,188.78717759932192,0.2940410410815462,297.9027404785156,178032,0.4483834651797115,0.9392399854391212,0.48518536224346287
covid_1587_X-Ray_chest_left+lung.png,0.9791687763102696,2.037548981969209,0.9646841731724627,3.6646283051112083,0.9486303714466108,8.34704986272619,0.14998731193686332,337.67262795333005,0.12376794602447541,419.1763610839844,67984,0.5252284895354496,0.9355295930864606,0.6556639054289186
covid_1590_X-Ray_chest_left+lung.png,0.9840200981428001,2.0481190384179975,0.9770676709079246,2.938530365886584,0.9148918191723555,13.518050883915874,0.25257050215452875,163.23178100585938,0.18662633837758033,342.6535949707031,106560,0.6042974531720512,0.902614838594916,0.6635347436741255
covid_1591_X-Ray_chest_left+lung.png,0.9638720811760547,6.082733881444251,0.9735247669869843,2.908728414399318,0.7696571356804957,45.424973238235474,0.2199626716405969,330.1167747196756,0.16895135261495522,342.11020818241207,95504,0.4111713371765121,0.9200682074353812,0.48309541156837105
covid_1592_X-Ray_chest_left+lung.png,0.9550009783915243,7.594808757217962,0.9658841288844933,5.590028394247598,0.6848555372506882,64.66857578306588,0.25756320736443045,232.39547729492188,0.23829668121145298,330.8404846191406,139616,0.5425836613981976,0.9659266228959257,0.7118405197433473
covid_1595_X-Ray_chest_left+lung.png,0.987895209027424,1.5081104840684498,0.9758737396812441,3.1054435614775624,0.9204442814855885,14.327198525624816,0.2720246989567459,272.6328430175781,0.1926676418400138,346.8928527832031,110048,0.5087913154840887,0.9545072120597088,0.6547773645745981
covid_1596_X-Ray_chest_left+lung.png,0.955589798421334,4.354748075748041,0.9509645799732444,4.815135184128427,0.8618989750762387,14.93374556202885,0.1657234841554051,256.79703288274584,0.13699349036494934,370.1192626953125,76224,0.45326911069485326,0.824390824239409,0.4974795312768058
covid_1597_X-Ray_chest_left+lung.png,0.9400347301509753,10.26752271129852,0.9666722270193893,6.156985136280429,0.7264045587040127,71.83915254168586,0.35862355900287185,290.73454021182243,0.3223576531611675,281.074462890625,199120,0.5802524179612485,0.9353231026497376,0.6636471897209664
covid_1598_X-Ray_chest_left+lung.png,0.9621599024911104,6.903601151503227,0.9723607241623917,5.187273764794379,0.8083046584339139,42.37866192913821,0.353935412833676,245.6715648824372,0.31206337446955074,271.8307189941406,192080,0.5671078620966575,0.8554644528866581,0.584040175379167
covid_1600_X-Ray_chest_left+lung.png,0.9844633960989614,1.8463837629738415,0.9864867373266757,1.5666307206902212,0.8497326273469012,22.413650300592902,0.2580942682012951,301.3653564453125,0.21750619640451668,319.2396545410156,107456,0.5892487977144236,0.9242334322453016,0.5644488225243193
covid_1601_X-Ray_chest_left+lung.png,0.9623581090405563,6.491178948860895,0.9376101740465248,12.099358969207296,0.5343196965645642,116.04026496566577,0.3923275002928362,224.16743965145832,0.34006010888221366,254.2908935546875,212096,0.4755121211917397,0.892851580095054,0.5557591667921603
covid_1602_X-Ray_chest_left+lung.png,0.973407312205469,3.1777925791808426,0.9778438630347897,2.6200838117607383,0.8533845752838412,17.0915309403066,0.1774855955417021,327.4531555175781,0.16571493580997954,331.8707580566406,93952,0.5007541799691932,0.9347620611089554,0.588552837895099
covid_1603_X-Ray_chest_left+lung.png,0.9858293879319968,1.9894690151262324,0.9832235397452789,2.354058566208892,0.900380135981529,28.972012931192836,0.3106250618875683,196.2101287841797,0.25948704304431325,275.07684326171875,152144,0.576545441454551,0.9084688278110501,0.5407374776154811
covid_1604_X-Ray_chest_left+lung.png,0.988620247343837,1.376143300791743,0.9887053814402204,1.3547112025736348,0.9554854539081669,10.214034796150388,0.2233255695574188,341.6884172292946,0.18237838103703288,355.13641357421875,103824,0.5214011299435029,0.9312822352782886,0.7071953429055604
covid_1608_X-Ray_chest_left+lung.png,0.9876449534002586,1.4118824020512932,0.988675202015943,1.2842673851433533,0.9178109474160158,10.297562645693581,0.19126229749289822,196.40788648701363,0.17644549538399962,354.4790344238281,100512,0.4934581641620313,0.9549198628119745,0.5994861477923564
covid_1609_X-Ray_chest_left+lung.png,0.9816477892043031,1.9964628675510134,0.9726195200220838,3.0944083079528473,0.9498440732765121,6.709077932832783,0.19459267042159717,272.0682373046875,0.15111661977859317,338.82122802734375,84736,0.5318170121694815,0.9365474098389646,0.6098943547433515
covid_1610_X-Ray_chest_left+lung.png,0.9735244610957268,2.754154838300566,0.9719198862792523,2.9317264564221626,0.6733952082219495,44.682616097887866,0.0,327.3070068359375,0.0,343.8928527832031,92848,0.38758855034167805,0.8835177801672868,0.5140430462950304
covid_1611_X-Ray_chest_left+lung.png,0.966289915369848,3.424717267110003,0.9657886956093235,3.4724059518314454,0.848198807912422,26.26721462600628,0.15917249129981875,341.7100830078125,0.1416827901022119,416.9114074707031,78464,0.4470246403646204,0.9445641575076141,0.49442489998161115
covid_1612_X-Ray_chest_left+lung.png,0.9753955523344116,2.665690493197122,0.9784098971976078,2.3277433966220826,0.13624574485329874,54.244512722431374,0.22129294592623086,321.3834228515625,0.16379523101417795,410.8057861328125,91920,0.46840364653665645,0.9579690056590205,0.48071363268332706
covid_1613_X-Ray_chest_left+lung.png,0.9658796844462831,5.684748845090385,0.9795818884814376,3.457598711039181,0.785114814534129,38.79753888318994,0.0,386.6503601074219,7.562628013234599e-05,353.76788330078125,178672,0.5523825423472053,0.9641633344665512,0.6298145390332355
covid_1614_X-Ray_chest_left+lung.png,0.9713552624826808,4.171112261002253,0.9744201804379904,3.758874101514467,0.843299224845653,25.921507724947617,0.0,317.09661865234375,0.0,342.0121765136719,142736,0.5989936758528366,0.9281770829946482,0.5444106604970521
covid_1615_X-Ray_chest_left+lung.png,0.9886096667520292,1.7189217987170229,0.9870495246517798,1.9897787535663467,0.8057866534418734,54.570450263072736,0.37522912140973297,169.76266186240483,0.29628184084641557,290.3171081542969,179152,0.5100195009465788,0.896795799148016,0.5802655158462849
covid_1616_X-Ray_chest_left+lung.png,0.9661638613248187,5.324470057935705,0.9653196338267064,5.5694587076770254,0.841307347421714,29.17353519616689,0.31168546372784867,252.49204567553764,0.24250204184898977,308.03375244140625,142816,0.7329573156649508,0.9621061566548326,0.5997956163762987
covid_1620_X-Ray_chest_left+lung.png,0.9677913140704605,4.904596086260195,0.9757353384264126,3.5972479196219087,0.8659182534267816,25.045106502855997,0.3128425927018702,272.1807556152344,0.2472869873771554,336.51495361328125,145792,0.541034404699613,0.9459825976368603,0.6298494956847042
covid_1621_X-Ray_chest_left+lung.png,0.9819340128405472,2.9564528662301393,0.9758145887053212,4.036938666861204,0.7799787518420782,39.04571123706976,0.33197869185567574,214.54817740540207,0.31263434264721346,229.0690933151539,192608,0.5235606079139722,0.8810938650783848,0.6171807792417894
covid_1622_X-Ray_chest_left+lung.png,0.978182523439965,3.6974111957051767,0.9756305743871598,4.181532826032795,0.7954425774330988,48.52199185864651,0.33354178678161095,285.1732232470806,0.29181385602292637,348.6753845214844,176160,0.6496509453793134,0.9167694493450531,0.6792141313939112
