split,fname,original_shape,mask_area,mask_bbox
train,covid_1_X-Ray_chest_lung.png,"(256, 256)",164000,"(184, 184, 535, 635)"
train,covid_1_X-Ray_chest_left+lung.png,"(256, 256)",76656,"(184, 552, 535, 267)"
train,covid_1_X-Ray_chest_right+lung.png,"(256, 256)",87344,"(188, 184, 483, 299)"
train,covid_1_X-Ray_chest_COVID-19+infection.png,"(256, 256)",144640,"(188, 184, 527, 635)"
train,covid_100_X-Ray_chest_lung.png,"(256, 256)",178368,"(112, 136, 527, 679)"
train,covid_100_X-Ray_chest_left+lung.png,"(256, 256)",83696,"(112, 492, 527, 323)"
train,covid_100_X-Ray_chest_right+lung.png,"(256, 256)",94672,"(120, 136, 495, 275)"
train,covid_100_X-Ray_chest_COVID-19+infection.png,"(256, 256)",170896,"(116, 136, 499, 667)"
train,covid_1000_X-Ray_chest_lung.png,"(256, 256)",376464,"(56, 36, 947, 979)"
train,covid_1000_X-Ray_chest_left+lung.png,"(256, 256)",210752,"(56, 580, 947, 435)"
train,covid_1000_X-Ray_chest_right+lung.png,"(256, 256)",165712,"(84, 36, 883, 435)"
train,covid_1000_X-Ray_chest_COVID-19+infection.png,"(256, 256)",346640,"(56, 68, 923, 939)"
train,covid_1001_X-Ray_chest_lung.png,"(256, 256)",246864,"(120, 176, 839, 687)"
train,covid_1001_X-Ray_chest_left+lung.png,"(256, 256)",96208,"(124, 600, 835, 263)"
train,covid_1001_X-Ray_chest_right+lung.png,"(256, 256)",150656,"(120, 176, 711, 339)"
train,covid_1001_X-Ray_chest_COVID-19+infection.png,"(256, 256)",15424,"(596, 756, 287, 107)"
train,covid_1002_X-Ray_chest_lung.png,"(256, 256)",315840,"(44, 96, 887, 799)"
train,covid_1002_X-Ray_chest_left+lung.png,"(256, 256)",141600,"(68, 568, 863, 327)"
train,covid_1002_X-Ray_chest_right+lung.png,"(256, 256)",174240,"(44, 96, 735, 395)"
train,covid_1002_X-Ray_chest_COVID-19+infection.png,"(256, 256)",153776,"(232, 104, 675, 791)"
train,covid_1007_X-Ray_chest_lung.png,"(256, 256)",321328,"(208, 28, 815, 855)"
train,covid_1007_X-Ray_chest_left+lung.png,"(256, 256)",147712,"(216, 524, 807, 359)"
train,covid_1007_X-Ray_chest_right+lung.png,"(256, 256)",173616,"(208, 28, 803, 395)"
train,covid_1007_X-Ray_chest_COVID-19+infection.png,"(256, 256)",31520,"(620, 88, 203, 275)"
train,covid_1008_X-Ray_chest_lung.png,"(256, 256)",432528,"(76, 28, 907, 975)"
train,covid_1008_X-Ray_chest_left+lung.png,"(256, 256)",185200,"(84, 608, 899, 395)"
train,covid_1008_X-Ray_chest_right+lung.png,"(256, 256)",247328,"(76, 28, 879, 467)"
train,covid_1008_X-Ray_chest_COVID-19+infection.png,"(256, 256)",335344,"(76, 28, 903, 975)"
train,covid_1009_X-Ray_chest_lung.png,"(256, 256)",197472,"(52, 184, 631, 643)"
train,covid_1009_X-Ray_chest_left+lung.png,"(256, 256)",89632,"(52, 540, 631, 287)"
train,covid_1009_X-Ray_chest_right+lung.png,"(256, 256)",107840,"(52, 184, 575, 287)"
train,covid_1009_X-Ray_chest_COVID-19+infection.png,"(256, 256)",18880,"(436, 680, 207, 143)"
train,covid_101_X-Ray_chest_lung.png,"(256, 256)",151120,"(120, 168, 571, 551)"
train,covid_101_X-Ray_chest_left+lung.png,"(256, 256)",75056,"(120, 460, 571, 259)"
train,covid_101_X-Ray_chest_right+lung.png,"(256, 256)",76064,"(128, 168, 515, 231)"
train,covid_101_X-Ray_chest_COVID-19+infection.png,"(256, 256)",41216,"(308, 168, 335, 191)"
train,covid_1010_X-Ray_chest_lung.png,"(256, 256)",170864,"(184, 212, 619, 615)"
train,covid_1010_X-Ray_chest_left+lung.png,"(256, 256)",67856,"(184, 536, 615, 291)"
train,covid_1010_X-Ray_chest_right+lung.png,"(256, 256)",103008,"(192, 212, 611, 247)"
train,covid_1010_X-Ray_chest_COVID-19+infection.png,"(256, 256)",13136,"(508, 668, 219, 147)"
train,covid_1011_X-Ray_chest_lung.png,"(256, 256)",149712,"(184, 92, 615, 675)"
train,covid_1011_X-Ray_chest_left+lung.png,"(256, 256)",52368,"(184, 452, 523, 315)"
train,covid_1011_X-Ray_chest_right+lung.png,"(256, 256)",97344,"(196, 92, 603, 247)"
train,covid_1011_X-Ray_chest_COVID-19+infection.png,"(256, 256)",114400,"(184, 92, 611, 675)"
train,covid_1014_X-Ray_chest_lung.png,"(256, 256)",263344,"(112, 96, 723, 867)"
train,covid_1014_X-Ray_chest_left+lung.png,"(256, 256)",123632,"(112, 588, 695, 375)"
train,covid_1014_X-Ray_chest_right+lung.png,"(256, 256)",139712,"(112, 96, 723, 403)"
train,covid_1014_X-Ray_chest_COVID-19+infection.png,"(256, 256)",104896,"(332, 100, 499, 839)"
train,covid_1015_X-Ray_chest_lung.png,"(256, 256)",310944,"(56, 128, 819, 775)"
train,covid_1015_X-Ray_chest_left+lung.png,"(256, 256)",142448,"(60, 544, 791, 359)"
train,covid_1015_X-Ray_chest_right+lung.png,"(256, 256)",168496,"(56, 128, 819, 335)"
train,covid_1015_X-Ray_chest_COVID-19+infection.png,"(256, 256)",97952,"(464, 128, 387, 775)"
train,covid_1016_X-Ray_chest_lung.png,"(256, 256)",267904,"(184, 28, 763, 891)"
train,covid_1016_X-Ray_chest_left+lung.png,"(256, 256)",90496,"(224, 576, 715, 343)"
