split,fname,original_shape,mask_area,mask_bbox
train,CHNCXR_0001_0_X-Ray_chest_lung.png,"(2919, 3000)",250562,"(135, 140, 670, 781)"
train,CHNCXR_0001_0_X-Ray_chest_left+lung.png,"(2919, 3000)",127895,"(135, 563, 670, 358)"
train,CHNCXR_0001_0_X-Ray_chest_right+lung.png,"(2919, 3000)",122667,"(153, 140, 647, 362)"
train,CHNCXR_0002_0_X-Ray_chest_lung.png,"(2951, 3000)",223626,"(211, 164, 597, 666)"
train,CHNCXR_0002_0_X-Ray_chest_left+lung.png,"(2951, 3000)",121970,"(211, 559, 597, 271)"
train,CHNCXR_0002_0_X-Ray_chest_right+lung.png,"(2951, 3000)",101656,"(258, 164, 516, 309)"
train,CHNCXR_0003_0_X-Ray_chest_lung.png,"(2945, 2987)",247389,"(137, 159, 656, 636)"
train,CHNCXR_0003_0_X-Ray_chest_left+lung.png,"(2945, 2987)",120686,"(137, 529, 656, 266)"
train,CHNCXR_0003_0_X-Ray_chest_right+lung.png,"(2945, 2987)",126703,"(142, 159, 644, 295)"
train,CHNCXR_0004_0_X-Ray_chest_lung.png,"(2933, 3000)",228557,"(133, 237, 654, 650)"
train,CHNCXR_0004_0_X-Ray_chest_left+lung.png,"(2933, 3000)",108675,"(133, 550, 654, 337)"
train,CHNCXR_0004_0_X-Ray_chest_right+lung.png,"(2933, 3000)",119882,"(150, 237, 618, 256)"
train,CHNCXR_0005_0_X-Ray_chest_lung.png,"(2933, 3000)",244291,"(176, 177, 644, 644)"
train,CHNCXR_0005_0_X-Ray_chest_left+lung.png,"(2933, 3000)",113905,"(176, 538, 644, 283)"
train,CHNCXR_0005_0_X-Ray_chest_right+lung.png,"(2933, 3000)",130386,"(177, 177, 632, 282)"
train,CHNCXR_0006_0_X-Ray_chest_lung.png,"(2948, 2775)",227632,"(102, 187, 671, 660)"
train,CHNCXR_0006_0_X-Ray_chest_left+lung.png,"(2948, 2775)",106437,"(102, 557, 657, 290)"
train,CHNCXR_0006_0_X-Ray_chest_right+lung.png,"(2948, 2775)",121195,"(125, 187, 648, 298)"
train,CHNCXR_0007_0_X-Ray_chest_lung.png,"(2320, 2306)",367756,"(120, 109, 771, 804)"
train,CHNCXR_0007_0_X-Ray_chest_left+lung.png,"(2320, 2306)",188642,"(126, 566, 765, 347)"
train,CHNCXR_0007_0_X-Ray_chest_right+lung.png,"(2320, 2306)",179114,"(120, 109, 741, 402)"
train,CHNCXR_0008_0_X-Ray_chest_lung.png,"(2937, 3000)",171055,"(171, 111, 471, 718)"
train,CHNCXR_0008_0_X-Ray_chest_left+lung.png,"(2937, 3000)",77292,"(171, 507, 459, 322)"
train,CHNCXR_0008_0_X-Ray_chest_right+lung.png,"(2937, 3000)",93763,"(173, 111, 469, 307)"
train,CHNCXR_0009_0_X-Ray_chest_lung.png,"(2942, 2516)",188912,"(104, 186, 590, 629)"
train,CHNCXR_0009_0_X-Ray_chest_left+lung.png,"(2942, 2516)",83627,"(104, 537, 590, 278)"
train,CHNCXR_0009_0_X-Ray_chest_right+lung.png,"(2942, 2516)",105285,"(108, 186, 574, 304)"
train,CHNCXR_0010_0_X-Ray_chest_lung.png,"(2947, 3000)",159884,"(144, 225, 500, 655)"
train,CHNCXR_0010_0_X-Ray_chest_left+lung.png,"(2947, 3000)",68448,"(144, 598, 478, 282)"
train,CHNCXR_0010_0_X-Ray_chest_right+lung.png,"(2947, 3000)",91436,"(150, 225, 494, 283)"
train,CHNCXR_0011_0_X-Ray_chest_lung.png,"(2921, 3000)",215543,"(30, 179, 594, 692)"
train,CHNCXR_0011_0_X-Ray_chest_left+lung.png,"(2921, 3000)",104961,"(30, 576, 594, 295)"
train,CHNCXR_0011_0_X-Ray_chest_right+lung.png,"(2921, 3000)",110582,"(45, 179, 551, 336)"
train,CHNCXR_0012_0_X-Ray_chest_lung.png,"(2959, 3000)",272400,"(133, 193, 749, 617)"
train,CHNCXR_0012_0_X-Ray_chest_left+lung.png,"(2959, 3000)",127303,"(133, 551, 743, 259)"
train,CHNCXR_0012_0_X-Ray_chest_right+lung.png,"(2959, 3000)",145097,"(138, 193, 744, 298)"
train,CHNCXR_0013_0_X-Ray_chest_lung.png,"(2937, 3000)",219188,"(125, 145, 536, 789)"
train,CHNCXR_0013_0_X-Ray_chest_left+lung.png,"(2937, 3000)",109078,"(125, 586, 536, 348)"
train,CHNCXR_0013_0_X-Ray_chest_right+lung.png,"(2937, 3000)",110110,"(128, 145, 457, 378)"
train,CHNCXR_0014_0_X-Ray_chest_lung.png,"(2919, 3000)",202893,"(162, 180, 538, 677)"
train,CHNCXR_0014_0_X-Ray_chest_left+lung.png,"(2919, 3000)",99422,"(166, 566, 534, 291)"
train,CHNCXR_0014_0_X-Ray_chest_right+lung.png,"(2919, 3000)",103471,"(162, 180, 513, 321)"
train,CHNCXR_0015_0_X-Ray_chest_lung.png,"(2941, 3000)",232123,"(72, 187, 616, 674)"
train,CHNCXR_0015_0_X-Ray_chest_left+lung.png,"(2941, 3000)",107830,"(72, 559, 608, 302)"
train,CHNCXR_0015_0_X-Ray_chest_right+lung.png,"(2941, 3000)",124293,"(81, 187, 607, 299)"
train,CHNCXR_0016_0_X-Ray_chest_lung.png,"(2943, 3000)",209004,"(166, 182, 574, 623)"
train,CHNCXR_0016_0_X-Ray_chest_left+lung.png,"(2943, 3000)",105303,"(166, 530, 574, 275)"
train,CHNCXR_0016_0_X-Ray_chest_right+lung.png,"(2943, 3000)",103701,"(168, 182, 500, 307)"
train,CHNCXR_0017_0_X-Ray_chest_lung.png,"(2908, 2789)",236275,"(96, 165, 689, 674)"
train,CHNCXR_0017_0_X-Ray_chest_left+lung.png,"(2908, 2789)",115284,"(96, 538, 689, 301)"
train,CHNCXR_0017_0_X-Ray_chest_right+lung.png,"(2908, 2789)",120991,"(125, 165, 585, 312)"
train,CHNCXR_0018_0_X-Ray_chest_lung.png,"(2907, 2991)",295278,"(131, 125, 775, 774)"
train,CHNCXR_0018_0_X-Ray_chest_left+lung.png,"(2907, 2991)",133143,"(134, 553, 772, 346)"
train,CHNCXR_0018_0_X-Ray_chest_right+lung.png,"(2907, 2991)",162135,"(131, 125, 772, 342)"
train,CHNCXR_0019_0_X-Ray_chest_lung.png,"(2941, 3000)",259951,"(181, 112, 700, 769)"
train,CHNCXR_0019_0_X-Ray_chest_left+lung.png,"(2941, 3000)",113920,"(181, 570, 663, 311)"
train,CHNCXR_0019_0_X-Ray_chest_right+lung.png,"(2941, 3000)",146031,"(197, 112, 684, 380)"
train,CHNCXR_0020_0_X-Ray_chest_lung.png,"(2555, 2760)",305431,"(181, 114, 674, 817)"
train,CHNCXR_0020_0_X-Ray_chest_left+lung.png,"(2555, 2760)",161824,"(208, 579, 647, 352)"
train,CHNCXR_0020_0_X-Ray_chest_right+lung.png,"(2555, 2760)",143607,"(181, 114, 619, 390)"
train,CHNCXR_0021_0_X-Ray_chest_lung.png,"(2953, 2868)",257737,"(128, 153, 712, 704)"
train,CHNCXR_0021_0_X-Ray_chest_left+lung.png,"(2953, 2868)",114450,"(132, 549, 651, 308)"
train,CHNCXR_0021_0_X-Ray_chest_right+lung.png,"(2953, 2868)",143287,"(128, 153, 712, 322)"
train,CHNCXR_0022_0_X-Ray_chest_lung.png,"(2951, 3000)",278175,"(137, 188, 780, 656)"
train,CHNCXR_0022_0_X-Ray_chest_left+lung.png,"(2951, 3000)",132289,"(176, 580, 718, 264)"
train,CHNCXR_0022_0_X-Ray_chest_right+lung.png,"(2951, 3000)",145886,"(137, 188, 780, 310)"
train,CHNCXR_0023_0_X-Ray_chest_lung.png,"(2937, 3000)",252823,"(90, 218, 703, 679)"
train,CHNCXR_0023_0_X-Ray_chest_left+lung.png,"(2937, 3000)",118821,"(90, 580, 703, 317)"
train,CHNCXR_0023_0_X-Ray_chest_right+lung.png,"(2937, 3000)",134002,"(107, 218, 665, 295)"
train,CHNCXR_0024_0_X-Ray_chest_lung.png,"(2951, 3000)",228919,"(151, 195, 663, 667)"
train,CHNCXR_0024_0_X-Ray_chest_left+lung.png,"(2951, 3000)",101455,"(151, 575, 657, 287)"
train,CHNCXR_0024_0_X-Ray_chest_right+lung.png,"(2951, 3000)",127464,"(158, 195, 656, 302)"
train,CHNCXR_0026_0_X-Ray_chest_lung.png,"(2933, 3000)",217785,"(154, 132, 560, 755)"
train,CHNCXR_0026_0_X-Ray_chest_left+lung.png,"(2933, 3000)",100978,"(156, 564, 558, 323)"
train,CHNCXR_0026_0_X-Ray_chest_right+lung.png,"(2933, 3000)",116807,"(154, 132, 552, 357)"
train,CHNCXR_0027_0_X-Ray_chest_lung.png,"(2925, 2997)",204655,"(131, 202, 599, 672)"
train,CHNCXR_0027_0_X-Ray_chest_left+lung.png,"(2925, 2997)",90629,"(132, 547, 598, 327)"
train,CHNCXR_0027_0_X-Ray_chest_right+lung.png,"(2925, 2997)",114026,"(131, 202, 589, 289)"
train,CHNCXR_0028_0_X-Ray_chest_lung.png,"(2941, 3000)",329394,"(180, 138, 795, 742)"
train,CHNCXR_0028_0_X-Ray_chest_left+lung.png,"(2941, 3000)",170020,"(180, 567, 795, 313)"
train,CHNCXR_0028_0_X-Ray_chest_right+lung.png,"(2941, 3000)",159374,"(189, 138, 769, 355)"
train,CHNCXR_0029_0_X-Ray_chest_lung.png,"(2935, 3000)",162947,"(122, 162, 435, 627)"
train,CHNCXR_0029_0_X-Ray_chest_left+lung.png,"(2935, 3000)",80088,"(141, 508, 416, 281)"
train,CHNCXR_0029_0_X-Ray_chest_right+lung.png,"(2935, 3000)",82859,"(122, 162, 435, 278)"
train,CHNCXR_0030_0_X-Ray_chest_lung.png,"(2461, 2357)",338501,"(156, 104, 808, 786)"
train,CHNCXR_0030_0_X-Ray_chest_left+lung.png,"(2461, 2357)",167791,"(156, 531, 771, 359)"
train,CHNCXR_0030_0_X-Ray_chest_right+lung.png,"(2461, 2357)",170710,"(156, 104, 808, 353)"
train,CHNCXR_0031_0_X-Ray_chest_lung.png,"(2939, 2989)",257634,"(55, 217, 671, 589)"
train,CHNCXR_0031_0_X-Ray_chest_left+lung.png,"(2939, 2989)",123876,"(72, 547, 610, 259)"
train,CHNCXR_0031_0_X-Ray_chest_right+lung.png,"(2939, 2989)",133758,"(55, 217, 671, 253)"
train,CHNCXR_0032_0_X-Ray_chest_lung.png,"(2927, 3000)",242836,"(191, 203, 632, 631)"
train,CHNCXR_0032_0_X-Ray_chest_left+lung.png,"(2927, 3000)",118632,"(193, 541, 611, 293)"
train,CHNCXR_0032_0_X-Ray_chest_right+lung.png,"(2927, 3000)",124204,"(191, 203, 632, 268)"
train,CHNCXR_0033_0_X-Ray_chest_lung.png,"(2957, 3000)",271386,"(200, 157, 625, 704)"
train,CHNCXR_0033_0_X-Ray_chest_left+lung.png,"(2957, 3000)",138546,"(200, 543, 624, 318)"
train,CHNCXR_0033_0_X-Ray_chest_right+lung.png,"(2957, 3000)",132840,"(200, 157, 625, 319)"
train,CHNCXR_0034_0_X-Ray_chest_lung.png,"(2600, 2395)",159904,"(138, 203, 464, 595)"
train,CHNCXR_0034_0_X-Ray_chest_left+lung.png,"(2600, 2395)",87228,"(138, 520, 464, 278)"
train,CHNCXR_0034_0_X-Ray_chest_right+lung.png,"(2600, 2395)",72676,"(141, 203, 461, 253)"
train,CHNCXR_0035_0_X-Ray_chest_lung.png,"(2933, 3000)",180551,"(126, 215, 603, 611)"
train,CHNCXR_0035_0_X-Ray_chest_left+lung.png,"(2933, 3000)",73884,"(158, 586, 531, 240)"
train,CHNCXR_0035_0_X-Ray_chest_right+lung.png,"(2933, 3000)",106667,"(126, 215, 603, 290)"
train,CHNCXR_0041_0_X-Ray_chest_lung.png,"(2481, 2498)",347978,"(125, 105, 801, 810)"
train,CHNCXR_0041_0_X-Ray_chest_left+lung.png,"(2481, 2498)",151385,"(125, 550, 785, 365)"
train,CHNCXR_0041_0_X-Ray_chest_right+lung.png,"(2481, 2498)",196593,"(125, 105, 801, 350)"
train,CHNCXR_0042_0_X-Ray_chest_lung.png,"(2943, 3000)",215742,"(175, 189, 667, 691)"
train,CHNCXR_0042_0_X-Ray_chest_left+lung.png,"(2943, 3000)",98083,"(192, 610, 620, 270)"
train,CHNCXR_0042_0_X-Ray_chest_right+lung.png,"(2943, 3000)",117659,"(175, 189, 667, 342)"
train,CHNCXR_0043_0_X-Ray_chest_lung.png,"(2939, 3000)",201581,"(146, 134, 482, 699)"
train,CHNCXR_0043_0_X-Ray_chest_left+lung.png,"(2939, 3000)",91216,"(146, 516, 478, 317)"
train,CHNCXR_0043_0_X-Ray_chest_right+lung.png,"(2939, 3000)",110365,"(157, 134, 471, 291)"
train,CHNCXR_0044_0_X-Ray_chest_lung.png,"(2308, 2308)",282250,"(112, 126, 711, 759)"
train,CHNCXR_0044_0_X-Ray_chest_left+lung.png,"(2308, 2308)",125623,"(114, 534, 709, 351)"
train,CHNCXR_0044_0_X-Ray_chest_right+lung.png,"(2308, 2308)",156627,"(112, 126, 711, 326)"
train,CHNCXR_0045_0_X-Ray_chest_lung.png,"(2941, 3000)",161426,"(124, 115, 539, 707)"
train,CHNCXR_0045_0_X-Ray_chest_left+lung.png,"(2941, 3000)",70168,"(138, 520, 525, 302)"
train,CHNCXR_0045_0_X-Ray_chest_right+lung.png,"(2941, 3000)",91258,"(124, 115, 538, 284)"
train,CHNCXR_0046_0_X-Ray_chest_lung.png,"(2931, 3000)",291282,"(146, 85, 691, 813)"
train,CHNCXR_0046_0_X-Ray_chest_left+lung.png,"(2931, 3000)",147144,"(160, 526, 677, 372)"
train,CHNCXR_0046_0_X-Ray_chest_right+lung.png,"(2931, 3000)",144138,"(146, 85, 678, 373)"
train,CHNCXR_0047_0_X-Ray_chest_lung.png,"(2927, 2699)",328669,"(144, 133, 730, 731)"
train,CHNCXR_0047_0_X-Ray_chest_left+lung.png,"(2927, 2699)",163308,"(177, 550, 697, 314)"
train,CHNCXR_0047_0_X-Ray_chest_right+lung.png,"(2927, 2699)",165361,"(144, 133, 717, 371)"
train,CHNCXR_0048_0_X-Ray_chest_lung.png,"(2949, 3000)",228005,"(112, 150, 620, 675)"
train,CHNCXR_0048_0_X-Ray_chest_left+lung.png,"(2949, 3000)",106791,"(117, 522, 609, 303)"
train,CHNCXR_0048_0_X-Ray_chest_right+lung.png,"(2949, 3000)",121214,"(112, 150, 620, 300)"
