split,fname,original_shape,mask_area,mask_bbox
train,00001_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",12288,"(152, 428, 87, 191)"
train,00001_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(340, 436, 571, 403)"
train,00002_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",12288,"(152, 428, 87, 191)"
train,00002_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(340, 436, 571, 403)"
train,00003_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",11856,"(160, 428, 79, 191)"
train,00003_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(340, 436, 571, 403)"
train,00004_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",11856,"(160, 428, 79, 191)"
train,00004_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(340, 436, 571, 403)"
train,00005_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",11856,"(160, 428, 79, 191)"
train,00005_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(340, 436, 571, 403)"
train,00006_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",11856,"(160, 428, 79, 191)"
train,00006_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(348, 436, 567, 403)"
train,00007_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",13024,"(156, 428, 91, 191)"
train,00007_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(348, 436, 567, 403)"
train,00008_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",13024,"(156, 428, 91, 191)"
train,00008_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",188752,"(348, 436, 567, 403)"
train,00009_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18400,"(100, 396, 119, 203)"
train,00009_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",160032,"(292, 336, 519, 391)"
train,00010_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",17856,"(132, 388, 131, 191)"
train,00010_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",170816,"(320, 328, 523, 399)"
train,00011_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",17648,"(136, 380, 123, 191)"
train,00011_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",170880,"(308, 328, 519, 399)"
train,00012_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",17632,"(116, 356, 127, 191)"
train,00012_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",170880,"(296, 316, 519, 399)"
train,00013_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",17504,"(104, 364, 123, 195)"
train,00013_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",206080,"(340, 248, 579, 447)"
train,00014_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18240,"(116, 356, 131, 199)"
train,00014_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",205280,"(344, 260, 571, 447)"
train,00015_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18848,"(132, 424, 127, 195)"
train,00015_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",158192,"(320, 388, 519, 367)"
train,00016_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",19504,"(124, 424, 135, 195)"
train,00016_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157520,"(320, 388, 511, 367)"
train,00017_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",19504,"(124, 424, 135, 195)"
train,00017_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157520,"(320, 388, 511, 367)"
train,00018_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",22352,"(112, 408, 139, 219)"
train,00018_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157488,"(308, 384, 515, 367)"
train,00019_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21152,"(112, 408, 135, 215)"
train,00019_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157648,"(308, 364, 515, 371)"
train,00020_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21152,"(112, 408, 135, 215)"
train,00020_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157632,"(308, 364, 515, 371)"
train,00021_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21152,"(112, 408, 135, 215)"
train,00021_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157648,"(308, 364, 515, 371)"
train,00022_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18256,"(116, 360, 131, 199)"
train,00022_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",207440,"(336, 324, 579, 439)"
train,00023_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21264,"(112, 408, 135, 211)"
train,00023_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157632,"(308, 364, 515, 371)"
train,00024_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21264,"(112, 408, 135, 211)"
train,00024_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157584,"(300, 376, 515, 367)"
train,00025_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",20848,"(112, 408, 135, 207)"
train,00025_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",155360,"(312, 352, 507, 367)"
train,00026_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",20832,"(108, 404, 135, 207)"
train,00026_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",152800,"(316, 340, 503, 367)"
train,00027_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",20784,"(108, 404, 139, 207)"
train,00027_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",153328,"(304, 356, 503, 371)"
train,00028_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",20256,"(112, 404, 135, 203)"
train,00028_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",153360,"(300, 384, 503, 367)"
train,00029_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",20256,"(112, 404, 135, 203)"
train,00029_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",151120,"(300, 384, 503, 367)"
train,00030_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",20176,"(104, 372, 139, 203)"
train,00030_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",149728,"(320, 312, 503, 371)"
train,00031_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18272,"(120, 368, 131, 195)"
train,00031_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",207440,"(336, 324, 579, 439)"
train,00032_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18560,"(108, 392, 127, 199)"
train,00032_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",149840,"(320, 368, 503, 371)"
train,00033_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",17840,"(112, 404, 123, 195)"
train,00033_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",150544,"(292, 380, 523, 371)"
train,00034_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",17872,"(112, 404, 123, 195)"
train,00034_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",150544,"(292, 380, 523, 371)"
train,00035_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",17632,"(116, 404, 119, 195)"
train,00035_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",150544,"(292, 380, 523, 371)"
train,00036_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18416,"(120, 368, 131, 195)"
train,00036_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",207440,"(336, 324, 579, 439)"
train,00037_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",22848,"(124, 404, 135, 215)"
train,00037_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",161712,"(324, 380, 515, 387)"
train,00038_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21280,"(112, 396, 135, 211)"
train,00038_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",160624,"(312, 352, 515, 391)"
train,00039_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21600,"(108, 396, 139, 211)"
train,00039_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",159424,"(304, 360, 511, 391)"
train,00040_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21872,"(104, 396, 143, 211)"
train,00040_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",159424,"(304, 360, 511, 391)"
train,00041_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21872,"(104, 396, 143, 211)"
train,00041_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",158608,"(304, 356, 511, 391)"
train,00042_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",18416,"(120, 368, 131, 195)"
train,00042_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",204864,"(336, 324, 571, 439)"
train,00043_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21552,"(104, 396, 143, 211)"
train,00043_ultrasound_transperineal_fetal+head.png,"(256, 256, 3)",157792,"(304, 356, 511, 391)"
train,00044_ultrasound_transperineal_public+symphysis.png,"(256, 256, 3)",21520,"(104, 396, 143, 211)"
