split,fname,original_shape,mask_area,mask_bbox
train,image_0_fundus_retinal_optic+disc.png,"(2423, 3004, 3)",16530,"(280, 625, 163, 146)"
train,image_0_fundus_retinal_optic+cup.png,"(2423, 3004, 3)",2354,"(329, 670, 56, 52)"
train,image_1_fundus_retinal_optic+disc.png,"(2424, 3005, 3)",13966,"(484, 625, 160, 152)"
train,image_1_fundus_retinal_optic+cup.png,"(2424, 3005, 3)",5570,"(517, 661, 88, 77)"
train,image_10_fundus_retinal_optic+disc.png,"(2425, 3006, 3)",21868,"(510, 236, 166, 164)"
train,image_1000_fundus_retinal_optic+disc.png,"(2424, 3004, 3)",12193,"(400, 224, 150, 138)"
train,image_1000_fundus_retinal_optic+cup.png,"(2424, 3004, 3)",4095,"(443, 284, 86, 59)"
train,image_1001_fundus_retinal_optic+disc.png,"(1944, 2108, 3)",12498,"(408, 843, 183, 142)"
train,image_1001_fundus_retinal_optic+cup.png,"(1944, 2108, 3)",7333,"(440, 871, 100, 91)"
train,image_1002_fundus_retinal_optic+disc.png,"(2424, 3006, 3)",9943,"(505, 858, 131, 118)"
train,image_1002_fundus_retinal_optic+cup.png,"(2424, 3006, 3)",2342,"(551, 896, 51, 58)"
train,image_1003_fundus_retinal_optic+disc.png,"(2423, 3004, 3)",13047,"(447, 769, 146, 133)"
train,image_1003_fundus_retinal_optic+cup.png,"(2423, 3004, 3)",2627,"(493, 810, 58, 57)"
train,image_1004_fundus_retinal_optic+disc.png,"(2424, 3005, 3)",12178,"(340, 760, 164, 161)"
train,image_1004_fundus_retinal_optic+cup.png,"(2424, 3005, 3)",8560,"(375, 771, 108, 99)"
train,image_103_fundus_retinal_optic+disc.png,"(2421, 3004, 3)",15917,"(451, 82, 163, 138)"
train,image_103_fundus_retinal_optic+cup.png,"(2421, 3004, 3)",2033,"(508, 135, 56, 43)"
train,image_1032_fundus_retinal_optic+disc.png,"(2424, 3004, 3)",12765,"(432, 368, 152, 127)"
train,image_1032_fundus_retinal_optic+cup.png,"(2424, 3004, 3)",2170,"(485, 421, 54, 50)"
train,image_1033_fundus_retinal_optic+disc.png,"(2424, 3004, 3)",14059,"(520, 690, 150, 138)"
train,image_1033_fundus_retinal_optic+cup.png,"(2424, 3004, 3)",2055,"(568, 739, 52, 51)"
train,image_1034_fundus_retinal_optic+disc.png,"(2424, 3004, 3)",16280,"(361, 606, 168, 149)"
train,image_1034_fundus_retinal_optic+cup.png,"(2424, 3004, 3)",3538,"(405, 637, 67, 68)"
train,image_1035_fundus_retinal_optic+disc.png,"(2423, 3004, 3)",10632,"(401, 719, 159, 135)"
train,image_1035_fundus_retinal_optic+cup.png,"(2423, 3004, 3)",6305,"(437, 737, 92, 84)"
train,image_104_fundus_retinal_optic+disc.png,"(2424, 3005, 3)",13400,"(408, 827, 160, 142)"
train,image_104_fundus_retinal_optic+cup.png,"(2424, 3005, 3)",4381,"(451, 847, 79, 70)"
train,image_105_fundus_retinal_optic+disc.png,"(2423, 3005, 3)",18636,"(358, 832, 184, 141)"
train,image_105_fundus_retinal_optic+cup.png,"(2423, 3005, 3)",2427,"(414, 877, 62, 48)"
train,image_106_fundus_retinal_optic+disc.png,"(2423, 3005, 3)",19006,"(407, 776, 168, 168)"
train,image_106_fundus_retinal_optic+cup.png,"(2423, 3005, 3)",3610,"(451, 818, 67, 70)"
train,image_107_fundus_retinal_optic+disc.png,"(2423, 3005, 3)",17672,"(381, 4, 208, 102)"
train,image_1076_fundus_retinal_optic+disc.png,"(2424, 3004, 3)",13716,"(394, 102, 154, 141)"
train,image_1076_fundus_retinal_optic+cup.png,"(2424, 3004, 3)",2935,"(449, 150, 64, 57)"
train,image_1077_fundus_retinal_optic+disc.png,"(2423, 3004, 3)",11338,"(395, 162, 123, 127)"
train,image_1077_fundus_retinal_optic+cup.png,"(2423, 3004, 3)",1202,"(443, 204, 36, 41)"
train,image_1080_fundus_retinal_optic+disc.png,"(1944, 2125, 3)",10337,"(442, 128, 140, 122)"
train,image_1080_fundus_retinal_optic+cup.png,"(1944, 2125, 3)",2924,"(477, 159, 67, 56)"
train,image_1081_fundus_retinal_optic+disc.png,"(2424, 3005, 3)",11976,"(457, 872, 164, 144)"
train,image_1081_fundus_retinal_optic+cup.png,"(2424, 3005, 3)",6689,"(489, 904, 95, 88)"
train,image_1087_fundus_retinal_optic+disc.png,"(1944, 2106, 3)",12368,"(430, 66, 131, 118)"
train,image_1088_fundus_retinal_optic+disc.png,"(1944, 2107, 3)",14353,"(358, 202, 167, 141)"
train,image_1088_fundus_retinal_optic+cup.png,"(1944, 2107, 3)",4297,"(408, 249, 74, 71)"
train,image_1092_fundus_retinal_optic+disc.png,"(2425, 3004, 3)",16187,"(218, 656, 156, 153)"
train,image_1092_fundus_retinal_optic+cup.png,"(2425, 3004, 3)",3163,"(254, 695, 64, 61)"
train,image_1093_fundus_retinal_optic+disc.png,"(1944, 2258, 3)",11281,"(453, 68, 146, 132)"
train,image_1093_fundus_retinal_optic+cup.png,"(1944, 2258, 3)",3789,"(491, 106, 77, 63)"
train,image_1094_fundus_retinal_optic+disc.png,"(2425, 3007, 3)",15018,"(476, 782, 153, 143)"
train,image_1094_fundus_retinal_optic+cup.png,"(2425, 3007, 3)",2157,"(527, 824, 53, 50)"
train,image_1095_fundus_retinal_optic+disc.png,"(2423, 3004, 3)",16886,"(177, 47, 164, 149)"
train,image_1096_fundus_retinal_optic+disc.png,"(2424, 3006, 3)",12570,"(402, 614, 159, 144)"
train,image_1096_fundus_retinal_optic+cup.png,"(2424, 3006, 3)",6190,"(434, 628, 104, 72)"
train,image_11_fundus_retinal_optic+disc.png,"(2423, 3004, 3)",11803,"(434, 321, 156, 143)"
train,image_11_fundus_retinal_optic+cup.png,"(2423, 3004, 3)",5749,"(463, 360, 91, 79)"
train,image_110_fundus_retinal_optic+disc.png,"(2423, 3005, 3)",12430,"(470, 87, 142, 126)"
train,image_110_fundus_retinal_optic+cup.png,"(2423, 3005, 3)",1657,"(522, 128, 45, 45)"
train,image_111_fundus_retinal_optic+disc.png,"(2424, 3005, 3)",10134,"(301, 844, 135, 120)"
train,image_111_fundus_retinal_optic+cup.png,"(2424, 3005, 3)",2617,"(347, 877, 59, 56)"
train,image_1112_fundus_retinal_optic+disc.png,"(2424, 3005, 3)",14715,"(336, 732, 150, 152)"
train,image_1112_fundus_retinal_optic+cup.png,"(2424, 3005, 3)",3439,"(372, 778, 57, 74)"
train,image_1113_fundus_retinal_optic+disc.png,"(1944, 2107, 3)",11074,"(434, 850, 157, 125)"
train,image_1113_fundus_retinal_optic+cup.png,"(1944, 2107, 3)",4517,"(466, 871, 87, 65)"
train,image_112_fundus_retinal_optic+disc.png,"(1944, 2108, 3)",10275,"(414, 825, 139, 122)"
train,image_112_fundus_retinal_optic+cup.png,"(1944, 2108, 3)",3208,"(450, 857, 69, 59)"
train,image_113_fundus_retinal_optic+disc.png,"(1944, 2088, 3)",15240,"(385, 828, 178, 143)"
