split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,TCGA_CS_4941_19960909_0_MRI-FLAIR_brain_lower-grade+glioma.png,"(256, 256)",22816,"(264, 344, 187, 191)",4
train,TCGA_CS_4941_19960909_0_MRI-FLAIR_brain_tumor.png,"(256, 256)",22816,"(264, 344, 187, 191)",4
train,TCGA_CS_4941_19960909_1_MRI-FLAIR_brain_lower-grade+glioma.png,"(256, 256)",42336,"(200, 240, 263, 291)",9
train,TCGA_CS_4941_19960909_1_MRI-FLAIR_brain_tumor.png,"(256, 256)",42336,"(200, 240, 263, 291)",9
train,TCGA_CS_4941_19960909_2_MRI-FLAIR_brain_lower-grade+glioma.png,"(256, 256)",44240,"(188, 224, 275, 315)",9
train,TCGA_CS_4941_19960909_2_MRI-FLAIR_brain_tumor.png,"(256, 256)",44240,"(188, 224, 275, 315)",9
train,TCGA_CS_4941_19960909_3_MRI-FLAIR_brain_lower-grade+glioma.png,"(256, 256)",46032,"(172, 220, 307, 379)",10
train,TCGA_CS_4941_19960909_3_MRI-FLAIR_brain_tumor.png,"(256, 256)",46032,"(172, 220, 307, 379)",10
train,TCGA_CS_4941_19960909_4_MRI-FLAIR_brain_lower-grade+glioma.png,"(256, 256)",31232,"(152, 240, 327, 327)",6
train,TCGA_CS_4941_19960909_4_MRI-FLAIR_brain_tumor.png,"(256, 256)",31232,"(152, 240, 327, 327)",6
train,TCGA_CS_4941_19960909_5_MRI-FLAIR_brain_lower-grade+glioma.png,"(256, 256)",29248,"(152, 240, 339, 203)",6
train,TCGA_CS_4941_19960909_5_MRI-FLAIR_brain_tumor.png,"(256, 256)",29248,"(152, 240, 339, 203)",6
train,TCGA_CS_4941_19960909_6_MRI-FLAIR_brain_lower-grade+glioma.png,"(256, 256)",12976,"(188, 264, 267, 167)",2
train,TCGA_CS_4941_19960909_6_MRI-FLAIR_brain_tumor.png,"(256, 256)",12976,"(188, 264, 267, 167)",2
