split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,LIDC-IDRI-0078_1_23_CT_lung_nodule.png,"(512, 512, 87)",408,"(590, 624, 43, 57)",1
train,LIDC-IDRI-0078_1_24_CT_lung_nodule.png,"(512, 512, 87)",1480,"(600, 634, 45, 51)",4
train,LIDC-IDRI-0078_1_25_CT_lung_nodule.png,"(512, 512, 87)",1744,"(608, 640, 43, 47)",5
train,LIDC-IDRI-0078_1_26_CT_lung_nodule.png,"(512, 512, 87)",1812,"(600, 638, 51, 51)",5
train,LIDC-IDRI-0078_1_27_CT_lung_nodule.png,"(512, 512, 87)",1400,"(610, 640, 39, 49)",4
train,LIDC-IDRI-0078_1_28_CT_lung_nodule.png,"(512, 512, 87)",768,"(606, 648, 29, 29)",2
train,LIDC-IDRI-0078_1_44_CT_lung_nodule.png,"(512, 512, 87)",832,"(314, 704, 43, 39)",2
train,LIDC-IDRI-0078_1_45_CT_lung_nodule.png,"(512, 512, 87)",1724,"(306, 702, 57, 43)",5
train,LIDC-IDRI-0078_1_46_CT_lung_nodule.png,"(512, 512, 87)",1736,"(306, 702, 61, 47)",5
train,LIDC-IDRI-0078_1_47_CT_lung_nodule.png,"(512, 512, 87)",1404,"(318, 700, 45, 43)",4
train,LIDC-IDRI-0078_1_48_CT_lung_nodule.png,"(512, 512, 87)",1192,"(324, 702, 39, 43)",3
train,LIDC-IDRI-0078_1_65_CT_lung_nodule.png,"(512, 512, 87)",1276,"(468, 670, 41, 49)",4
train,LIDC-IDRI-0078_1_66_CT_lung_nodule.png,"(512, 512, 87)",2484,"(464, 654, 71, 69)",7
train,LIDC-IDRI-0078_1_67_CT_lung_nodule.png,"(512, 512, 87)",3164,"(460, 654, 63, 65)",10
train,LIDC-IDRI-0078_1_68_CT_lung_nodule.png,"(512, 512, 87)",2892,"(450, 656, 73, 57)",9
train,LIDC-IDRI-0078_1_69_CT_lung_nodule.png,"(512, 512, 87)",2520,"(458, 654, 61, 59)",7
train,LIDC-IDRI-0078_1_70_CT_lung_nodule.png,"(512, 512, 87)",1604,"(470, 654, 43, 53)",5
train,LIDC-IDRI-0078_1_71_CT_lung_nodule.png,"(512, 512, 87)",412,"(478, 670, 23, 25)",1
train,LIDC-IDRI-0069_2_38_CT_lung_nodule.png,"(512, 512, 136)",316,"(728, 328, 19, 19)",2
train,LIDC-IDRI-0069_2_39_CT_lung_nodule.png,"(512, 512, 136)",468,"(726, 326, 25, 23)",3
train,LIDC-IDRI-0069_2_40_CT_lung_nodule.png,"(512, 512, 136)",328,"(724, 326, 25, 19)",2
train,LIDC-IDRI-0069_2_41_CT_lung_nodule.png,"(512, 512, 136)",236,"(724, 328, 23, 13)",1
train,LIDC-IDRI-0069_2_42_CT_lung_nodule.png,"(512, 512, 136)",288,"(722, 330, 25, 17)",2
train,LIDC-IDRI-0069_2_43_CT_lung_nodule.png,"(512, 512, 136)",320,"(722, 328, 27, 19)",2
train,LIDC-IDRI-0069_2_80_CT_lung_nodule.png,"(512, 512, 136)",836,"(722, 212, 33, 57)",6
