split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,A0S9V9_sa_0_2_MRI_heart_left+heart+ventricle.png,"(216, 256)",28368,"(336, 456, 195, 199)",7
train,A0S9V9_sa_0_2_MRI_heart_myocardium.png,"(216, 256)",12672,"(328, 432, 219, 243)",6
train,A0S9V9_sa_0_3_MRI_heart_left+heart+ventricle.png,"(216, 256)",32384,"(348, 440, 195, 219)",8
train,A0S9V9_sa_0_3_MRI_heart_myocardium.png,"(216, 256)",13616,"(332, 420, 227, 263)",7
train,A0S9V9_sa_0_3_MRI_heart_right+heart+ventricle.png,"(216, 256)",29136,"(236, 408, 151, 291)",10
train,A0S9V9_sa_0_4_MRI_heart_left+heart+ventricle.png,"(216, 256)",38064,"(356, 368, 211, 231)",9
train,A0S9V9_sa_0_4_MRI_heart_myocardium.png,"(216, 256)",15696,"(328, 352, 255, 267)",8
train,A0S9V9_sa_0_4_MRI_heart_right+heart+ventricle.png,"(216, 256)",25808,"(232, 364, 171, 259)",8
train,A0S9V9_sa_0_5_MRI_heart_left+heart+ventricle.png,"(216, 256)",38752,"(340, 388, 215, 227)",10
train,A0S9V9_sa_0_5_MRI_heart_myocardium.png,"(216, 256)",12832,"(312, 372, 259, 251)",7
train,A0S9V9_sa_0_5_MRI_heart_right+heart+ventricle.png,"(216, 256)",23632,"(224, 396, 183, 243)",8
train,A0S9V9_sa_0_6_MRI_heart_left+heart+ventricle.png,"(216, 256)",36592,"(328, 420, 219, 211)",9
train,A0S9V9_sa_0_6_MRI_heart_myocardium.png,"(216, 256)",13376,"(312, 408, 251, 251)",7
train,A0S9V9_sa_0_6_MRI_heart_right+heart+ventricle.png,"(216, 256)",21312,"(232, 412, 163, 255)",7
train,A0S9V9_sa_0_7_MRI_heart_left+heart+ventricle.png,"(216, 256)",31536,"(336, 436, 207, 195)",8
train,A0S9V9_sa_0_7_MRI_heart_myocardium.png,"(216, 256)",18256,"(316, 408, 255, 251)",10
train,A0S9V9_sa_0_7_MRI_heart_right+heart+ventricle.png,"(216, 256)",14896,"(248, 444, 143, 219)",5
train,A0S9V9_sa_0_8_MRI_heart_left+heart+ventricle.png,"(216, 256)",27696,"(328, 448, 195, 187)",7
train,A0S9V9_sa_0_8_MRI_heart_myocardium.png,"(216, 256)",16912,"(312, 416, 235, 243)",9
train,A0S9V9_sa_0_8_MRI_heart_right+heart+ventricle.png,"(216, 256)",10240,"(260, 472, 123, 195)",3
train,A0S9V9_sa_0_9_MRI_heart_left+heart+ventricle.png,"(216, 256)",22400,"(348, 456, 163, 179)",5
train,A0S9V9_sa_0_9_MRI_heart_myocardium.png,"(216, 256)",10400,"(328, 444, 199, 211)",5
train,A0S9V9_sa_0_9_MRI_heart_right+heart+ventricle.png,"(216, 256)",8736,"(288, 500, 127, 163)",2
train,A0S9V9_sa_0_10_MRI_heart_left+heart+ventricle.png,"(216, 256)",16304,"(352, 472, 135, 163)",4
train,A0S9V9_sa_0_10_MRI_heart_myocardium.png,"(216, 256)",10112,"(332, 452, 171, 199)",5
train,A0S9V9_sa_0_10_MRI_heart_right+heart+ventricle.png,"(216, 256)",4160,"(304, 544, 79, 111)",1
train,A0S9V9_sa_0_11_MRI_heart_left+heart+ventricle.png,"(216, 256)",7440,"(372, 516, 103, 99)",1
train,A0S9V9_sa_0_11_MRI_heart_myocardium.png,"(216, 256)",8592,"(352, 488, 143, 147)",4
train,A0S9V9_sa_0_12_MRI_heart_myocardium.png,"(216, 256)",3344,"(368, 536, 91, 87)",1
train,A0S9V9_sa_9_3_MRI_heart_left+heart+ventricle.png,"(216, 256)",18128,"(368, 480, 155, 159)",5
