split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,la_003_49_MRI_heart_left+heart+atrium.png,"(320, 320)",1890,"(371, 531, 95, 82)",1
train,la_003_50_MRI_heart_left+heart+atrium.png,"(320, 320)",2830,"(371, 522, 102, 91)",2
train,la_003_51_MRI_heart_left+heart+atrium.png,"(320, 320)",3842,"(374, 515, 105, 102)",3
train,la_003_52_MRI_heart_left+heart+atrium.png,"(320, 320)",4899,"(378, 509, 104, 152)",3
train,la_003_53_MRI_heart_left+heart+atrium.png,"(320, 320)",6034,"(381, 506, 104, 159)",4
train,la_003_54_MRI_heart_left+heart+atrium.png,"(320, 320)",7369,"(381, 502, 111, 166)",5
train,la_003_55_MRI_heart_left+heart+atrium.png,"(320, 320)",8281,"(381, 499, 114, 172)",6
train,la_003_56_MRI_heart_left+heart+atrium.png,"(320, 320)",9029,"(384, 496, 114, 175)",7
train,la_003_57_MRI_heart_left+heart+atrium.png,"(320, 320)",9751,"(384, 493, 117, 178)",7
train,la_003_58_MRI_heart_left+heart+atrium.png,"(320, 320)",10415,"(387, 490, 118, 181)",8
train,la_003_59_MRI_heart_left+heart+atrium.png,"(320, 320)",10761,"(390, 486, 115, 185)",8
train,la_003_60_MRI_heart_left+heart+atrium.png,"(320, 320)",11128,"(397, 486, 108, 185)",8
train,la_003_61_MRI_heart_left+heart+atrium.png,"(320, 320)",11434,"(400, 486, 105, 185)",9
train,la_003_62_MRI_heart_left+heart+atrium.png,"(320, 320)",11788,"(403, 483, 102, 188)",9
train,la_003_63_MRI_heart_left+heart+atrium.png,"(320, 320)",12028,"(403, 483, 105, 188)",9
train,la_003_64_MRI_heart_left+heart+atrium.png,"(320, 320)",12177,"(406, 483, 105, 188)",9
train,la_003_65_MRI_heart_left+heart+atrium.png,"(320, 320)",12449,"(406, 483, 105, 188)",9
train,la_003_66_MRI_heart_left+heart+atrium.png,"(320, 320)",12493,"(410, 483, 101, 185)",9
train,la_003_67_MRI_heart_left+heart+atrium.png,"(320, 320)",12502,"(410, 483, 101, 185)",10
train,la_003_68_MRI_heart_left+heart+atrium.png,"(320, 320)",12373,"(410, 483, 101, 185)",9
train,la_003_69_MRI_heart_left+heart+atrium.png,"(320, 320)",12093,"(410, 483, 98, 182)",9
train,la_003_70_MRI_heart_left+heart+atrium.png,"(320, 320)",11839,"(410, 486, 98, 179)",9
train,la_003_71_MRI_heart_left+heart+atrium.png,"(320, 320)",11564,"(410, 486, 98, 175)",9
train,la_003_72_MRI_heart_left+heart+atrium.png,"(320, 320)",11235,"(410, 490, 95, 171)",9
train,la_003_73_MRI_heart_left+heart+atrium.png,"(320, 320)",10968,"(413, 490, 92, 168)",8
train,la_003_74_MRI_heart_left+heart+atrium.png,"(320, 320)",10662,"(413, 490, 88, 165)",8
train,la_003_75_MRI_heart_left+heart+atrium.png,"(320, 320)",10505,"(413, 493, 88, 162)",8
train,la_003_76_MRI_heart_left+heart+atrium.png,"(320, 320)",10342,"(413, 493, 88, 159)",8
train,la_003_77_MRI_heart_left+heart+atrium.png,"(320, 320)",10098,"(416, 496, 85, 156)",8
train,la_003_78_MRI_heart_left+heart+atrium.png,"(320, 320)",9967,"(416, 496, 85, 153)",7
train,la_003_79_MRI_heart_left+heart+atrium.png,"(320, 320)",9736,"(416, 496, 85, 149)",7
train,la_003_80_MRI_heart_left+heart+atrium.png,"(320, 320)",9561,"(419, 499, 82, 143)",7
train,la_003_81_MRI_heart_left+heart+atrium.png,"(320, 320)",9414,"(419, 499, 82, 143)",7
train,la_003_82_MRI_heart_left+heart+atrium.png,"(320, 320)",9071,"(422, 502, 83, 140)",7
train,la_003_83_MRI_heart_left+heart+atrium.png,"(320, 320)",8816,"(422, 502, 83, 137)",7
train,la_003_84_MRI_heart_left+heart+atrium.png,"(320, 320)",8471,"(426, 506, 82, 133)",6
train,la_003_85_MRI_heart_left+heart+atrium.png,"(320, 320)",8187,"(426, 506, 82, 130)",6
train,la_003_86_MRI_heart_left+heart+atrium.png,"(320, 320)",7821,"(429, 509, 79, 127)",6
train,la_003_87_MRI_heart_left+heart+atrium.png,"(320, 320)",7517,"(426, 509, 82, 124)",6
train,la_003_88_MRI_heart_left+heart+atrium.png,"(320, 320)",7251,"(426, 512, 82, 121)",5
train,la_003_89_MRI_heart_left+heart+atrium.png,"(320, 320)",6963,"(426, 515, 82, 114)",5
train,la_003_90_MRI_heart_left+heart+atrium.png,"(320, 320)",6692,"(422, 515, 83, 114)",5
train,la_003_91_MRI_heart_left+heart+atrium.png,"(320, 320)",6374,"(422, 518, 83, 108)",5
train,la_003_92_MRI_heart_left+heart+atrium.png,"(320, 320)",6059,"(422, 522, 79, 104)",4
train,la_003_93_MRI_heart_left+heart+atrium.png,"(320, 320)",5729,"(419, 525, 79, 101)",4
train,la_003_94_MRI_heart_left+heart+atrium.png,"(320, 320)",5479,"(419, 528, 79, 98)",4
train,la_003_95_MRI_heart_left+heart+atrium.png,"(320, 320)",5212,"(416, 531, 82, 95)",4
train,la_003_96_MRI_heart_left+heart+atrium.png,"(320, 320)",4876,"(413, 534, 82, 92)",3
train,la_003_97_MRI_heart_left+heart+atrium.png,"(320, 320)",4522,"(413, 534, 82, 92)",3
train,la_003_98_MRI_heart_left+heart+atrium.png,"(320, 320)",4142,"(410, 534, 85, 92)",3
train,la_003_99_MRI_heart_left+heart+atrium.png,"(320, 320)",3580,"(410, 534, 82, 92)",2
train,la_003_100_MRI_heart_left+heart+atrium.png,"(320, 320)",3121,"(406, 538, 86, 85)",2
train,la_003_101_MRI_heart_left+heart+atrium.png,"(320, 320)",2839,"(403, 538, 89, 85)",2
train,la_003_102_MRI_heart_left+heart+atrium.png,"(320, 320)",2525,"(400, 541, 92, 82)",2
train,la_003_103_MRI_heart_left+heart+atrium.png,"(320, 320)",2269,"(400, 541, 92, 82)",1
train,la_003_104_MRI_heart_left+heart+atrium.png,"(320, 320)",1996,"(397, 541, 98, 82)",1
train,la_003_105_MRI_heart_left+heart+atrium.png,"(320, 320)",1770,"(397, 541, 98, 82)",1
train,la_003_106_MRI_heart_left+heart+atrium.png,"(320, 320)",1647,"(397, 541, 101, 82)",1
train,la_003_107_MRI_heart_left+heart+atrium.png,"(320, 320)",1443,"(397, 541, 101, 82)",1
train,la_003_108_MRI_heart_left+heart+atrium.png,"(320, 320)",1264,"(397, 541, 104, 82)",1
train,la_004_30_MRI_heart_left+heart+atrium.png,"(320, 320)",2072,"(442, 522, 40, 149)",1
train,la_004_31_MRI_heart_left+heart+atrium.png,"(320, 320)",3003,"(387, 512, 102, 159)",1
train,la_004_32_MRI_heart_left+heart+atrium.png,"(320, 320)",4345,"(387, 477, 105, 194)",2
train,la_004_33_MRI_heart_left+heart+atrium.png,"(320, 320)",6174,"(387, 461, 108, 210)",3
train,la_004_34_MRI_heart_left+heart+atrium.png,"(320, 320)",7428,"(387, 454, 111, 214)",4
train,la_004_35_MRI_heart_left+heart+atrium.png,"(320, 320)",8504,"(387, 451, 118, 214)",5
train,la_004_36_MRI_heart_left+heart+atrium.png,"(320, 320)",9427,"(387, 445, 121, 216)",5
train,la_004_37_MRI_heart_left+heart+atrium.png,"(320, 320)",10200,"(387, 442, 124, 216)",6
train,la_004_38_MRI_heart_left+heart+atrium.png,"(320, 320)",10875,"(387, 442, 127, 213)",6
train,la_004_39_MRI_heart_left+heart+atrium.png,"(320, 320)",11423,"(390, 438, 127, 211)",7
train,la_004_40_MRI_heart_left+heart+atrium.png,"(320, 320)",11890,"(390, 435, 127, 210)",7
train,la_004_41_MRI_heart_left+heart+atrium.png,"(320, 320)",12323,"(390, 432, 127, 210)",7
train,la_004_42_MRI_heart_left+heart+atrium.png,"(320, 320)",12769,"(394, 429, 127, 210)",8
train,la_004_43_MRI_heart_left+heart+atrium.png,"(320, 320)",13179,"(394, 429, 127, 207)",8
train,la_004_44_MRI_heart_left+heart+atrium.png,"(320, 320)",13643,"(394, 426, 127, 207)",8
train,la_004_45_MRI_heart_left+heart+atrium.png,"(320, 320)",14220,"(394, 426, 127, 207)",8
train,la_004_46_MRI_heart_left+heart+atrium.png,"(320, 320)",14928,"(397, 422, 127, 207)",9
train,la_004_47_MRI_heart_left+heart+atrium.png,"(320, 320)",15324,"(400, 422, 124, 204)",9
train,la_004_48_MRI_heart_left+heart+atrium.png,"(320, 320)",15642,"(403, 422, 121, 201)",9
train,la_004_49_MRI_heart_left+heart+atrium.png,"(320, 320)",15823,"(403, 419, 124, 201)",9
train,la_004_50_MRI_heart_left+heart+atrium.png,"(320, 320)",15924,"(406, 419, 121, 198)",10
train,la_004_51_MRI_heart_left+heart+atrium.png,"(320, 320)",15879,"(406, 419, 121, 198)",9
train,la_004_52_MRI_heart_left+heart+atrium.png,"(320, 320)",15799,"(410, 419, 117, 194)",9
train,la_004_53_MRI_heart_left+heart+atrium.png,"(320, 320)",15622,"(410, 419, 117, 191)",9
train,la_004_54_MRI_heart_left+heart+atrium.png,"(320, 320)",15378,"(413, 419, 114, 191)",9
train,la_004_55_MRI_heart_left+heart+atrium.png,"(320, 320)",14997,"(413, 422, 114, 185)",9
train,la_004_56_MRI_heart_left+heart+atrium.png,"(320, 320)",14550,"(416, 422, 111, 182)",9
train,la_004_57_MRI_heart_left+heart+atrium.png,"(320, 320)",14090,"(416, 426, 111, 178)",8
train,la_004_58_MRI_heart_left+heart+atrium.png,"(320, 320)",13563,"(419, 429, 105, 172)",8
train,la_004_59_MRI_heart_left+heart+atrium.png,"(320, 320)",13071,"(419, 429, 105, 168)",8
train,la_004_60_MRI_heart_left+heart+atrium.png,"(320, 320)",12500,"(422, 432, 99, 165)",7
train,la_004_61_MRI_heart_left+heart+atrium.png,"(320, 320)",12040,"(422, 435, 95, 159)",7
train,la_004_62_MRI_heart_left+heart+atrium.png,"(320, 320)",11612,"(426, 435, 91, 156)",7
train,la_004_63_MRI_heart_left+heart+atrium.png,"(320, 320)",11274,"(426, 435, 91, 156)",7
train,la_004_64_MRI_heart_left+heart+atrium.png,"(320, 320)",11009,"(426, 438, 88, 153)",6
train,la_004_65_MRI_heart_left+heart+atrium.png,"(320, 320)",10715,"(426, 438, 88, 150)",6
train,la_004_66_MRI_heart_left+heart+atrium.png,"(320, 320)",10335,"(426, 438, 88, 147)",6
train,la_004_67_MRI_heart_left+heart+atrium.png,"(320, 320)",10073,"(426, 442, 88, 143)",6
train,la_004_68_MRI_heart_left+heart+atrium.png,"(320, 320)",9811,"(426, 442, 88, 139)",6
train,la_004_69_MRI_heart_left+heart+atrium.png,"(320, 320)",9649,"(422, 445, 92, 136)",6
train,la_004_70_MRI_heart_left+heart+atrium.png,"(320, 320)",9515,"(419, 445, 95, 133)",5
train,la_004_71_MRI_heart_left+heart+atrium.png,"(320, 320)",9359,"(419, 448, 95, 130)",5
train,la_004_72_MRI_heart_left+heart+atrium.png,"(320, 320)",9107,"(416, 451, 95, 127)",5
train,la_004_73_MRI_heart_left+heart+atrium.png,"(320, 320)",8857,"(413, 451, 95, 127)",5
train,la_004_74_MRI_heart_left+heart+atrium.png,"(320, 320)",8532,"(413, 454, 95, 121)",5
train,la_004_75_MRI_heart_left+heart+atrium.png,"(320, 320)",8266,"(410, 454, 95, 121)",5
train,la_004_76_MRI_heart_left+heart+atrium.png,"(320, 320)",7944,"(403, 458, 98, 117)",5
train,la_004_77_MRI_heart_left+heart+atrium.png,"(320, 320)",7560,"(400, 461, 98, 114)",4
train,la_004_78_MRI_heart_left+heart+atrium.png,"(320, 320)",7219,"(394, 464, 101, 111)",4
train,la_004_79_MRI_heart_left+heart+atrium.png,"(320, 320)",6724,"(390, 464, 102, 111)",4
train,la_004_80_MRI_heart_left+heart+atrium.png,"(320, 320)",6282,"(387, 467, 102, 108)",3
train,la_004_81_MRI_heart_left+heart+atrium.png,"(320, 320)",5809,"(387, 474, 98, 101)",3
train,la_004_82_MRI_heart_left+heart+atrium.png,"(320, 320)",5097,"(384, 477, 101, 98)",3
train,la_004_83_MRI_heart_left+heart+atrium.png,"(320, 320)",4301,"(381, 483, 104, 92)",2
train,la_004_84_MRI_heart_left+heart+atrium.png,"(320, 320)",3562,"(381, 493, 101, 82)",2
train,la_004_85_MRI_heart_left+heart+atrium.png,"(320, 320)",2680,"(378, 493, 104, 82)",1
train,la_004_86_MRI_heart_left+heart+atrium.png,"(320, 320)",2396,"(378, 493, 104, 85)",1
train,la_004_87_MRI_heart_left+heart+atrium.png,"(320, 320)",2242,"(374, 496, 108, 82)",1
train,la_004_88_MRI_heart_left+heart+atrium.png,"(320, 320)",2047,"(374, 496, 108, 82)",1
train,la_004_89_MRI_heart_left+heart+atrium.png,"(320, 320)",1881,"(374, 496, 108, 82)",1
train,la_004_90_MRI_heart_left+heart+atrium.png,"(320, 320)",1721,"(374, 499, 108, 79)",1
train,la_005_42_MRI_heart_left+heart+atrium.png,"(320, 320)",2150,"(442, 515, 43, 66)",1
train,la_005_43_MRI_heart_left+heart+atrium.png,"(320, 320)",3450,"(438, 509, 67, 114)",2
train,la_005_44_MRI_heart_left+heart+atrium.png,"(320, 320)",4972,"(432, 502, 79, 124)",3
train,la_005_45_MRI_heart_left+heart+atrium.png,"(320, 320)",6463,"(432, 499, 82, 134)",4
train,la_005_46_MRI_heart_left+heart+atrium.png,"(320, 320)",7441,"(429, 496, 88, 137)",5
train,la_005_47_MRI_heart_left+heart+atrium.png,"(320, 320)",8311,"(429, 493, 88, 143)",5
train,la_005_48_MRI_heart_left+heart+atrium.png,"(320, 320)",9131,"(426, 490, 95, 149)",6
train,la_005_49_MRI_heart_left+heart+atrium.png,"(320, 320)",10264,"(390, 486, 131, 156)",7
train,la_005_50_MRI_heart_left+heart+atrium.png,"(320, 320)",11110,"(390, 483, 134, 159)",7
train,la_005_51_MRI_heart_left+heart+atrium.png,"(320, 320)",11842,"(390, 480, 134, 165)",8
train,la_005_52_MRI_heart_left+heart+atrium.png,"(320, 320)",12311,"(394, 480, 130, 165)",8
train,la_005_53_MRI_heart_left+heart+atrium.png,"(320, 320)",12693,"(397, 477, 127, 168)",8
train,la_005_54_MRI_heart_left+heart+atrium.png,"(320, 320)",13352,"(400, 477, 124, 194)",9
train,la_005_55_MRI_heart_left+heart+atrium.png,"(320, 320)",13897,"(400, 474, 124, 200)",9
train,la_005_56_MRI_heart_left+heart+atrium.png,"(320, 320)",14260,"(403, 474, 121, 200)",9
train,la_005_57_MRI_heart_left+heart+atrium.png,"(320, 320)",14499,"(403, 470, 121, 204)",9
train,la_005_58_MRI_heart_left+heart+atrium.png,"(320, 320)",14579,"(406, 470, 115, 204)",9
train,la_005_59_MRI_heart_left+heart+atrium.png,"(320, 320)",14605,"(410, 470, 111, 204)",10
train,la_005_60_MRI_heart_left+heart+atrium.png,"(320, 320)",14568,"(413, 470, 104, 201)",9
