split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,liver_0_48_CT_liver_liver.png,"(512, 512)",17040,"(638, 398, 225, 281)",1
train,liver_0_49_CT_liver_liver.png,"(512, 512)",32688,"(606, 366, 253, 325)",2
train,liver_0_50_CT_liver_liver.png,"(512, 512)",40380,"(594, 356, 263, 331)",2
train,liver_0_51_CT_liver_liver.png,"(512, 512)",45848,"(590, 340, 267, 349)",3
train,liver_0_52_CT_liver_liver.png,"(512, 512)",53704,"(582, 326, 277, 363)",3
train,liver_0_53_CT_liver_liver.png,"(512, 512)",58424,"(478, 324, 381, 381)",4
train,liver_0_54_CT_liver_liver.png,"(512, 512)",64240,"(466, 318, 395, 395)",4
train,liver_0_55_CT_liver_liver.png,"(512, 512)",72132,"(446, 306, 419, 407)",5
train,liver_0_56_CT_liver_liver.png,"(512, 512)",83248,"(374, 298, 495, 417)",6
train,liver_0_56_CT_liver_tumor.png,"(512, 512)",692,"(638, 362, 29, 31)",3
train,liver_0_57_CT_liver_liver.png,"(512, 512)",95916,"(404, 294, 467, 423)",6
train,liver_0_57_CT_liver_tumor.png,"(512, 512)",1472,"(596, 354, 77, 311)",6
train,liver_0_58_CT_liver_liver.png,"(512, 512)",106536,"(300, 288, 573, 431)",7
train,liver_0_58_CT_liver_tumor.png,"(512, 512)",2152,"(542, 302, 155, 367)",10
train,liver_0_59_CT_liver_liver.png,"(512, 512)",116096,"(300, 286, 577, 437)",8
train,liver_0_59_CT_liver_tumor.png,"(512, 512)",1508,"(628, 300, 71, 95)",7
train,liver_0_60_CT_liver_liver.png,"(512, 512)",122004,"(302, 284, 577, 443)",8
train,liver_0_60_CT_liver_tumor.png,"(512, 512)",756,"(640, 298, 63, 281)",3
train,liver_0_61_CT_liver_liver.png,"(512, 512)",125972,"(308, 284, 571, 443)",9
train,liver_0_61_CT_liver_tumor.png,"(512, 512)",372,"(640, 558, 21, 23)",1
train,liver_0_62_CT_liver_liver.png,"(512, 512)",130900,"(296, 284, 585, 445)",9
train,liver_0_63_CT_liver_liver.png,"(512, 512)",133536,"(288, 294, 595, 435)",9
train,liver_0_64_CT_liver_liver.png,"(512, 512)",135416,"(266, 310, 615, 423)",9
train,liver_0_65_CT_liver_liver.png,"(512, 512)",137268,"(266, 322, 613, 413)",10
train,liver_0_66_CT_liver_liver.png,"(512, 512)",131032,"(268, 354, 609, 381)",9
train,liver_0_66_CT_liver_tumor.png,"(512, 512)",600,"(458, 472, 297, 229)",2
train,liver_0_67_CT_liver_liver.png,"(512, 512)",124648,"(274, 380, 591, 357)",9
train,liver_0_67_CT_liver_tumor.png,"(512, 512)",292,"(454, 680, 17, 21)",1
train,liver_0_68_CT_liver_liver.png,"(512, 512)",114764,"(276, 394, 579, 341)",8
train,liver_0_69_CT_liver_liver.png,"(512, 512)",89944,"(340, 444, 503, 291)",6
train,liver_0_69_CT_liver_tumor.png,"(512, 512)",544,"(422, 518, 373, 71)",2
train,liver_0_70_CT_liver_liver.png,"(512, 512)",72772,"(356, 470, 473, 253)",5
train,liver_0_71_CT_liver_liver.png,"(512, 512)",49088,"(394, 480, 421, 235)",3
train,liver_0_71_CT_liver_tumor.png,"(512, 512)",692,"(606, 638, 25, 37)",3
train,liver_0_72_CT_liver_liver.png,"(512, 512)",17812,"(398, 582, 313, 129)",1
train,liver_0_72_CT_liver_tumor.png,"(512, 512)",752,"(606, 642, 31, 31)",3
train,liver_1_49_CT_liver_liver.png,"(512, 512)",22736,"(756, 436, 121, 265)",1
train,liver_1_50_CT_liver_liver.png,"(512, 512)",40400,"(598, 412, 273, 355)",2
train,liver_1_51_CT_liver_liver.png,"(512, 512)",50916,"(590, 388, 281, 379)",3
train,liver_1_52_CT_liver_liver.png,"(512, 512)",58480,"(584, 384, 285, 383)",3
train,liver_1_53_CT_liver_liver.png,"(512, 512)",62612,"(510, 370, 361, 409)",3
train,liver_1_54_CT_liver_liver.png,"(512, 512)",67648,"(406, 362, 467, 421)",4
train,liver_1_55_CT_liver_liver.png,"(512, 512)",79668,"(392, 352, 483, 437)",4
train,liver_1_56_CT_liver_liver.png,"(512, 512)",91788,"(344, 338, 533, 453)",5
train,liver_1_57_CT_liver_liver.png,"(512, 512)",93948,"(356, 334, 523, 457)",5
train,liver_1_57_CT_liver_tumor.png,"(512, 512)",3384,"(534, 370, 157, 375)",8
train,liver_1_58_CT_liver_liver.png,"(512, 512)",126072,"(286, 326, 595, 467)",7
train,liver_1_58_CT_liver_tumor.png,"(512, 512)",3944,"(534, 378, 153, 367)",10
train,liver_1_59_CT_liver_liver.png,"(512, 512)",130352,"(282, 324, 601, 471)",7
train,liver_1_59_CT_liver_tumor.png,"(512, 512)",2644,"(630, 334, 81, 111)",6
train,liver_1_60_CT_liver_liver.png,"(512, 512)",142844,"(272, 298, 613, 497)",8
train,liver_1_60_CT_liver_tumor.png,"(512, 512)",1924,"(628, 328, 89, 301)",4
train,liver_1_61_CT_liver_liver.png,"(512, 512)",148012,"(248, 318, 639, 477)",9
train,liver_1_61_CT_liver_tumor.png,"(512, 512)",1424,"(622, 346, 93, 291)",3
train,liver_1_62_CT_liver_liver.png,"(512, 512)",155760,"(250, 318, 639, 477)",9
train,liver_1_62_CT_liver_tumor.png,"(512, 512)",1216,"(622, 598, 43, 41)",3
train,liver_1_63_CT_liver_liver.png,"(512, 512)",159512,"(246, 320, 645, 475)",9
train,liver_1_64_CT_liver_liver.png,"(512, 512)",160312,"(244, 326, 647, 469)",9
train,liver_1_65_CT_liver_liver.png,"(512, 512)",163788,"(244, 340, 645, 453)",10
train,liver_1_65_CT_liver_tumor.png,"(512, 512)",908,"(422, 516, 353, 247)",2
train,liver_1_66_CT_liver_liver.png,"(512, 512)",160384,"(246, 356, 643, 435)",9
train,liver_1_66_CT_liver_tumor.png,"(512, 512)",1780,"(426, 516, 349, 249)",4
train,liver_1_67_CT_liver_liver.png,"(512, 512)",153792,"(246, 388, 641, 403)",9
train,liver_1_67_CT_liver_tumor.png,"(512, 512)",1152,"(586, 528, 161, 159)",2
train,liver_1_68_CT_liver_liver.png,"(512, 512)",140032,"(254, 400, 625, 385)",8
train,liver_1_68_CT_liver_tumor.png,"(512, 512)",1616,"(392, 514, 363, 163)",4
train,liver_1_69_CT_liver_liver.png,"(512, 512)",122364,"(300, 420, 565, 351)",7
train,liver_1_69_CT_liver_tumor.png,"(512, 512)",936,"(390, 602, 33, 33)",2
train,liver_1_70_CT_liver_liver.png,"(512, 512)",92300,"(384, 430, 467, 335)",5
train,liver_1_70_CT_liver_tumor.png,"(512, 512)",2380,"(376, 556, 417, 161)",6
train,liver_1_71_CT_liver_liver.png,"(512, 512)",68804,"(390, 492, 451, 259)",4
train,liver_1_71_CT_liver_tumor.png,"(512, 512)",2320,"(568, 556, 225, 169)",5
train,liver_1_72_CT_liver_liver.png,"(512, 512)",53056,"(422, 508, 399, 231)",3
train,liver_1_72_CT_liver_tumor.png,"(512, 512)",1512,"(568, 674, 47, 47)",3
train,liver_1_73_CT_liver_tumor.png,"(512, 512)",844,"(558, 682, 43, 45)",2
train,liver_10_314_CT_liver_liver.png,"(512, 512)",11260,"(778, 464, 75, 195)",1
train,liver_10_315_CT_liver_liver.png,"(512, 512)",12108,"(776, 460, 79, 199)",1
train,liver_10_316_CT_liver_liver.png,"(512, 512)",12828,"(774, 458, 83, 203)",1
train,liver_10_317_CT_liver_liver.png,"(512, 512)",13584,"(772, 456, 87, 205)",1
train,liver_10_318_CT_liver_liver.png,"(512, 512)",14248,"(770, 452, 89, 211)",1
train,liver_10_319_CT_liver_liver.png,"(512, 512)",14996,"(766, 452, 95, 211)",1
train,liver_10_320_CT_liver_liver.png,"(512, 512)",15708,"(766, 448, 97, 215)",1
train,liver_10_321_CT_liver_liver.png,"(512, 512)",16352,"(764, 448, 99, 217)",1
train,liver_10_322_CT_liver_liver.png,"(512, 512)",17232,"(762, 444, 103, 221)",1
train,liver_10_323_CT_liver_liver.png,"(512, 512)",18060,"(760, 440, 107, 227)",1
train,liver_10_324_CT_liver_liver.png,"(512, 512)",19044,"(758, 434, 111, 233)",1
train,liver_10_325_CT_liver_liver.png,"(512, 512)",20244,"(754, 418, 117, 251)",1
train,liver_10_326_CT_liver_liver.png,"(512, 512)",21380,"(752, 412, 119, 257)",1
train,liver_10_327_CT_liver_liver.png,"(512, 512)",22464,"(750, 404, 123, 267)",2
train,liver_10_328_CT_liver_liver.png,"(512, 512)",23320,"(748, 398, 127, 273)",2
train,liver_10_329_CT_liver_liver.png,"(512, 512)",23940,"(746, 392, 129, 281)",2
train,liver_10_329_CT_liver_tumor.png,"(512, 512)",768,"(782, 436, 35, 41)",2
train,liver_10_330_CT_liver_liver.png,"(512, 512)",24312,"(744, 384, 133, 291)",2
train,liver_10_330_CT_liver_tumor.png,"(512, 512)",1512,"(780, 434, 41, 45)",4
train,liver_10_331_CT_liver_liver.png,"(512, 512)",25276,"(742, 380, 137, 295)",2
train,liver_10_331_CT_liver_tumor.png,"(512, 512)",1668,"(778, 434, 45, 49)",5
train,liver_10_332_CT_liver_liver.png,"(512, 512)",26720,"(740, 378, 139, 299)",2
train,liver_10_332_CT_liver_tumor.png,"(512, 512)",1956,"(774, 432, 51, 53)",6
train,liver_10_333_CT_liver_liver.png,"(512, 512)",28032,"(734, 378, 147, 301)",2
train,liver_10_333_CT_liver_tumor.png,"(512, 512)",2232,"(772, 430, 53, 57)",6
train,liver_10_334_CT_liver_liver.png,"(512, 512)",29336,"(732, 372, 149, 309)",2
train,liver_10_334_CT_liver_tumor.png,"(512, 512)",2508,"(770, 428, 55, 61)",7
train,liver_10_335_CT_liver_liver.png,"(512, 512)",30440,"(728, 370, 155, 313)",2
train,liver_10_335_CT_liver_tumor.png,"(512, 512)",2828,"(768, 426, 59, 63)",8
train,liver_10_336_CT_liver_liver.png,"(512, 512)",31616,"(724, 366, 159, 317)",2
train,liver_10_336_CT_liver_tumor.png,"(512, 512)",3008,"(768, 426, 59, 63)",9
train,liver_10_337_CT_liver_liver.png,"(512, 512)",32928,"(720, 364, 165, 321)",2
train,liver_10_337_CT_liver_tumor.png,"(512, 512)",3108,"(766, 424, 61, 67)",9
train,liver_10_338_CT_liver_liver.png,"(512, 512)",34228,"(718, 360, 169, 327)",3
train,liver_10_338_CT_liver_tumor.png,"(512, 512)",3144,"(766, 424, 61, 67)",9
train,liver_10_339_CT_liver_liver.png,"(512, 512)",35620,"(714, 358, 173, 331)",3
