split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,hippocampus_001_6_MRI_brain_anterior+hippocampus.png,"(35, 51)",14521,"(482, 763, 160, 140)",2
train,hippocampus_001_7_MRI_brain_anterior+hippocampus.png,"(35, 51)",26961,"(422, 723, 240, 180)",3
train,hippocampus_001_8_MRI_brain_anterior+hippocampus.png,"(35, 51)",48721,"(361, 663, 321, 240)",6
train,hippocampus_001_9_MRI_brain_anterior+hippocampus.png,"(35, 51)",63300,"(341, 622, 361, 281)",9
train,hippocampus_001_10_MRI_brain_anterior+hippocampus.png,"(35, 51)",68981,"(341, 622, 381, 281)",9
train,hippocampus_001_10_MRI_brain_posterior+hippocampus.png,"(35, 51)",8020,"(381, 542, 140, 79)",1
train,hippocampus_001_11_MRI_brain_anterior+hippocampus.png,"(35, 51)",69801,"(341, 622, 381, 260)",10
train,hippocampus_001_11_MRI_brain_posterior+hippocampus.png,"(35, 51)",16060,"(361, 482, 200, 139)",2
train,hippocampus_001_12_MRI_brain_anterior+hippocampus.png,"(35, 51)",68221,"(341, 622, 381, 260)",9
train,hippocampus_001_12_MRI_brain_posterior+hippocampus.png,"(35, 51)",23700,"(361, 422, 220, 199)",4
train,hippocampus_001_13_MRI_brain_anterior+hippocampus.png,"(35, 51)",61401,"(341, 622, 381, 220)",8
train,hippocampus_001_13_MRI_brain_posterior+hippocampus.png,"(35, 51)",34580,"(341, 402, 260, 219)",5
train,hippocampus_001_14_MRI_brain_anterior+hippocampus.png,"(35, 51)",52121,"(341, 622, 381, 200)",7
train,hippocampus_001_14_MRI_brain_posterior+hippocampus.png,"(35, 51)",42220,"(341, 402, 260, 219)",7
train,hippocampus_001_15_MRI_brain_anterior+hippocampus.png,"(35, 51)",34781,"(341, 622, 381, 180)",4
train,hippocampus_001_15_MRI_brain_posterior+hippocampus.png,"(35, 51)",50761,"(341, 361, 260, 260)",8
train,hippocampus_001_16_MRI_brain_anterior+hippocampus.png,"(35, 51)",19521,"(341, 622, 321, 140)",2
train,hippocampus_001_16_MRI_brain_posterior+hippocampus.png,"(35, 51)",56441,"(321, 341, 280, 280)",9
train,hippocampus_001_17_MRI_brain_posterior+hippocampus.png,"(35, 51)",58121,"(321, 321, 280, 300)",10
train,hippocampus_001_18_MRI_brain_posterior+hippocampus.png,"(35, 51)",55341,"(321, 281, 280, 280)",9
train,hippocampus_001_19_MRI_brain_posterior+hippocampus.png,"(35, 51)",50501,"(321, 241, 280, 260)",8
train,hippocampus_001_20_MRI_brain_posterior+hippocampus.png,"(35, 51)",48501,"(321, 221, 280, 240)",8
train,hippocampus_001_21_MRI_brain_posterior+hippocampus.png,"(35, 51)",44281,"(321, 181, 280, 240)",7
train,hippocampus_001_22_MRI_brain_posterior+hippocampus.png,"(35, 51)",40621,"(341, 161, 260, 240)",7
train,hippocampus_001_23_MRI_brain_posterior+hippocampus.png,"(35, 51)",35760,"(341, 161, 260, 199)",6
train,hippocampus_001_24_MRI_brain_posterior+hippocampus.png,"(35, 51)",29320,"(361, 161, 260, 159)",5
train,hippocampus_001_25_MRI_brain_posterior+hippocampus.png,"(35, 51)",23300,"(361, 161, 260, 139)",4
train,hippocampus_001_26_MRI_brain_posterior+hippocampus.png,"(35, 51)",16020,"(381, 161, 240, 119)",2
train,hippocampus_001_27_MRI_brain_posterior+hippocampus.png,"(35, 51)",10400,"(422, 161, 199, 79)",1
train,hippocampus_001_28_MRI_brain_posterior+hippocampus.png,"(35, 51)",7200,"(442, 161, 159, 59)",1
train,hippocampus_003_5_MRI_brain_anterior+hippocampus.png,"(34, 52)",16362,"(433, 788, 236, 137)",2
train,hippocampus_003_6_MRI_brain_anterior+hippocampus.png,"(34, 52)",28267,"(394, 748, 275, 177)",3
train,hippocampus_003_7_MRI_brain_anterior+hippocampus.png,"(34, 52)",44250,"(374, 689, 295, 236)",5
train,hippocampus_003_8_MRI_brain_anterior+hippocampus.png,"(34, 52)",55853,"(354, 630, 315, 295)",7
train,hippocampus_003_9_MRI_brain_anterior+hippocampus.png,"(34, 52)",69896,"(335, 610, 353, 315)",9
train,hippocampus_003_10_MRI_brain_anterior+hippocampus.png,"(34, 52)",76458,"(315, 591, 393, 314)",9
train,hippocampus_003_11_MRI_brain_anterior+hippocampus.png,"(34, 52)",77179,"(315, 591, 393, 294)",10
train,hippocampus_003_11_MRI_brain_posterior+hippocampus.png,"(34, 52)",12704,"(335, 512, 235, 97)",1
train,hippocampus_003_12_MRI_brain_anterior+hippocampus.png,"(34, 52)",71437,"(295, 591, 433, 274)",9
train,hippocampus_003_12_MRI_brain_posterior+hippocampus.png,"(34, 52)",22045,"(315, 473, 255, 136)",3
train,hippocampus_003_13_MRI_brain_anterior+hippocampus.png,"(34, 52)",60692,"(295, 591, 413, 235)",7
train,hippocampus_003_13_MRI_brain_posterior+hippocampus.png,"(34, 52)",32889,"(315, 394, 255, 215)",4
train,hippocampus_003_14_MRI_brain_anterior+hippocampus.png,"(34, 52)",48551,"(295, 591, 393, 176)",6
train,hippocampus_003_14_MRI_brain_posterior+hippocampus.png,"(34, 52)",47613,"(295, 374, 275, 235)",6
train,hippocampus_003_15_MRI_brain_anterior+hippocampus.png,"(34, 52)",35486,"(295, 591, 393, 176)",4
train,hippocampus_003_15_MRI_brain_posterior+hippocampus.png,"(34, 52)",62016,"(295, 315, 275, 294)",8
train,hippocampus_003_16_MRI_brain_anterior+hippocampus.png,"(34, 52)",10522,"(315, 591, 314, 117)",1
train,hippocampus_003_16_MRI_brain_posterior+hippocampus.png,"(34, 52)",71016,"(295, 276, 275, 333)",10
train,hippocampus_003_17_MRI_brain_posterior+hippocampus.png,"(34, 52)",67214,"(295, 256, 275, 353)",9
train,hippocampus_003_18_MRI_brain_posterior+hippocampus.png,"(34, 52)",54891,"(295, 236, 275, 354)",7
train,hippocampus_003_19_MRI_brain_posterior+hippocampus.png,"(34, 52)",46072,"(315, 217, 294, 274)",6
train,hippocampus_003_20_MRI_brain_posterior+hippocampus.png,"(34, 52)",41910,"(335, 197, 294, 255)",5
train,hippocampus_003_21_MRI_brain_posterior+hippocampus.png,"(34, 52)",38029,"(354, 158, 295, 235)",5
train,hippocampus_003_22_MRI_brain_posterior+hippocampus.png,"(34, 52)",35249,"(374, 138, 275, 235)",4
train,hippocampus_003_23_MRI_brain_posterior+hippocampus.png,"(34, 52)",33670,"(394, 118, 255, 216)",4
train,hippocampus_003_24_MRI_brain_posterior+hippocampus.png,"(34, 52)",33289,"(394, 118, 294, 196)",4
train,hippocampus_003_25_MRI_brain_posterior+hippocampus.png,"(34, 52)",30247,"(394, 118, 294, 157)",4
train,hippocampus_003_26_MRI_brain_posterior+hippocampus.png,"(34, 52)",25567,"(414, 118, 274, 137)",3
train,hippocampus_003_27_MRI_brain_posterior+hippocampus.png,"(34, 52)",19824,"(453, 118, 235, 98)",2
train,hippocampus_003_28_MRI_brain_posterior+hippocampus.png,"(34, 52)",12783,"(453, 118, 235, 78)",1
train,hippocampus_004_6_MRI_brain_anterior+hippocampus.png,"(36, 52)",19004,"(414, 788, 215, 137)",2
train,hippocampus_004_7_MRI_brain_anterior+hippocampus.png,"(36, 52)",32988,"(374, 729, 275, 196)",3
train,hippocampus_004_8_MRI_brain_anterior+hippocampus.png,"(36, 52)",46951,"(354, 689, 315, 236)",5
train,hippocampus_004_9_MRI_brain_anterior+hippocampus.png,"(36, 52)",66277,"(335, 610, 353, 315)",7
train,hippocampus_004_10_MRI_brain_anterior+hippocampus.png,"(36, 52)",81460,"(315, 591, 393, 334)",9
train,hippocampus_004_11_MRI_brain_anterior+hippocampus.png,"(36, 52)",87262,"(295, 591, 433, 314)",9
train,hippocampus_004_12_MRI_brain_anterior+hippocampus.png,"(36, 52)",89163,"(295, 591, 433, 314)",10
train,hippocampus_004_12_MRI_brain_posterior+hippocampus.png,"(36, 52)",13622,"(315, 473, 216, 117)",2
train,hippocampus_004_13_MRI_brain_anterior+hippocampus.png,"(36, 52)",86422,"(276, 591, 452, 314)",9
train,hippocampus_004_13_MRI_brain_posterior+hippocampus.png,"(36, 52)",27585,"(295, 374, 275, 235)",4
train,hippocampus_004_14_MRI_brain_anterior+hippocampus.png,"(36, 52)",77139,"(276, 591, 452, 294)",8
train,hippocampus_004_14_MRI_brain_posterior+hippocampus.png,"(36, 52)",40730,"(276, 354, 294, 255)",6
train,hippocampus_004_15_MRI_brain_anterior+hippocampus.png,"(36, 52)",59976,"(276, 591, 452, 274)",6
train,hippocampus_004_15_MRI_brain_posterior+hippocampus.png,"(36, 52)",55074,"(276, 315, 294, 294)",8
train,hippocampus_004_16_MRI_brain_anterior+hippocampus.png,"(36, 52)",39930,"(295, 591, 433, 255)",4
train,hippocampus_004_16_MRI_brain_posterior+hippocampus.png,"(36, 52)",62815,"(276, 295, 294, 314)",10
train,hippocampus_004_17_MRI_brain_anterior+hippocampus.png,"(36, 52)",13603,"(315, 591, 314, 137)",1
train,hippocampus_004_17_MRI_brain_posterior+hippocampus.png,"(36, 52)",62496,"(276, 276, 294, 314)",9
train,hippocampus_004_18_MRI_brain_posterior+hippocampus.png,"(36, 52)",55992,"(276, 256, 274, 334)",8
train,hippocampus_004_19_MRI_brain_posterior+hippocampus.png,"(36, 52)",52870,"(295, 217, 255, 353)",8
train,hippocampus_004_20_MRI_brain_posterior+hippocampus.png,"(36, 52)",45870,"(295, 177, 275, 334)",7
train,hippocampus_004_21_MRI_brain_posterior+hippocampus.png,"(36, 52)",39170,"(295, 158, 255, 314)",6
train,hippocampus_004_22_MRI_brain_posterior+hippocampus.png,"(36, 52)",37130,"(315, 138, 255, 255)",5
train,hippocampus_004_23_MRI_brain_posterior+hippocampus.png,"(36, 52)",37590,"(315, 118, 275, 255)",5
