split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,prostate_00_0_MRI-T2_prostate_prostate+transitional+zone.png,"(320, 320)",1767,"(445, 515, 85, 66)",1
train,prostate_00_0_MRI-ADC_prostate_prostate+transitional+zone.png,"(320, 320)",1767,"(445, 515, 85, 66)",1
train,prostate_00_0_MRI-T2_prostate_prostate+peripheral+zone.png,"(320, 320)",4099,"(454, 522, 76, 66)",1
train,prostate_00_0_MRI-ADC_prostate_prostate+peripheral+zone.png,"(320, 320)",4099,"(454, 522, 76, 66)",1
train,prostate_00_1_MRI-T2_prostate_prostate+transitional+zone.png,"(320, 320)",10924,"(413, 451, 149, 108)",7
train,prostate_00_1_MRI-ADC_prostate_prostate+transitional+zone.png,"(320, 320)",10924,"(413, 451, 149, 108)",7
train,prostate_00_1_MRI-T2_prostate_prostate+peripheral+zone.png,"(320, 320)",6564,"(429, 512, 114, 89)",1
train,prostate_00_1_MRI-ADC_prostate_prostate+peripheral+zone.png,"(320, 320)",6564,"(429, 512, 114, 89)",1
train,prostate_00_2_MRI-T2_prostate_prostate+transitional+zone.png,"(320, 320)",14597,"(410, 445, 168, 152)",10
train,prostate_00_2_MRI-ADC_prostate_prostate+transitional+zone.png,"(320, 320)",14597,"(410, 445, 168, 152)",10
train,prostate_00_2_MRI-T2_prostate_prostate+peripheral+zone.png,"(320, 320)",6602,"(445, 499, 92, 114)",1
train,prostate_00_2_MRI-ADC_prostate_prostate+peripheral+zone.png,"(320, 320)",6602,"(445, 499, 92, 114)",1
train,prostate_00_3_MRI-T2_prostate_prostate+transitional+zone.png,"(320, 320)",10764,"(394, 470, 207, 115)",7
train,prostate_00_3_MRI-ADC_prostate_prostate+transitional+zone.png,"(320, 320)",10764,"(394, 470, 207, 115)",7
train,prostate_00_3_MRI-T2_prostate_prostate+peripheral+zone.png,"(320, 320)",13974,"(410, 499, 155, 121)",4
train,prostate_00_3_MRI-ADC_prostate_prostate+peripheral+zone.png,"(320, 320)",13974,"(410, 499, 155, 121)",4
train,prostate_00_4_MRI-T2_prostate_prostate+transitional+zone.png,"(320, 320)",8608,"(384, 470, 220, 143)",5
train,prostate_00_4_MRI-ADC_prostate_prostate+transitional+zone.png,"(320, 320)",8608,"(384, 470, 220, 143)",5
train,prostate_00_4_MRI-T2_prostate_prostate+peripheral+zone.png,"(320, 320)",20223,"(384, 496, 210, 130)",6
train,prostate_00_4_MRI-ADC_prostate_prostate+peripheral+zone.png,"(320, 320)",20223,"(384, 496, 210, 130)",6
train,prostate_00_5_MRI-T2_prostate_prostate+transitional+zone.png,"(320, 320)",6170,"(378, 477, 229, 79)",4
train,prostate_00_5_MRI-ADC_prostate_prostate+transitional+zone.png,"(320, 320)",6170,"(378, 477, 229, 79)",4
train,prostate_00_5_MRI-T2_prostate_prostate+peripheral+zone.png,"(320, 320)",25255,"(378, 496, 226, 137)",7
train,prostate_00_5_MRI-ADC_prostate_prostate+peripheral+zone.png,"(320, 320)",25255,"(378, 496, 226, 137)",7
train,prostate_00_6_MRI-T2_prostate_prostate+transitional+zone.png,"(320, 320)",3297,"(374, 474, 239, 59)",2
train,prostate_00_6_MRI-ADC_prostate_prostate+transitional+zone.png,"(320, 320)",3297,"(374, 474, 239, 59)",2
