split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,lung_001_231_CT_lung_tumor.png,"(512, 512)",240,"(242, 526, 15, 23)",2
train,lung_001_232_CT_lung_tumor.png,"(512, 512)",252,"(240, 528, 17, 21)",2
train,lung_001_233_CT_lung_tumor.png,"(512, 512)",648,"(226, 514, 33, 35)",6
train,lung_001_234_CT_lung_tumor.png,"(512, 512)",748,"(226, 516, 39, 35)",7
train,lung_001_235_CT_lung_tumor.png,"(512, 512)",788,"(228, 518, 37, 35)",7
train,lung_001_236_CT_lung_tumor.png,"(512, 512)",884,"(230, 520, 37, 33)",8
train,lung_001_237_CT_lung_tumor.png,"(512, 512)",868,"(228, 520, 49, 29)",8
train,lung_001_238_CT_lung_tumor.png,"(512, 512)",1024,"(228, 516, 43, 35)",10
train,lung_001_239_CT_lung_tumor.png,"(512, 512)",980,"(230, 514, 41, 37)",9
train,lung_001_240_CT_lung_tumor.png,"(512, 512)",752,"(236, 516, 31, 35)",7
train,lung_001_241_CT_lung_tumor.png,"(512, 512)",732,"(238, 520, 27, 35)",7
train,lung_001_242_CT_lung_tumor.png,"(512, 512)",572,"(240, 520, 29, 29)",5
train,lung_001_243_CT_lung_tumor.png,"(512, 512)",424,"(242, 522, 29, 23)",4
train,lung_001_244_CT_lung_tumor.png,"(512, 512)",504,"(242, 524, 29, 21)",4
train,lung_001_245_CT_lung_tumor.png,"(512, 512)",492,"(228, 524, 43, 19)",4
train,lung_001_246_CT_lung_tumor.png,"(512, 512)",416,"(248, 522, 21, 23)",4
train,lung_001_247_CT_lung_tumor.png,"(512, 512)",428,"(244, 522, 23, 25)",4
train,lung_001_248_CT_lung_tumor.png,"(512, 512)",120,"(246, 524, 23, 15)",1
train,lung_003_138_CT_lung_tumor.png,"(512, 512)",216,"(778, 484, 17, 15)",2
train,lung_003_139_CT_lung_tumor.png,"(512, 512)",516,"(778, 468, 23, 33)",5
train,lung_003_140_CT_lung_tumor.png,"(512, 512)",620,"(778, 470, 23, 35)",7
train,lung_003_141_CT_lung_tumor.png,"(512, 512)",732,"(776, 472, 25, 35)",8
train,lung_003_142_CT_lung_tumor.png,"(512, 512)",868,"(774, 470, 29, 39)",10
train,lung_003_143_CT_lung_tumor.png,"(512, 512)",652,"(776, 476, 23, 31)",7
train,lung_003_144_CT_lung_tumor.png,"(512, 512)",644,"(774, 476, 27, 31)",7
train,lung_003_145_CT_lung_tumor.png,"(512, 512)",544,"(772, 476, 29, 29)",6
train,lung_003_146_CT_lung_tumor.png,"(512, 512)",392,"(778, 478, 21, 23)",4
train,lung_003_147_CT_lung_tumor.png,"(512, 512)",112,"(788, 488, 9, 13)",1
train,lung_004_217_CT_lung_tumor.png,"(512, 512)",260,"(650, 654, 29, 15)",2
train,lung_004_218_CT_lung_tumor.png,"(512, 512)",352,"(650, 650, 33, 19)",3
train,lung_004_219_CT_lung_tumor.png,"(512, 512)",572,"(650, 644, 31, 27)",6
train,lung_004_220_CT_lung_tumor.png,"(512, 512)",664,"(648, 644, 31, 29)",7
train,lung_004_221_CT_lung_tumor.png,"(512, 512)",892,"(646, 634, 37, 39)",10
train,lung_004_222_CT_lung_tumor.png,"(512, 512)",788,"(646, 634, 39, 35)",8
train,lung_004_223_CT_lung_tumor.png,"(512, 512)",536,"(650, 634, 29, 31)",6
train,lung_004_224_CT_lung_tumor.png,"(512, 512)",388,"(648, 640, 25, 23)",4
train,lung_004_225_CT_lung_tumor.png,"(512, 512)",356,"(646, 636, 25, 23)",3
train,lung_004_226_CT_lung_tumor.png,"(512, 512)",428,"(646, 634, 27, 25)",4
train,lung_004_227_CT_lung_tumor.png,"(512, 512)",300,"(648, 632, 29, 19)",3
train,lung_004_228_CT_lung_tumor.png,"(512, 512)",192,"(648, 634, 15, 15)",2
train,lung_004_229_CT_lung_tumor.png,"(512, 512)",184,"(648, 628, 15, 17)",2
train,lung_004_230_CT_lung_tumor.png,"(512, 512)",144,"(650, 630, 13, 15)",1
train,lung_004_231_CT_lung_tumor.png,"(512, 512)",132,"(648, 630, 17, 13)",1
train,lung_005_156_CT_lung_tumor.png,"(512, 512)",644,"(254, 572, 29, 31)",1
train,lung_005_157_CT_lung_tumor.png,"(512, 512)",844,"(256, 566, 31, 37)",1
train,lung_005_158_CT_lung_tumor.png,"(512, 512)",988,"(252, 564, 35, 35)",2
train,lung_005_159_CT_lung_tumor.png,"(512, 512)",1504,"(250, 562, 43, 45)",3
train,lung_005_160_CT_lung_tumor.png,"(512, 512)",1940,"(248, 560, 49, 49)",4
train,lung_005_161_CT_lung_tumor.png,"(512, 512)",2416,"(242, 556, 57, 53)",5
train,lung_005_162_CT_lung_tumor.png,"(512, 512)",2888,"(236, 554, 65, 57)",6
train,lung_005_163_CT_lung_tumor.png,"(512, 512)",2764,"(240, 554, 63, 57)",6
train,lung_005_164_CT_lung_tumor.png,"(512, 512)",3716,"(238, 550, 81, 65)",8
train,lung_005_165_CT_lung_tumor.png,"(512, 512)",3936,"(234, 548, 85, 71)",8
train,lung_005_166_CT_lung_tumor.png,"(512, 512)",4000,"(236, 542, 83, 79)",8
train,lung_005_167_CT_lung_tumor.png,"(512, 512)",4272,"(236, 540, 91, 81)",9
train,lung_005_168_CT_lung_tumor.png,"(512, 512)",4236,"(234, 542, 89, 83)",9
train,lung_005_169_CT_lung_tumor.png,"(512, 512)",4120,"(236, 548, 79, 73)",9
train,lung_005_170_CT_lung_tumor.png,"(512, 512)",4332,"(234, 542, 81, 79)",9
train,lung_005_171_CT_lung_tumor.png,"(512, 512)",4424,"(232, 536, 81, 83)",9
train,lung_005_172_CT_lung_tumor.png,"(512, 512)",4496,"(234, 534, 79, 85)",10
train,lung_005_173_CT_lung_tumor.png,"(512, 512)",3704,"(236, 534, 73, 81)",8
train,lung_005_174_CT_lung_tumor.png,"(512, 512)",3372,"(240, 536, 67, 73)",7
train,lung_005_175_CT_lung_tumor.png,"(512, 512)",2572,"(238, 536, 67, 73)",5
train,lung_005_176_CT_lung_tumor.png,"(512, 512)",1784,"(244, 552, 63, 55)",3
train,lung_005_177_CT_lung_tumor.png,"(512, 512)",1464,"(244, 558, 61, 43)",3
train,lung_005_178_CT_lung_tumor.png,"(512, 512)",880,"(242, 568, 45, 31)",1
train,lung_005_179_CT_lung_tumor.png,"(512, 512)",732,"(238, 570, 45, 27)",1
train,lung_006_450_CT_lung_tumor.png,"(512, 512)",256,"(592, 386, 15, 31)",1
train,lung_006_451_CT_lung_tumor.png,"(512, 512)",300,"(592, 392, 17, 25)",2
train,lung_006_452_CT_lung_tumor.png,"(512, 512)",432,"(592, 390, 19, 27)",2
train,lung_006_453_CT_lung_tumor.png,"(512, 512)",424,"(590, 390, 21, 27)",2
