split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,pancreas_001_34_CT_pancreas_tumor.png,"(512, 512)",3816,"(502, 560, 71, 73)",4
train,pancreas_001_35_CT_pancreas_tumor.png,"(512, 512)",4364,"(490, 556, 79, 81)",5
train,pancreas_001_36_CT_pancreas_tumor.png,"(512, 512)",5128,"(488, 552, 87, 89)",6
train,pancreas_001_37_CT_pancreas_tumor.png,"(512, 512)",6084,"(488, 550, 105, 93)",7
train,pancreas_001_38_CT_pancreas_tumor.png,"(512, 512)",6632,"(490, 550, 95, 95)",8
train,pancreas_001_39_CT_pancreas_tumor.png,"(512, 512)",7212,"(492, 550, 95, 99)",8
train,pancreas_001_40_CT_pancreas_tumor.png,"(512, 512)",7960,"(492, 550, 105, 101)",9
train,pancreas_001_41_CT_pancreas_tumor.png,"(512, 512)",8044,"(490, 550, 107, 103)",10
train,pancreas_001_42_CT_pancreas_tumor.png,"(512, 512)",7856,"(492, 550, 105, 103)",9
train,pancreas_001_43_CT_pancreas_tumor.png,"(512, 512)",7408,"(490, 552, 107, 101)",9
train,pancreas_001_44_CT_pancreas_pancreas.png,"(512, 512)",1528,"(492, 560, 83, 111)",1
train,pancreas_001_44_CT_pancreas_tumor.png,"(512, 512)",7368,"(482, 552, 113, 101)",9
train,pancreas_001_45_CT_pancreas_pancreas.png,"(512, 512)",2428,"(490, 558, 91, 119)",1
train,pancreas_001_45_CT_pancreas_tumor.png,"(512, 512)",6460,"(492, 554, 99, 95)",8
train,pancreas_001_46_CT_pancreas_pancreas.png,"(512, 512)",4048,"(484, 558, 97, 123)",2
train,pancreas_001_46_CT_pancreas_tumor.png,"(512, 512)",4696,"(494, 554, 85, 71)",5
train,pancreas_001_47_CT_pancreas_pancreas.png,"(512, 512)",5000,"(476, 558, 99, 125)",3
train,pancreas_001_47_CT_pancreas_tumor.png,"(512, 512)",3792,"(494, 552, 87, 69)",4
train,pancreas_001_48_CT_pancreas_pancreas.png,"(512, 512)",4940,"(470, 582, 101, 103)",3
train,pancreas_001_48_CT_pancreas_tumor.png,"(512, 512)",3708,"(494, 552, 87, 67)",4
train,pancreas_001_49_CT_pancreas_pancreas.png,"(512, 512)",4840,"(464, 560, 107, 125)",3
train,pancreas_001_49_CT_pancreas_tumor.png,"(512, 512)",3772,"(496, 550, 87, 73)",4
train,pancreas_001_50_CT_pancreas_pancreas.png,"(512, 512)",5004,"(456, 588, 113, 99)",3
train,pancreas_001_50_CT_pancreas_tumor.png,"(512, 512)",3568,"(498, 554, 83, 67)",4
train,pancreas_001_51_CT_pancreas_pancreas.png,"(512, 512)",6268,"(412, 570, 159, 117)",4
train,pancreas_001_51_CT_pancreas_tumor.png,"(512, 512)",2532,"(500, 568, 73, 49)",3
train,pancreas_001_52_CT_pancreas_pancreas.png,"(512, 512)",12608,"(300, 540, 269, 149)",8
train,pancreas_001_52_CT_pancreas_tumor.png,"(512, 512)",2120,"(502, 570, 67, 47)",2
train,pancreas_001_53_CT_pancreas_pancreas.png,"(512, 512)",14076,"(292, 532, 249, 157)",9
train,pancreas_001_54_CT_pancreas_pancreas.png,"(512, 512)",14716,"(288, 526, 245, 161)",9
train,pancreas_001_55_CT_pancreas_pancreas.png,"(512, 512)",14852,"(288, 522, 237, 165)",10
train,pancreas_001_56_CT_pancreas_pancreas.png,"(512, 512)",14696,"(290, 522, 229, 163)",9
train,pancreas_001_57_CT_pancreas_pancreas.png,"(512, 512)",14124,"(292, 522, 225, 163)",9
train,pancreas_001_58_CT_pancreas_pancreas.png,"(512, 512)",12920,"(292, 522, 217, 159)",8
train,pancreas_001_59_CT_pancreas_pancreas.png,"(512, 512)",10652,"(296, 524, 205, 151)",7
train,pancreas_001_60_CT_pancreas_pancreas.png,"(512, 512)",5360,"(330, 544, 113, 109)",3
train,pancreas_001_61_CT_pancreas_pancreas.png,"(512, 512)",1684,"(344, 546, 47, 63)",1
train,pancreas_004_37_CT_pancreas_tumor.png,"(512, 512)",2716,"(534, 518, 67, 65)",2
