split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,spleen_10_24_CT_abdomen_spleen.png,"(512, 512)",5256,"(178, 410, 49, 131)",2
train,spleen_10_25_CT_abdomen_spleen.png,"(512, 512)",7740,"(176, 398, 67, 153)",3
train,spleen_10_26_CT_abdomen_spleen.png,"(512, 512)",10236,"(174, 392, 87, 173)",5
train,spleen_10_27_CT_abdomen_spleen.png,"(512, 512)",15740,"(178, 382, 151, 197)",7
train,spleen_10_28_CT_abdomen_spleen.png,"(512, 512)",18192,"(180, 378, 167, 211)",9
train,spleen_10_29_CT_abdomen_spleen.png,"(512, 512)",19332,"(184, 374, 171, 221)",9
train,spleen_10_30_CT_abdomen_spleen.png,"(512, 512)",20172,"(188, 374, 177, 221)",10
train,spleen_10_31_CT_abdomen_spleen.png,"(512, 512)",19796,"(192, 370, 179, 225)",9
train,spleen_10_32_CT_abdomen_spleen.png,"(512, 512)",18148,"(196, 370, 179, 219)",8
train,spleen_10_33_CT_abdomen_spleen.png,"(512, 512)",16908,"(202, 372, 177, 209)",8
train,spleen_10_34_CT_abdomen_spleen.png,"(512, 512)",15132,"(208, 374, 175, 197)",7
train,spleen_10_35_CT_abdomen_spleen.png,"(512, 512)",13228,"(216, 380, 171, 165)",6
train,spleen_10_36_CT_abdomen_spleen.png,"(512, 512)",11504,"(226, 386, 159, 139)",5
train,spleen_10_37_CT_abdomen_spleen.png,"(512, 512)",9504,"(236, 392, 145, 117)",4
train,spleen_10_38_CT_abdomen_spleen.png,"(512, 512)",6772,"(252, 404, 113, 91)",3
train,spleen_10_39_CT_abdomen_spleen.png,"(512, 512)",2756,"(276, 426, 75, 53)",1
train,spleen_12_65_CT_abdomen_spleen.png,"(512, 512)",4780,"(188, 396, 49, 147)",1
train,spleen_12_66_CT_abdomen_spleen.png,"(512, 512)",5704,"(186, 390, 53, 161)",1
train,spleen_12_67_CT_abdomen_spleen.png,"(512, 512)",6592,"(184, 384, 59, 173)",1
train,spleen_12_68_CT_abdomen_spleen.png,"(512, 512)",7336,"(184, 378, 61, 183)",1
train,spleen_12_69_CT_abdomen_spleen.png,"(512, 512)",8044,"(182, 374, 67, 193)",1
train,spleen_12_70_CT_abdomen_spleen.png,"(512, 512)",8860,"(182, 368, 71, 203)",1
train,spleen_12_71_CT_abdomen_spleen.png,"(512, 512)",9716,"(182, 364, 73, 211)",2
train,spleen_12_72_CT_abdomen_spleen.png,"(512, 512)",10648,"(180, 360, 79, 219)",2
train,spleen_12_73_CT_abdomen_spleen.png,"(512, 512)",11568,"(180, 354, 83, 227)",2
train,spleen_12_74_CT_abdomen_spleen.png,"(512, 512)",12620,"(178, 350, 87, 235)",2
train,spleen_12_75_CT_abdomen_spleen.png,"(512, 512)",13720,"(176, 346, 93, 243)",2
train,spleen_12_76_CT_abdomen_spleen.png,"(512, 512)",14816,"(176, 342, 97, 251)",3
train,spleen_12_77_CT_abdomen_spleen.png,"(512, 512)",15964,"(176, 338, 101, 257)",3
train,spleen_12_78_CT_abdomen_spleen.png,"(512, 512)",17232,"(174, 334, 105, 263)",3
train,spleen_12_79_CT_abdomen_spleen.png,"(512, 512)",18476,"(174, 330, 109, 269)",3
train,spleen_12_80_CT_abdomen_spleen.png,"(512, 512)",19796,"(172, 326, 113, 275)",4
train,spleen_12_81_CT_abdomen_spleen.png,"(512, 512)",21356,"(170, 324, 123, 279)",4
train,spleen_12_82_CT_abdomen_spleen.png,"(512, 512)",23048,"(170, 322, 145, 283)",4
train,spleen_12_83_CT_abdomen_spleen.png,"(512, 512)",24376,"(168, 320, 155, 285)",5
train,spleen_12_84_CT_abdomen_spleen.png,"(512, 512)",25708,"(168, 318, 165, 287)",5
train,spleen_12_85_CT_abdomen_spleen.png,"(512, 512)",27092,"(166, 316, 179, 289)",5
train,spleen_12_86_CT_abdomen_spleen.png,"(512, 512)",28464,"(166, 314, 187, 293)",6
train,spleen_12_87_CT_abdomen_spleen.png,"(512, 512)",29968,"(166, 312, 193, 297)",6
train,spleen_12_88_CT_abdomen_spleen.png,"(512, 512)",31644,"(166, 310, 201, 299)",6
