split,fname,original_shape,mask_area,mask_bbox
train,0081835cf877e004e8bfb905b78a9139_endoscope_colon_neoplastic+polyp.png,"(995, 1280, 3)",13187,"(793, 414, 87, 214)"
train,0081835cf877e004e8bfb905b78a9139_endoscope_colon_polyp.png,"(995, 1280, 3)",13187,"(793, 414, 87, 214)"
train,00d827b8bcf15050fb9af0ef92846b60_endoscope_colon_neoplastic+polyp.png,"(995, 1280, 3)",48761,"(467, 288, 200, 317)"
train,00d827b8bcf15050fb9af0ef92846b60_endoscope_colon_polyp.png,"(995, 1280, 3)",48761,"(467, 288, 200, 317)"
train,00f9b6c911c4aa179344271fa54aa1b2_endoscope_colon_neoplastic+polyp.png,"(959, 1280, 3)",34593,"(370, 556, 220, 200)"
train,00f9b6c911c4aa179344271fa54aa1b2_endoscope_colon_polyp.png,"(959, 1280, 3)",34593,"(370, 556, 220, 200)"
train,00fd197cd955fa095f978455cef3593c_endoscope_colon_non-neoplastic+polyp.png,"(977, 1280, 3)",68969,"(219, 249, 340, 272)"
train,00fd197cd955fa095f978455cef3593c_endoscope_colon_polyp.png,"(977, 1280, 3)",68969,"(219, 249, 340, 272)"
train,01c13a3d810b000db55759486b8aa1b8_endoscope_colon_non-neoplastic+polyp.png,"(995, 1280, 3)",18735,"(143, 554, 119, 219)"
train,01c13a3d810b000db55759486b8aa1b8_endoscope_colon_polyp.png,"(995, 1280, 3)",18735,"(143, 554, 119, 219)"
train,01e80947f9c02314fc58bdb26679bff5_endoscope_colon_neoplastic+polyp.png,"(995, 1280, 3)",71572,"(580, 344, 299, 308)"
train,01e80947f9c02314fc58bdb26679bff5_endoscope_colon_polyp.png,"(995, 1280, 3)",71572,"(580, 344, 299, 308)"
train,01ff069910ea2abe3c84417fda801941_endoscope_colon_neoplastic+polyp.png,"(995, 1280, 3)",7640,"(480, 306, 107, 95)"
train,01ff069910ea2abe3c84417fda801941_endoscope_colon_polyp.png,"(995, 1280, 3)",7640,"(480, 306, 107, 95)"
train,02000f9b6c911c4aa179344271fa54aa_endoscope_colon_neoplastic+polyp.png,"(959, 1280, 3)",32541,"(266, 572, 247, 185)"
train,02000f9b6c911c4aa179344271fa54aa_endoscope_colon_polyp.png,"(959, 1280, 3)",32541,"(266, 572, 247, 185)"
train,021bab9fc7330398846f67b5df7cdf3f_endoscope_colon_neoplastic+polyp.png,"(959, 1280, 3)",152239,"(388, 549, 480, 431)"
train,021bab9fc7330398846f67b5df7cdf3f_endoscope_colon_polyp.png,"(959, 1280, 3)",152239,"(388, 549, 480, 431)"
train,02345d341253851bc866ebe4d18d5401_endoscope_colon_neoplastic+polyp.png,"(995, 1280, 3)",40136,"(594, 608, 283, 220)"
