split,fname,original_shape,mask_area,mask_bbox
train,0DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",3296,"(308, 344, 101, 215)"
train,100DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",3208,"(138, 400, 109, 417)"
train,101DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",10188,"(114, 418, 125, 219)"
train,102DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",1708,"(280, 578, 59, 105)"
test,103DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",2452,"(208, 504, 117, 71)"
train,104DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",940,"(380, 516, 69, 19)"
test,105DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",2684,"(312, 436, 155, 143)"
train,106DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",2084,"(212, 484, 63, 97)"
test,107DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",124,"(334, 476, 23, 9)"
train,108DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",10816,"(274, 416, 167, 197)"
train,109DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",6396,"(428, 468, 127, 109)"
train,10DME_F_OCT_retinal_edema.png,"(512, 512, 3)",2972,"(332, 412, 49, 87)"
train,10DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",10580,"(384, 424, 133, 157)"
train,110DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",4480,"(240, 412, 99, 203)"
train,111DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",3316,"(292, 580, 87, 95)"
test,112DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",17692,"(248, 298, 181, 285)"
train,113DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",3316,"(292, 580, 87, 95)"
train,114DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",4068,"(392, 414, 91, 157)"
train,115DME_as_F_OCT_retinal_edema.png,"(512, 512, 3)",4184,"(488, 422, 147, 115)"
