split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,training_data-Case00_12_MRI_prostate_prostate.png,"(512, 512)",15952,"(356, 438, 145, 149)",2
train,training_data-Case00_13_MRI_prostate_prostate.png,"(512, 512)",23380,"(340, 412, 183, 167)",3
train,training_data-Case00_14_MRI_prostate_prostate.png,"(512, 512)",28432,"(336, 374, 185, 229)",3
train,training_data-Case00_15_MRI_prostate_prostate.png,"(512, 512)",39532,"(332, 366, 213, 263)",5
train,training_data-Case00_16_MRI_prostate_prostate.png,"(512, 512)",41208,"(328, 356, 209, 273)",5
train,training_data-Case00_17_MRI_prostate_prostate.png,"(512, 512)",47440,"(346, 328, 189, 329)",6
train,training_data-Case00_18_MRI_prostate_prostate.png,"(512, 512)",55188,"(350, 334, 203, 349)",7
train,training_data-Case00_19_MRI_prostate_prostate.png,"(512, 512)",60316,"(328, 328, 225, 361)",8
train,training_data-Case00_20_MRI_prostate_prostate.png,"(512, 512)",66060,"(316, 312, 231, 385)",8
train,training_data-Case00_21_MRI_prostate_prostate.png,"(512, 512)",69192,"(320, 320, 235, 385)",9
train,training_data-Case00_22_MRI_prostate_prostate.png,"(512, 512)",70960,"(318, 318, 233, 381)",9
train,training_data-Case00_23_MRI_prostate_prostate.png,"(512, 512)",69988,"(312, 328, 237, 365)",9
train,training_data-Case00_24_MRI_prostate_prostate.png,"(512, 512)",74016,"(304, 328, 245, 371)",10
train,training_data-Case00_25_MRI_prostate_prostate.png,"(512, 512)",68248,"(312, 324, 235, 357)",9
train,training_data-Case00_26_MRI_prostate_prostate.png,"(512, 512)",69840,"(300, 320, 247, 355)",9
train,training_data-Case00_27_MRI_prostate_prostate.png,"(512, 512)",68500,"(296, 332, 255, 347)",9
train,training_data-Case00_28_MRI_prostate_prostate.png,"(512, 512)",53876,"(300, 352, 231, 313)",7
train,training_data-Case00_29_MRI_prostate_prostate.png,"(512, 512)",50964,"(290, 360, 223, 289)",6
train,training_data-Case00_30_MRI_prostate_prostate.png,"(512, 512)",44424,"(302, 384, 213, 273)",6
train,training_data-Case00_31_MRI_prostate_prostate.png,"(512, 512)",35004,"(314, 406, 195, 235)",4
train,training_data-Case00_32_MRI_prostate_prostate.png,"(512, 512)",21804,"(332, 410, 149, 217)",2
train,training_data-Case00_33_MRI_prostate_prostate.png,"(512, 512)",14036,"(358, 428, 111, 171)",1
train,training_data-Case00_34_MRI_prostate_prostate.png,"(512, 512)",12672,"(366, 436, 101, 159)",1
train,training_data-Case01_7_MRI_prostate_prostate.png,"(512, 512)",8728,"(462, 434, 93, 149)",1
train,training_data-Case01_8_MRI_prostate_prostate.png,"(512, 512)",19440,"(444, 406, 127, 191)",3
train,training_data-Case01_9_MRI_prostate_prostate.png,"(512, 512)",31740,"(432, 386, 169, 239)",6
train,training_data-Case01_10_MRI_prostate_prostate.png,"(512, 512)",42984,"(420, 370, 201, 269)",8
train,training_data-Case01_11_MRI_prostate_prostate.png,"(512, 512)",47568,"(420, 360, 217, 283)",9
train,training_data-Case01_12_MRI_prostate_prostate.png,"(512, 512)",51328,"(422, 358, 211, 297)",9
train,training_data-Case01_13_MRI_prostate_prostate.png,"(512, 512)",51752,"(424, 354, 215, 307)",9
train,training_data-Case01_14_MRI_prostate_prostate.png,"(512, 512)",52448,"(420, 366, 229, 289)",10
train,training_data-Case01_15_MRI_prostate_prostate.png,"(512, 512)",35028,"(416, 380, 187, 241)",6
train,training_data-Case01_16_MRI_prostate_prostate.png,"(512, 512)",34148,"(408, 398, 195, 219)",6
train,training_data-Case01_17_MRI_prostate_prostate.png,"(512, 512)",30068,"(398, 406, 197, 209)",5
train,training_data-Case01_18_MRI_prostate_prostate.png,"(512, 512)",28292,"(418, 406, 193, 207)",5
train,training_data-Case01_19_MRI_prostate_prostate.png,"(512, 512)",24724,"(444, 414, 161, 191)",4
train,training_data-Case02_17_MRI_prostate_prostate.png,"(512, 512)",7652,"(422, 456, 111, 93)",1
train,training_data-Case02_18_MRI_prostate_prostate.png,"(512, 512)",9632,"(428, 450, 131, 103)",1
train,training_data-Case02_19_MRI_prostate_prostate.png,"(512, 512)",13700,"(418, 426, 141, 141)",2
train,training_data-Case02_20_MRI_prostate_prostate.png,"(512, 512)",21932,"(410, 404, 157, 177)",4
train,training_data-Case02_21_MRI_prostate_prostate.png,"(512, 512)",30676,"(420, 376, 169, 233)",5
train,training_data-Case02_22_MRI_prostate_prostate.png,"(512, 512)",35560,"(410, 368, 179, 255)",6
train,training_data-Case02_23_MRI_prostate_prostate.png,"(512, 512)",40484,"(394, 364, 193, 271)",7
train,training_data-Case02_24_MRI_prostate_prostate.png,"(512, 512)",45020,"(404, 352, 195, 293)",8
train,training_data-Case02_25_MRI_prostate_prostate.png,"(512, 512)",46644,"(396, 352, 199, 295)",9
train,training_data-Case02_26_MRI_prostate_prostate.png,"(512, 512)",49312,"(394, 348, 203, 303)",9
train,training_data-Case02_27_MRI_prostate_prostate.png,"(512, 512)",49688,"(392, 348, 217, 303)",9
train,training_data-Case02_28_MRI_prostate_prostate.png,"(512, 512)",48912,"(390, 350, 211, 303)",9
train,training_data-Case02_29_MRI_prostate_prostate.png,"(512, 512)",49852,"(382, 352, 219, 301)",9
train,training_data-Case02_30_MRI_prostate_prostate.png,"(512, 512)",47796,"(388, 350, 221, 295)",9
train,training_data-Case02_31_MRI_prostate_prostate.png,"(512, 512)",51536,"(364, 354, 239, 299)",10
train,training_data-Case02_32_MRI_prostate_prostate.png,"(512, 512)",49932,"(370, 350, 231, 295)",9
train,training_data-Case02_33_MRI_prostate_prostate.png,"(512, 512)",42280,"(384, 366, 215, 257)",8
train,training_data-Case02_34_MRI_prostate_prostate.png,"(512, 512)",29296,"(368, 384, 185, 209)",5
train,training_data-Case02_35_MRI_prostate_prostate.png,"(512, 512)",23476,"(374, 398, 165, 189)",4
train,training_data-Case02_36_MRI_prostate_prostate.png,"(512, 512)",7352,"(422, 406, 77, 143)",1
train,training_data-Case03_5_MRI_prostate_prostate.png,"(512, 512)",8416,"(456, 414, 87, 125)",2
train,training_data-Case03_6_MRI_prostate_prostate.png,"(512, 512)",12176,"(430, 416, 119, 137)",2
train,training_data-Case03_7_MRI_prostate_prostate.png,"(512, 512)",15648,"(414, 412, 131, 157)",3
train,training_data-Case03_8_MRI_prostate_prostate.png,"(512, 512)",20896,"(400, 416, 157, 169)",5
train,training_data-Case03_9_MRI_prostate_prostate.png,"(512, 512)",26036,"(384, 386, 177, 201)",6
train,training_data-Case03_10_MRI_prostate_prostate.png,"(512, 512)",25628,"(366, 398, 195, 179)",6
train,training_data-Case03_11_MRI_prostate_prostate.png,"(512, 512)",31296,"(376, 390, 195, 205)",7
train,training_data-Case03_12_MRI_prostate_prostate.png,"(512, 512)",36052,"(374, 386, 197, 231)",8
train,training_data-Case03_13_MRI_prostate_prostate.png,"(512, 512)",37896,"(374, 378, 195, 241)",9
train,training_data-Case03_14_MRI_prostate_prostate.png,"(512, 512)",39072,"(376, 374, 191, 253)",9
