split,fname,cell_count
train,Part_1_0_pathology_breast_neoplastic+cells.png,4
train,Part_1_0_pathology_breast_inflammatory+cells.png,2
train,Part_1_0_pathology_breast_connective+tissue+cells.png,2
train,Part_1_1_pathology_breast_neoplastic+cells.png,8
train,Part_1_1_pathology_breast_inflammatory+cells.png,1
train,Part_1_1_pathology_breast_connective+tissue+cells.png,1
train,Part_1_2_pathology_breast_neoplastic+cells.png,8
train,Part_1_2_pathology_breast_connective+tissue+cells.png,3
train,Part_1_3_pathology_breast_neoplastic+cells.png,10
test,Part_1_4_pathology_breast_neoplastic+cells.png,3
test,Part_1_4_pathology_breast_inflammatory+cells.png,2
test,Part_1_4_pathology_breast_connective+tissue+cells.png,2
train,Part_1_5_pathology_breast_neoplastic+cells.png,2
train,Part_1_5_pathology_breast_inflammatory+cells.png,1
train,Part_1_5_pathology_breast_connective+tissue+cells.png,4
test,Part_1_6_pathology_breast_neoplastic+cells.png,5
test,Part_1_6_pathology_breast_inflammatory+cells.png,2
test,Part_1_6_pathology_breast_connective+tissue+cells.png,2
train,Part_1_7_pathology_breast_neoplastic+cells.png,8
train,Part_1_7_pathology_breast_connective+tissue+cells.png,2
test,Part_1_8_pathology_breast_neoplastic+cells.png,2
test,Part_1_8_pathology_breast_inflammatory+cells.png,1
test,Part_1_8_pathology_breast_connective+tissue+cells.png,8
train,Part_1_9_pathology_breast_neoplastic+cells.png,5
train,Part_1_9_pathology_breast_inflammatory+cells.png,1
train,Part_1_9_pathology_breast_connective+tissue+cells.png,7
train,Part_1_10_pathology_breast_neoplastic+cells.png,17
train,Part_1_10_pathology_breast_connective+tissue+cells.png,1
train,Part_1_11_pathology_breast_neoplastic+cells.png,9
train,Part_1_11_pathology_breast_connective+tissue+cells.png,5
train,Part_1_12_pathology_breast_neoplastic+cells.png,7
train,Part_1_12_pathology_breast_connective+tissue+cells.png,2
train,Part_1_13_pathology_breast_neoplastic+cells.png,3
train,Part_1_13_pathology_breast_connective+tissue+cells.png,6
train,Part_1_14_pathology_breast_neoplastic+cells.png,5
train,Part_1_14_pathology_breast_inflammatory+cells.png,1
train,Part_1_14_pathology_breast_connective+tissue+cells.png,3
test,Part_1_15_pathology_breast_neoplastic+cells.png,4
test,Part_1_15_pathology_breast_connective+tissue+cells.png,8
train,Part_1_16_pathology_breast_neoplastic+cells.png,7
train,Part_1_16_pathology_breast_inflammatory+cells.png,1
train,Part_1_16_pathology_breast_connective+tissue+cells.png,4
train,Part_1_17_pathology_breast_neoplastic+cells.png,10
train,Part_1_17_pathology_breast_inflammatory+cells.png,1
train,Part_1_17_pathology_breast_connective+tissue+cells.png,6
train,Part_1_18_pathology_breast_neoplastic+cells.png,4
train,Part_1_18_pathology_breast_inflammatory+cells.png,1
train,Part_1_18_pathology_breast_connective+tissue+cells.png,2
train,Part_1_19_pathology_breast_neoplastic+cells.png,2
train,Part_1_19_pathology_breast_inflammatory+cells.png,3
train,Part_1_19_pathology_breast_connective+tissue+cells.png,8
train,Part_1_20_pathology_breast_neoplastic+cells.png,10
train,Part_1_21_pathology_breast_neoplastic+cells.png,9
train,Part_1_21_pathology_breast_connective+tissue+cells.png,2
train,Part_1_22_pathology_breast_neoplastic+cells.png,8
train,Part_1_23_pathology_breast_neoplastic+cells.png,7
train,Part_1_23_pathology_breast_connective+tissue+cells.png,5
test,Part_1_24_pathology_breast_neoplastic+cells.png,10
test,Part_1_25_pathology_breast_neoplastic+cells.png,13
test,Part_1_25_pathology_breast_connective+tissue+cells.png,1
train,Part_1_26_pathology_breast_neoplastic+cells.png,4
train,Part_1_26_pathology_breast_connective+tissue+cells.png,7
train,Part_1_27_pathology_breast_neoplastic+cells.png,4
train,Part_1_27_pathology_breast_connective+tissue+cells.png,7
train,Part_1_28_pathology_breast_neoplastic+cells.png,6
train,Part_1_28_pathology_breast_connective+tissue+cells.png,10
test,Part_1_29_pathology_breast_neoplastic+cells.png,7
test,Part_1_29_pathology_breast_connective+tissue+cells.png,6
train,Part_1_30_pathology_breast_neoplastic+cells.png,12
train,Part_1_31_pathology_breast_inflammatory+cells.png,7
train,Part_1_31_pathology_breast_connective+tissue+cells.png,16
test,Part_1_32_pathology_breast_neoplastic+cells.png,1
test,Part_1_32_pathology_breast_inflammatory+cells.png,3
test,Part_1_32_pathology_breast_connective+tissue+cells.png,8
train,Part_1_33_pathology_breast_neoplastic+cells.png,11
train,Part_1_33_pathology_breast_connective+tissue+cells.png,1
train,Part_1_34_pathology_breast_neoplastic+cells.png,2
train,Part_1_34_pathology_breast_inflammatory+cells.png,8
train,Part_1_34_pathology_breast_connective+tissue+cells.png,9
train,Part_1_35_pathology_breast_neoplastic+cells.png,6
train,Part_1_35_pathology_breast_inflammatory+cells.png,2
train,Part_1_35_pathology_breast_connective+tissue+cells.png,3
train,Part_1_36_pathology_breast_neoplastic+cells.png,8
train,Part_1_36_pathology_breast_connective+tissue+cells.png,5
test,Part_1_37_pathology_breast_neoplastic+cells.png,2
test,Part_1_37_pathology_breast_inflammatory+cells.png,1
test,Part_1_37_pathology_breast_connective+tissue+cells.png,8
train,Part_1_38_pathology_breast_inflammatory+cells.png,1
train,Part_1_38_pathology_breast_connective+tissue+cells.png,6
train,Part_1_39_pathology_breast_neoplastic+cells.png,10
train,Part_1_39_pathology_breast_connective+tissue+cells.png,4
train,Part_1_40_pathology_breast_neoplastic+cells.png,3
train,Part_1_40_pathology_breast_inflammatory+cells.png,1
train,Part_1_40_pathology_breast_connective+tissue+cells.png,8
train,Part_1_41_pathology_breast_inflammatory+cells.png,1
train,Part_1_41_pathology_breast_connective+tissue+cells.png,8
train,Part_1_42_pathology_breast_neoplastic+cells.png,9
train,Part_1_42_pathology_breast_connective+tissue+cells.png,5
train,Part_1_43_pathology_breast_neoplastic+cells.png,2
train,Part_1_43_pathology_breast_connective+tissue+cells.png,9
test,Part_1_44_pathology_breast_neoplastic+cells.png,2
test,Part_1_44_pathology_breast_connective+tissue+cells.png,7
test,Part_1_45_pathology_breast_inflammatory+cells.png,1
test,Part_1_45_pathology_breast_connective+tissue+cells.png,2
test,Part_1_45_pathology_breast_epithelial+cells.png,19
train,Part_1_46_pathology_breast_inflammatory+cells.png,1
train,Part_1_46_pathology_breast_connective+tissue+cells.png,7
train,Part_1_46_pathology_breast_epithelial+cells.png,21
train,Part_1_47_pathology_breast_inflammatory+cells.png,1
train,Part_1_47_pathology_breast_connective+tissue+cells.png,8
train,Part_1_47_pathology_breast_epithelial+cells.png,14
train,Part_1_48_pathology_breast_inflammatory+cells.png,1
