split,fname,original_shape,mask_area,mask_bbox
train,Part_1_0_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",69984,"(20, 16, 859, 1007)"
train,Part_1_0_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",12560,"(356, 644, 247, 227)"
train,Part_1_0_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",18832,"(312, 204, 575, 779)"
train,Part_1_1_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",127568,"(8, 0, 887, 763)"
train,Part_1_1_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",6736,"(536, 484, 91, 95)"
train,Part_1_1_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",5232,"(132, 976, 127, 47)"
train,Part_1_2_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",190144,"(88, 8, 807, 1015)"
train,Part_1_2_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",24448,"(136, 0, 867, 1003)"
train,Part_1_3_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",204704,"(24, 0, 999, 1023)"
test,Part_1_4_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",76208,"(256, 164, 427, 755)"
test,Part_1_4_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",12688,"(312, 64, 375, 359)"
test,Part_1_4_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",9504,"(876, 692, 91, 331)"
train,Part_1_5_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",48720,"(180, 44, 579, 955)"
train,Part_1_5_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",5248,"(436, 644, 87, 79)"
train,Part_1_5_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",56848,"(4, 0, 963, 735)"
test,Part_1_6_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",123424,"(372, 128, 615, 895)"
test,Part_1_6_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",16816,"(164, 68, 475, 715)"
test,Part_1_6_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",27520,"(52, 316, 711, 295)"
train,Part_1_7_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",216688,"(240, 0, 783, 1023)"
train,Part_1_7_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",13488,"(160, 0, 291, 935)"
test,Part_1_8_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",23648,"(664, 0, 359, 263)"
test,Part_1_8_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",4080,"(332, 964, 83, 59)"
test,Part_1_8_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",147520,"(184, 192, 699, 831)"
train,Part_1_9_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",50368,"(0, 108, 1023, 915)"
train,Part_1_9_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",496,"(356, 0, 51, 11)"
train,Part_1_9_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",70928,"(376, 0, 647, 839)"
train,Part_1_10_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",271520,"(0, 0, 1023, 1023)"
train,Part_1_10_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",5728,"(668, 752, 87, 87)"
train,Part_1_11_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",111920,"(0, 0, 1023, 1023)"
train,Part_1_11_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",54032,"(0, 156, 775, 867)"
train,Part_1_12_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",122112,"(0, 28, 1023, 995)"
train,Part_1_12_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",1520,"(296, 0, 727, 83)"
train,Part_1_13_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",78336,"(0, 0, 843, 491)"
train,Part_1_13_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",58064,"(516, 292, 507, 731)"
train,Part_1_14_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",85088,"(0, 132, 687, 627)"
train,Part_1_14_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",6464,"(404, 900, 107, 75)"
train,Part_1_14_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",43696,"(412, 0, 207, 867)"
test,Part_1_15_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",51040,"(4, 348, 1019, 667)"
test,Part_1_15_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",102592,"(4, 88, 1019, 859)"
train,Part_1_16_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",93008,"(0, 496, 695, 527)"
train,Part_1_16_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",9408,"(344, 164, 131, 87)"
train,Part_1_16_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",43744,"(504, 0, 519, 871)"
train,Part_1_17_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",149296,"(0, 0, 1023, 555)"
train,Part_1_17_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",4592,"(516, 860, 91, 63)"
train,Part_1_17_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",50944,"(28, 0, 995, 1023)"
train,Part_1_18_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",93360,"(676, 208, 347, 763)"
train,Part_1_18_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",4768,"(4, 924, 83, 67)"
train,Part_1_18_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",11248,"(460, 0, 283, 959)"
train,Part_1_19_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",11504,"(536, 4, 487, 1019)"
train,Part_1_19_pathology_breast_inflammatory+cells.png,"(256, 256, 3)",24096,"(228, 484, 591, 539)"
train,Part_1_19_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",54064,"(352, 364, 671, 659)"
train,Part_1_20_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",146688,"(0, 32, 991, 943)"
train,Part_1_21_pathology_breast_neoplastic+cells.png,"(256, 256, 3)",199728,"(0, 0, 759, 1023)"
train,Part_1_21_pathology_breast_connective+tissue+cells.png,"(256, 256, 3)",12208,"(660, 0, 335, 727)"
