split,fname,original_shape,mask_area,mask_bbox
train,100H0050_endoscope__polyp.png,"(1080, 1350, 3)",17525,"(519, 476, 113, 184)"
train,100S0003_endoscope__polyp.png,"(513, 628, 3)",111166,"(286, 103, 417, 741)"
train,102OLCV1_100H0006_endoscope__polyp.png,"(1080, 1350, 3)",23564,"(466, 298, 257, 134)"
train,104OLCV1_100H0002_endoscope__polyp.png,"(1080, 1350, 3)",31351,"(618, 275, 138, 311)"
train,106OLCV1_100H0012_endoscope__polyp.png,"(1080, 1350, 3)",108560,"(132, 628, 421, 395)"
train,106OLCV1_100H0014_endoscope__polyp.png,"(1080, 1350, 3)",49385,"(291, 714, 309, 218)"
train,117OLCV1_100H0010_endoscope__polyp.png,"(1080, 1350, 3)",13290,"(420, 557, 140, 119)"
train,123OLCV1_100H0004_endoscope__polyp.png,"(1048, 1232, 3)",70799,"(433, 153, 338, 288)"
train,124OLCV1_100H0004_endoscope__polyp.png,"(1080, 1350, 3)",29059,"(338, 314, 381, 207)"
train,125OLCV1_100H0003_endoscope__polyp.png,"(1048, 1232, 3)",29558,"(414, 391, 533, 349)"
train,127OLCV1_100H0001_endoscope__polyp.png,"(1048, 1232, 3)",30260,"(404, 507, 159, 304)"
train,130OLCV1_100H0002_endoscope__polyp.png,"(1080, 1350, 3)",18037,"(440, 372, 175, 221)"
train,133OLCV1_100H0006_endoscope__polyp.png,"(1080, 1350, 3)",98439,"(509, 410, 357, 373)"
train,133OLCV1_100H0013_endoscope__polyp.png,"(1048, 1232, 3)",5302,"(700, 328, 74, 144)"
train,134OLCV1_100H0010_endoscope__polyp.png,"(1048, 1232, 3)",17518,"(711, 644, 113, 231)"
train,136OLCV1_100S0005_endoscope__polyp.png,"(513, 628, 3)",101599,"(325, 509, 442, 302)"
train,143OLCV1_100H0018_endoscope__polyp.png,"(1080, 1350, 3)",7173,"(509, 582, 86, 143)"
train,144OLCV1_100H0022_endoscope__polyp.png,"(1080, 1350, 3)",7014,"(501, 444, 98, 111)"
train,144OLCV1_100H0024_endoscope__polyp.png,"(1080, 1350, 3)",25769,"(549, 172, 182, 243)"
train,148OLCV1_100H0004_endoscope__polyp.png,"(1080, 1350, 3)",22136,"(250, 96, 212, 131)"
train,150OLCV1_100H0016_endoscope__polyp.png,"(1080, 1350, 3)",193021,"(495, 2, 424, 801)"
train,153OLCV1_100H0010_endoscope__polyp.png,"(1048, 1232, 3)",20232,"(352, 231, 151, 183)"
train,155OLCV1_100H0010_endoscope__polyp.png,"(1080, 1350, 3)",27669,"(361, 239, 471, 494)"
train,155OLCV1_100H0032_endoscope__polyp.png,"(1080, 1350, 3)",17894,"(448, 317, 159, 197)"
train,156OLCV1_100H0002_endoscope__polyp.png,"(1080, 1350, 3)",36032,"(270, 322, 251, 203)"
train,161OLCV1_100S0021_endoscope__polyp.png,"(513, 628, 3)",117370,"(188, 292, 378, 410)"
train,163OLCV1_100H0001_endoscope__polyp.png,"(1048, 1232, 3)",28465,"(271, 452, 198, 200)"
train,169OLCV1_100H0007_endoscope__polyp.png,"(1048, 1232, 3)",59788,"(196, 170, 697, 736)"
train,171OLCV1_100H0002_endoscope__polyp.png,"(1080, 1350, 3)",31687,"(256, 697, 205, 205)"
train,171OLCV1_100H0003_endoscope__polyp.png,"(1048, 1232, 3)",23157,"(158, 335, 149, 215)"
train,171OLCV1_100H0004_endoscope__polyp.png,"(1080, 1350, 3)",119775,"(115, 297, 358, 420)"
train,174OLCV1_100H0002_endoscope__polyp.png,"(1080, 1350, 3)",140434,"(154, 160, 400, 505)"
