split,fname,original_shape,mask_area,mask_bbox
train,covid_1_X-Ray_chest_COVID-19+infection.png,"(224, 224)",147579,"(183, 187, 529, 630)"
train,covid_100_X-Ray_chest_COVID-19+infection.png,"(224, 224)",165839,"(119, 137, 479, 662)"
train,covid_1000_X-Ray_chest_COVID-19+infection.png,"(224, 224)",368291,"(46, 64, 931, 945)"
train,covid_1001_X-Ray_chest_COVID-19+infection.png,"(224, 224)",15654,"(599, 754, 282, 109)"
train,covid_1002_X-Ray_chest_COVID-19+infection.png,"(224, 224)",157831,"(233, 105, 671, 790)"
train,covid_1007_X-Ray_chest_COVID-19+infection.png,"(224, 224)",29011,"(622, 91, 200, 269)"
train,covid_1008_X-Ray_chest_COVID-19+infection.png,"(224, 224)",332986,"(73, 18, 904, 987)"
train,covid_1009_X-Ray_chest_COVID-19+infection.png,"(224, 224)",18104,"(439, 681, 200, 145)"
train,covid_101_X-Ray_chest_COVID-19+infection.png,"(224, 224)",42986,"(311, 169, 333, 200)"
train,covid_1010_X-Ray_chest_COVID-19+infection.png,"(224, 224)",13802,"(512, 667, 214, 150)"
train,covid_1011_X-Ray_chest_COVID-19+infection.png,"(224, 224)",126194,"(187, 91, 607, 676)"
train,covid_1014_X-Ray_chest_COVID-19+infection.png,"(224, 224)",104088,"(334, 101, 497, 835)"
train,covid_1015_X-Ray_chest_COVID-19+infection.png,"(224, 224)",99231,"(466, 123, 383, 781)"
train,covid_1016_X-Ray_chest_COVID-19+infection.png,"(224, 224)",281170,"(87, 37, 826, 858)"
train,covid_1018_X-Ray_chest_COVID-19+infection.png,"(224, 224)",217457,"(114, 137, 740, 813)"
train,covid_1020_X-Ray_chest_COVID-19+infection.png,"(224, 224)",67019,"(347, 197, 479, 735)"
train,covid_1023_X-Ray_chest_COVID-19+infection.png,"(224, 224)",15994,"(466, 690, 251, 132)"
train,covid_1024_X-Ray_chest_COVID-19+infection.png,"(224, 224)",43226,"(453, 0, 255, 269)"
train,covid_1025_X-Ray_chest_COVID-19+infection.png,"(224, 224)",200318,"(0, 114, 589, 722)"
train,covid_1026_X-Ray_chest_COVID-19+infection.png,"(224, 224)",266236,"(119, 0, 849, 982)"
train,covid_1028_X-Ray_chest_COVID-19+infection.png,"(224, 224)",68780,"(485, 261, 383, 575)"
train,covid_1030_X-Ray_chest_COVID-19+infection.png,"(224, 224)",70605,"(576, 46, 328, 771)"
train,covid_1032_X-Ray_chest_COVID-19+infection.png,"(224, 224)",16500,"(562, 782, 328, 145)"
train,covid_1033_X-Ray_chest_COVID-19+infection.png,"(224, 224)",337970,"(69, 41, 753, 945)"
train,covid_1035_X-Ray_chest_COVID-19+infection.png,"(224, 224)",275801,"(55, 23, 785, 936)"
train,covid_1036_X-Ray_chest_COVID-19+infection.png,"(224, 224)",203972,"(283, 123, 740, 763)"
train,covid_1037_X-Ray_chest_COVID-19+infection.png,"(224, 224)",244321,"(251, 50, 731, 744)"
train,covid_1039_X-Ray_chest_COVID-19+infection.png,"(224, 224)",68064,"(91, 178, 557, 763)"
train,covid_104_X-Ray_chest_COVID-19+infection.png,"(224, 224)",218742,"(27, 37, 804, 927)"
train,covid_1040_X-Ray_chest_COVID-19+infection.png,"(224, 224)",68240,"(521, 59, 264, 918)"
train,covid_1041_X-Ray_chest_COVID-19+infection.png,"(224, 224)",98545,"(448, 128, 493, 804)"
train,covid_1043_X-Ray_chest_COVID-19+infection.png,"(224, 224)",17799,"(421, 192, 200, 141)"
train,covid_1044_X-Ray_chest_COVID-19+infection.png,"(224, 224)",155373,"(18, 123, 667, 804)"
train,covid_1045_X-Ray_chest_COVID-19+infection.png,"(224, 224)",257521,"(82, 37, 703, 936)"
train,covid_1046_X-Ray_chest_COVID-19+infection.png,"(224, 224)",318746,"(110, 0, 913, 817)"
train,covid_1047_X-Ray_chest_COVID-19+infection.png,"(224, 224)",7063,"(430, 361, 177, 68)"
