split,fname,original_shape,mask_area,mask_bbox
train,g0001_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",12049,"(356, 54, 170, 152)"
train,g0001_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",8568,"(388, 78, 105, 101)"
train,g0002_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",5410,"(404, 97, 166, 132)"
train,g0002_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",12090,"(422, 109, 133, 113)"
train,g0003_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",5353,"(396, 94, 128, 134)"
train,g0003_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",8263,"(410, 110, 101, 101)"
train,g0004_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",6623,"(406, 105, 124, 120)"
train,g0004_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",5266,"(429, 128, 82, 79)"
train,g0005_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",15166,"(409, 45, 169, 147)"
train,g0005_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",4355,"(457, 93, 73, 76)"
train,g0006_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",9600,"(431, 68, 165, 139)"
train,g0006_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",8777,"(455, 108, 117, 93)"
train,g0007_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",6954,"(426, 72, 164, 151)"
train,g0007_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",12746,"(446, 95, 127, 127)"
train,g0008_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",15812,"(403, 108, 178, 147)"
train,g0008_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",5052,"(449, 149, 81, 78)"
train,g0009_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",11302,"(450, 147, 145, 133)"
train,g0009_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",4037,"(478, 183, 73, 69)"
train,g0010_fundus_retinal_optic+disc.png,"(2056, 2124, 3)",9214,"(393, 157, 151, 137)"
train,g0010_fundus_retinal_optic+cup.png,"(2056, 2124, 3)",7322,"(415, 195, 95, 97)"
