split,fname,original_shape,mask_area,mask_bbox
train,dermIS_AMM1_dermoscopy_skin_melanoma.png,"(360, 550, 3)",49109,"(434, 490, 310, 207)"
train,dermIS_AMM1_dermoscopy_skin_lesion.png,"(360, 550, 3)",49109,"(434, 490, 310, 207)"
train,dermIS_LMM1_dermoscopy_skin_melanoma.png,"(550, 360, 3)",95028,"(480, 378, 353, 403)"
train,dermIS_LMM1_dermoscopy_skin_lesion.png,"(550, 360, 3)",95028,"(480, 378, 353, 403)"
train,dermIS_LMM2_dermoscopy_skin_melanoma.png,"(363, 550, 3)",110540,"(304, 214, 406, 442)"
train,dermIS_LMM2_dermoscopy_skin_lesion.png,"(363, 550, 3)",110540,"(304, 214, 406, 442)"
train,dermIS_LMM4_dermoscopy_skin_melanoma.png,"(351, 550, 3)",58078,"(416, 475, 269, 366)"
train,dermIS_LMM4_dermoscopy_skin_lesion.png,"(351, 550, 3)",58078,"(416, 475, 269, 366)"
train,dermIS_LMM5_dermoscopy_skin_melanoma.png,"(550, 360, 3)",94631,"(335, 281, 425, 340)"
train,dermIS_LMM5_dermoscopy_skin_lesion.png,"(550, 360, 3)",94631,"(335, 281, 425, 340)"
train,dermIS_NM1_dermoscopy_skin_melanoma.png,"(451, 550, 3)",127452,"(395, 326, 412, 412)"
train,dermIS_NM1_dermoscopy_skin_lesion.png,"(451, 550, 3)",127452,"(395, 326, 412, 412)"
train,dermIS_NM2_dermoscopy_skin_melanoma.png,"(420, 550, 3)",150522,"(303, 309, 472, 494)"
train,dermIS_NM2_dermoscopy_skin_lesion.png,"(420, 550, 3)",150522,"(303, 309, 472, 494)"
test,dermIS_NM3_dermoscopy_skin_melanoma.png,"(550, 546, 3)",230353,"(112, 236, 743, 497)"
test,dermIS_NM3_dermoscopy_skin_lesion.png,"(550, 546, 3)",230353,"(112, 236, 743, 497)"
train,dermIS_NM4_dermoscopy_skin_melanoma.png,"(478, 550, 3)",127313,"(320, 328, 355, 457)"
train,dermIS_NM4_dermoscopy_skin_lesion.png,"(478, 550, 3)",127313,"(320, 328, 355, 457)"
train,dermIS_NM5_dermoscopy_skin_melanoma.png,"(550, 536, 3)",153691,"(279, 248, 435, 464)"
train,dermIS_NM5_dermoscopy_skin_lesion.png,"(550, 536, 3)",153691,"(279, 248, 435, 464)"
train,dermIS_NM6_dermoscopy_skin_melanoma.png,"(474, 550, 3)",270093,"(244, 166, 546, 706)"
train,dermIS_NM6_dermoscopy_skin_lesion.png,"(474, 550, 3)",270093,"(244, 166, 546, 706)"
train,dermIS_SSM10_dermoscopy_skin_melanoma.png,"(482, 550, 3)",232665,"(192, 225, 570, 627)"
train,dermIS_SSM10_dermoscopy_skin_lesion.png,"(482, 550, 3)",232665,"(192, 225, 570, 627)"
test,dermIS_SSM11_dermoscopy_skin_melanoma.png,"(412, 550, 3)",136907,"(335, 294, 334, 606)"
test,dermIS_SSM11_dermoscopy_skin_lesion.png,"(412, 550, 3)",136907,"(335, 294, 334, 606)"
train,dermIS_SSM12_dermoscopy_skin_melanoma.png,"(356, 550, 3)",138595,"(279, 359, 454, 491)"
train,dermIS_SSM12_dermoscopy_skin_lesion.png,"(356, 550, 3)",138595,"(279, 359, 454, 491)"
test,dermIS_SSM13_dermoscopy_skin_melanoma.png,"(550, 356, 3)",79551,"(270, 406, 373, 323)"
test,dermIS_SSM13_dermoscopy_skin_lesion.png,"(550, 356, 3)",79551,"(270, 406, 373, 323)"
train,dermIS_SSM14_dermoscopy_skin_melanoma.png,"(358, 550, 3)",61121,"(363, 508, 351, 262)"
train,dermIS_SSM14_dermoscopy_skin_lesion.png,"(358, 550, 3)",61121,"(363, 508, 351, 262)"
train,dermIS_SSM15_dermoscopy_skin_melanoma.png,"(357, 550, 3)",83179,"(353, 501, 375, 327)"
train,dermIS_SSM15_dermoscopy_skin_lesion.png,"(357, 550, 3)",83179,"(353, 501, 375, 327)"
train,dermIS_SSM16_dermoscopy_skin_melanoma.png,"(357, 550, 3)",56662,"(369, 361, 315, 293)"
train,dermIS_SSM16_dermoscopy_skin_lesion.png,"(357, 550, 3)",56662,"(369, 361, 315, 293)"
test,dermIS_SSM17_dermoscopy_skin_melanoma.png,"(360, 550, 3)",47585,"(337, 411, 276, 243)"
test,dermIS_SSM17_dermoscopy_skin_lesion.png,"(360, 550, 3)",47585,"(337, 411, 276, 243)"
train,dermIS_SSM18_dermoscopy_skin_melanoma.png,"(353, 550, 3)",16351,"(440, 432, 128, 191)"
train,dermIS_SSM18_dermoscopy_skin_lesion.png,"(353, 550, 3)",16351,"(440, 432, 128, 191)"
train,dermIS_SSM19_dermoscopy_skin_melanoma.png,"(360, 550, 3)",174836,"(266, 402, 548, 455)"
train,dermIS_SSM19_dermoscopy_skin_lesion.png,"(360, 550, 3)",174836,"(266, 402, 548, 455)"
train,dermIS_SSM1_dermoscopy_skin_melanoma.png,"(416, 550, 3)",116860,"(361, 307, 388, 394)"
train,dermIS_SSM1_dermoscopy_skin_lesion.png,"(416, 550, 3)",116860,"(361, 307, 388, 394)"
test,dermIS_SSM20_dermoscopy_skin_melanoma.png,"(360, 550, 3)",96665,"(371, 371, 349, 505)"
test,dermIS_SSM20_dermoscopy_skin_lesion.png,"(360, 550, 3)",96665,"(371, 371, 349, 505)"
train,dermIS_SSM21_dermoscopy_skin_melanoma.png,"(550, 361, 3)",95890,"(160, 315, 288, 419)"
train,dermIS_SSM21_dermoscopy_skin_lesion.png,"(550, 361, 3)",95890,"(160, 315, 288, 419)"
train,dermIS_SSM22_dermoscopy_skin_melanoma.png,"(360, 550, 3)",30309,"(451, 486, 216, 187)"
train,dermIS_SSM22_dermoscopy_skin_lesion.png,"(360, 550, 3)",30309,"(451, 486, 216, 187)"
train,dermIS_SSM23_dermoscopy_skin_melanoma.png,"(364, 550, 3)",114673,"(263, 367, 496, 341)"
train,dermIS_SSM23_dermoscopy_skin_lesion.png,"(364, 550, 3)",114673,"(263, 367, 496, 341)"
test,dermIS_SSM24_dermoscopy_skin_melanoma.png,"(359, 550, 3)",50337,"(392, 374, 241, 390)"
test,dermIS_SSM24_dermoscopy_skin_lesion.png,"(359, 550, 3)",50337,"(392, 374, 241, 390)"
train,dermIS_SSM25_dermoscopy_skin_melanoma.png,"(360, 550, 3)",144925,"(246, 303, 488, 523)"
train,dermIS_SSM25_dermoscopy_skin_lesion.png,"(360, 550, 3)",144925,"(246, 303, 488, 523)"
train,dermIS_SSM26_dermoscopy_skin_melanoma.png,"(354, 550, 3)",107021,"(279, 348, 463, 461)"
train,dermIS_SSM26_dermoscopy_skin_lesion.png,"(354, 550, 3)",107021,"(279, 348, 463, 461)"
test,dermIS_SSM27_dermoscopy_skin_melanoma.png,"(359, 550, 3)",72478,"(338, 449, 362, 284)"
test,dermIS_SSM27_dermoscopy_skin_lesion.png,"(359, 550, 3)",72478,"(338, 449, 362, 284)"
test,dermIS_SSM28_dermoscopy_skin_melanoma.png,"(513, 550, 3)",90040,"(395, 309, 330, 409)"
test,dermIS_SSM28_dermoscopy_skin_lesion.png,"(513, 550, 3)",90040,"(395, 309, 330, 409)"
train,dermIS_SSM29_dermoscopy_skin_melanoma.png,"(454, 550, 3)",75687,"(328, 356, 345, 302)"
train,dermIS_SSM29_dermoscopy_skin_lesion.png,"(454, 550, 3)",75687,"(328, 356, 345, 302)"
train,dermIS_SSM2_dermoscopy_skin_melanoma.png,"(469, 550, 3)",261922,"(252, 240, 568, 627)"
train,dermIS_SSM2_dermoscopy_skin_lesion.png,"(469, 550, 3)",261922,"(252, 240, 568, 627)"
train,dermIS_SSM30_dermoscopy_skin_melanoma.png,"(398, 550, 3)",63389,"(305, 372, 338, 241)"
train,dermIS_SSM30_dermoscopy_skin_lesion.png,"(398, 550, 3)",63389,"(305, 372, 338, 241)"
train,dermIS_SSM31_dermoscopy_skin_melanoma.png,"(355, 550, 3)",53638,"(444, 426, 292, 241)"
train,dermIS_SSM31_dermoscopy_skin_lesion.png,"(355, 550, 3)",53638,"(444, 426, 292, 241)"
train,dermIS_SSM32_dermoscopy_skin_melanoma.png,"(428, 550, 3)",70379,"(385, 365, 348, 338)"
train,dermIS_SSM32_dermoscopy_skin_lesion.png,"(428, 550, 3)",70379,"(385, 365, 348, 338)"
train,dermIS_SSM33_dermoscopy_skin_melanoma.png,"(464, 550, 3)",318330,"(166, 117, 710, 742)"
train,dermIS_SSM33_dermoscopy_skin_lesion.png,"(464, 550, 3)",318330,"(166, 117, 710, 742)"
train,dermIS_SSM34_dermoscopy_skin_melanoma.png,"(550, 357, 3)",92420,"(283, 319, 353, 435)"
train,dermIS_SSM34_dermoscopy_skin_lesion.png,"(550, 357, 3)",92420,"(283, 319, 353, 435)"
test,dermIS_SSM3_dermoscopy_skin_melanoma.png,"(402, 550, 3)",416465,"(143, 93, 729, 790)"
test,dermIS_SSM3_dermoscopy_skin_lesion.png,"(402, 550, 3)",416465,"(143, 93, 729, 790)"
train,dermIS_SSM4_dermoscopy_skin_melanoma.png,"(483, 550, 3)",271414,"(214, 305, 656, 606)"
