file,dice,assd,medsam_dice,medsam_assd,sam_dice,sam_assd,dino_medsam_dice,dino_medsam_assd,dino_sam_dice,dino_sam_assd,area,box_ratio,convex_ratio,IRI
case_00491_11_CT_abdomen_kidney+cyst.png,0.09375,108.8126098222969,0.06875631951466127,16.585521697998047,0.06573223779603674,17.544282913208008,0.0003333627476934239,373.4007568359375,0.0002569751754422429,428.4205017089844,68,0.3487179487179487,0.6601941747572816,0.33528573100091225
case_00492_21_CT_abdomen_kidney+cyst.png,0.0,96.06275939941406,0.13175230566534915,13.82183837890625,0.14914645103324348,11.162523767159831,0.0005401784749681295,377.06793212890625,0.0004201221715274802,422.2281494140625,100,0.6060606060606061,0.970873786407767,0.7191168583584495
case_00492_22_CT_abdomen_kidney+cyst.png,0.6684310018903592,25.049078337412148,0.7243589743589743,5.0808258056640625,0.4868066774367259,12.835298538208008,0.00511332462258121,346.5157470703125,0.0037937206369589803,405.1383972167969,904,0.8836754643206256,1.0145903479236813,0.980948663818427
case_00492_23_CT_abdomen_kidney+cyst.png,0.6288737717309146,4.977904796600342,0.3382113821138211,13.086909294128418,0.3028758645795413,14.769950866699219,0.002451948296897932,333.01055908203125,0.0017497076810484788,413.5709228515625,416,0.8612836438923396,1.0271604938271606,0.9851950049317605
case_00492_26_CT_abdomen_kidney+cyst.png,0.08921036769138035,52.989115868810444,0.13693901035673187,5.403223334492504,0.07076824992030603,11.690839550564196,0.000685735837412033,361.664306640625,0.0005102474700229611,385.0608825683594,120,0.08765522279035792,0.1413427561837456,0.09954903602288649
case_00492_38_CT_abdomen_kidney+cyst.png,0.0,54.360191345214844,0.12834224598930483,15.932652473449707,0.12141652613827993,16.601852416992188,0.0,239.6618194580078,0.0,235.44456481933594,108,1.0909090909090908,1.1612903225806452,0.9689222485584353
case_00492_39_CT_abdomen_kidney+cyst.png,0.2973790322580645,37.47875213623047,0.44476956839795173,11.310981750488281,0.37714285714285717,12.938735766108758,0.0034695077065298647,320.9075622558594,0.0027660189117444346,378.3175354003906,608,0.9115442278860569,1.0287648054145515,0.9564155607699949
case_00492_40_CT_abdomen_kidney+cyst.png,0.08504252126063032,29.866907119750977,0.3610606610969851,12.70065662264824,0.3834494059811553,12.267760711222623,0.0028056708218651537,335.4295349121094,0.0022807357653579045,379.28094482421875,500,0.7496251874062968,0.9823182711198428,0.9093337718183226
case_00492_41_CT_abdomen_kidney+cyst.png,0.5263157894736842,3.4653453826904297,0.21573896353166985,10.133796151967077,0.10886787630973678,17.553965939471595,0.0021678289594420997,328.63465697997896,0.0019066344922096107,372.26641845703125,416,0.1812636165577342,0.4301964839710445,0.11878619659337217
case_00494_34_CT_abdomen_kidney+cyst.png,0.21807628524046435,29.141867677961585,0.5319219318557724,9.457548141479492,0.384688995215311,14.967470169067383,0.0018043080116706745,356.1899315789073,0.0030959454281858107,416.13330078125,804,0.7635327635327636,0.9605734767025089,0.8803840237885867
case_00494_35_CT_abdomen_kidney+cyst.png,0.8922229026331905,2.043357901750727,0.8846618357487923,2.201395640955047,0.8302635307452536,4.148243545363931,0.005306340211388445,360.7590553698509,0.005591145575453805,412.4162292480469,1468,0.7485976542580316,0.967699406723797,0.9355616605962069
case_00494_36_CT_abdomen_kidney+cyst.png,0.8937982432792121,2.178582709793951,0.8519454269833249,3.1515611952001397,0.4371032517165436,19.18636163267596,0.006809968915787046,353.4367980957031,0.006361229661871249,411.2088623046875,1688,0.732957012592271,0.9219006007646096,0.9553326702362278
case_00494_37_CT_abdomen_kidney+cyst.png,0.8545736434108527,2.47072545379664,0.7687188019966722,4.480761319144159,0.43620364550597107,15.557819366455078,0.01289829544925024,313.92898307596977,0.007521139658568436,346.2127685546875,1388,0.5344628417404698,0.8055716773070226,0.6007230667396979
case_00494_38_CT_abdomen_kidney+cyst.png,0.9169152109075416,1.418194854730054,0.8598425196850393,2.472289900990981,0.5727908455181182,6.340418947697573,0.005409060175794456,382.5149230957031,0.0040371028980631515,435.68878173828125,1092,0.8,1.000916590284143,0.9800934615238088
case_00494_39_CT_abdomen_kidney+cyst.png,0.87117903930131,1.6539918437502743,0.10432098765432099,71.32053594018372,0.016912926307963944,62.93540647483669,0.004034395567794264,227.97982788085938,0.0031554364317150714,315.84881591796875,860,0.04655947160413621,0.10705838416531806,0.014886920310186852
case_00494_40_CT_abdomen_kidney+cyst.png,0.49174078780177893,12.661541579987437,0.024554511014452083,77.37217336615235,0.018242468466590223,81.4112981844109,0.004470066786724204,201.17413330078125,0.003214552365438132,234.10165405273438,592,0.014690190823593638,0.032622472033945006,0.0027662655886607976
case_00494_41_CT_abdomen_kidney+cyst.png,0.8922470433639947,28.380170542587262,0.10456925452970203,77.317715727791,0.1090983774902444,77.18736361853938,0.006259143013718484,227.58595275878906,0.005109823200841022,303.8408508300781,1412,0.031672685673268884,0.08841024356646422,0.05022704092110737
