split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,case_00000_103_CT_abdomen_kidney.png,"(512, 512)",2280,"(666, 582, 61, 49)",1
train,case_00000_104_CT_abdomen_kidney.png,"(512, 512)",2372,"(666, 582, 61, 49)",1
train,case_00000_105_CT_abdomen_kidney.png,"(512, 512)",2468,"(664, 582, 63, 49)",1
train,case_00000_106_CT_abdomen_kidney.png,"(512, 512)",2616,"(664, 582, 63, 51)",1
train,case_00000_107_CT_abdomen_kidney.png,"(512, 512)",2804,"(662, 582, 67, 51)",1
train,case_00000_108_CT_abdomen_kidney.png,"(512, 512)",3020,"(662, 582, 67, 53)",1
train,case_00000_109_CT_abdomen_kidney.png,"(512, 512)",3140,"(662, 582, 69, 55)",1
train,case_00000_110_CT_abdomen_kidney.png,"(512, 512)",3208,"(662, 582, 69, 55)",1
train,case_00000_111_CT_abdomen_kidney.png,"(512, 512)",3412,"(660, 580, 71, 59)",1
train,case_00000_112_CT_abdomen_kidney.png,"(512, 512)",3552,"(660, 580, 71, 59)",1
train,case_00000_113_CT_abdomen_kidney.png,"(512, 512)",3828,"(658, 580, 73, 63)",1
train,case_00000_114_CT_abdomen_kidney.png,"(512, 512)",3924,"(658, 580, 73, 63)",1
train,case_00000_115_CT_abdomen_kidney.png,"(512, 512)",4076,"(658, 578, 73, 65)",1
train,case_00000_116_CT_abdomen_kidney.png,"(512, 512)",4212,"(658, 578, 73, 65)",1
train,case_00000_117_CT_abdomen_kidney.png,"(512, 512)",4464,"(656, 578, 77, 67)",1
train,case_00000_118_CT_abdomen_kidney.png,"(512, 512)",4808,"(656, 578, 79, 71)",2
train,case_00000_119_CT_abdomen_kidney.png,"(512, 512)",4900,"(656, 576, 79, 73)",2
train,case_00000_120_CT_abdomen_kidney.png,"(512, 512)",5008,"(654, 576, 81, 75)",2
train,case_00000_121_CT_abdomen_kidney.png,"(512, 512)",5156,"(654, 576, 81, 75)",2
train,case_00000_122_CT_abdomen_kidney.png,"(512, 512)",5268,"(652, 576, 85, 75)",2
